age_td,policy,campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,WinRate,DiffCAGR_Median,DiffCAGR_Min
505,I25_N3_K2,3,0.012888054192322196,-0.003960693615126631,-0.09009190118783728,-0.10339535035938474,0.3333333333333333,-0.008247061365707964,-0.027602121027881843
505,I25_W9_K3,3,0.009778100467708661,-0.005672514186001676,-0.09017182524930711,-0.10339535035938474,0.3333333333333333,-0.009958881936583008,-0.030712074752495377
505,I25_W9_K5,3,0.009690457339653236,-0.005672514186001676,-0.09009190118783728,-0.10339535035938474,0.3333333333333333,-0.009958881936583008,-0.030799717880550803
505,I25_W9_K7,3,0.01229858471479961,-0.0046337368354907316,-0.09009190118783728,-0.10339535035938474,0.3333333333333333,-0.008920104586072064,-0.02819159050540443
505,I50_N3_K2,3,-0.01268995546164664,-0.016443927616694776,-0.18653932250351746,-0.20469098381692152,0.3333333333333333,-0.016976323212227973,-0.056934102836898814
505,I50_W9_K3,3,-0.01634464965930682,-0.02309845788172571,-0.18669797916276376,-0.20469098381692152,0.3333333333333333,-0.020631017409888153,-0.06358863310192975
505,I50_W9_K5,3,-0.01634464965930682,-0.023286771083083635,-0.1866456243513388,-0.20469098381692152,0.3333333333333333,-0.020631017409888153,-0.06377694630328767
505,I50_W9_K7,3,-0.01412111360358681,-0.017701155750583508,-0.18653932250351746,-0.20469098381692152,0.3333333333333333,-0.018407481354168143,-0.05819133097078755
505,L25_50_PB5_N3_K2,3,-0.0033325591308848157,-0.008581683452966393,-0.14774154529290795,-0.21963081307998122,0.3333333333333333,-0.012868051203547726,-0.043822734351088855
505,L25_50_PB5_W9_K3,3,-0.010949301688710222,-0.012571254965642376,-0.14792964260961528,-0.21963081307998122,0.3333333333333333,-0.016857622716223708,-0.05143947690891426
505,L25_50_PB5_W9_K5,3,-0.011165056818906782,-0.012571254965642376,-0.14794318818008523,-0.21963081307998122,0.3333333333333333,-0.016857622716223708,-0.05165523203911082
505,L25_50_PB5_W9_K7,3,-0.004770466139648599,-0.010142953201461191,-0.1477552582097451,-0.21963081307998122,0.3333333333333333,-0.014429320952042524,-0.04526064135985264
505,WAIT_NEXT,3,0.04049017522020404,0.0042863677505813325,0.0,0.0,0.0,0.0,0.0
756,I25_N3_K2,2,0.05236975958897694,0.016425935884626597,-0.15215302870663006,-0.22878770520725933,0.5,0.027512602856863078,-0.02840544172375936
756,I25_W9_K3,2,0.046847433447107734,0.010241021192381128,-0.15219773013757376,-0.22878770520725933,0.5,0.021990276714993873,-0.03459035641600483
756,I25_W9_K5,2,0.05236975958897694,0.016425935884626597,-0.15215302870663006,-0.22878770520725933,0.5,0.027512602856863078,-0.02840544172375936
756,I25_W9_K7,2,0.04160432459269914,0.008286632421363072,-0.15327414851237253,-0.22878770520725933,0.5,0.016747167860585277,-0.03654474518702289
756,I50_N3_K2,2,0.0666097081448615,-0.012938801942567468,-0.23575634829977576,-0.30797048017168016,0.5,0.04175255141274764,-0.05777017955095343
756,I50_W9_K3,2,0.05654043755529975,-0.025791893118870646,-0.23584385702642952,-0.30797048017168016,0.5,0.03168328082318589,-0.0706232707272566
756,I50_W9_K5,2,0.0666097081448615,-0.012938801942567468,-0.23575634829977576,-0.30797048017168016,0.5,0.04175255141274764,-0.05777017955095343
756,I50_W9_K7,2,0.04800411072602656,-0.029875503463560826,-0.23886073465843805,-0.30797048017168016,0.5,0.0231469539939127,-0.07470688107194678
756,L25_50_PB5_N3_K2,2,0.07558399981311487,-0.0032882182925683123,-0.22839202019427046,-0.3124366401792579,0.5,0.050726843081001005,-0.04811959590095427
756,L25_50_PB5_W9_K3,2,0.0649811903215533,-0.017024990638186854,-0.22848688011000018,-0.3124366401792579,0.5,0.040124033589439445,-0.06185636824657281
756,L25_50_PB5_W9_K5,2,0.07558399981311487,-0.0032882182925683123,-0.22839202019427046,-0.3124366401792579,0.5,0.050726843081001005,-0.04811959590095427
756,L25_50_PB5_W9_K7,2,0.05613346818740805,-0.021391980355147444,-0.23180492178834167,-0.3124366401792579,0.5,0.03127631145529419,-0.0662233579635334
756,WAIT_NEXT,2,0.02485715673211386,0.0048829358558417635,0.0,0.0,0.0,0.0,0.0
879,I25_N3_K2,2,0.06734504841389188,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.042310887621938686,0.004513616684773014
879,I25_W9_K3,2,0.06485551594693184,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.039821355154978644,0.004513616684773014
879,I25_W9_K5,2,0.06734504841389188,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.042310887621938686,0.004513616684773014
879,I25_W9_K7,2,0.06049433174168484,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03546017094973164,0.004513616684773014
879,I50_N3_K2,2,0.09844957499093143,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07341541419897823,0.009014208032205762
879,I50_W9_K3,2,0.0946220121566459,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.0695878513646927,0.009014208032205762
879,I50_W9_K5,2,0.09844957499093143,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07341541419897823,0.009014208032205762
879,I50_W9_K7,2,0.08781087623481865,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06277671544286545,0.009014208032205762
879,L25_50_PB5_N3_K2,2,0.1085585110367715,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.0835243502448183,0.004513616684773014
879,L25_50_PB5_W9_K3,2,0.10445114874580808,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07941698795385488,0.004513616684773014
879,L25_50_PB5_W9_K5,2,0.1085585110367715,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.0835243502448183,0.004513616684773014
879,L25_50_PB5_W9_K7,2,0.09712349146578814,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07208933067383494,0.004513616684773014
879,WAIT_NEXT,2,0.025034160791953197,0.005199639481798579,0.0,0.0,0.0,0.0,0.0
