campaign_full_date,age_td,policy,family,votes_required,CAGR,MDD,Return,WinWait,DiffCAGR
2002-12-12,756,I25_N3_K2,N3,2,0.016425935884626597,-0.07551835220600078,0.03596048212509406,False,-0.02840544172375936
2002-12-12,756,I50_N3_K2,N3,2,-0.012938801942567468,-0.16354221642787137,-0.02784486072936798,False,-0.05777017955095343
2002-12-12,756,L25_50_PB5_N3_K2,N3,2,-0.0032882182925683123,-0.14434740020928305,-0.00711655126450772,False,-0.04811959590095427
2002-12-12,756,I25_W9_K3,W9,3,0.010241021192381128,-0.0756077550678882,0.02233979730157265,False,-0.03459035641600483
2002-12-12,756,I25_W9_K5,W9,5,0.016425935884626597,-0.07551835220600078,0.03596048212509406,False,-0.02840544172375936
2002-12-12,756,I25_W9_K7,W9,7,0.008286632421363072,-0.07776059181748574,0.018055949455595854,False,-0.03654474518702289
2002-12-12,756,I50_W9_K3,W9,3,-0.025791893118870646,-0.16371723388117887,-0.055086230376415024,False,-0.0706232707272566
2002-12-12,756,I50_W9_K5,W9,5,-0.012938801942567468,-0.16354221642787137,-0.02784486072936798,False,-0.05777017955095343
2002-12-12,756,I50_W9_K7,W9,7,-0.029875503463560826,-0.16975098914519593,-0.06365392606836451,False,-0.07470688107194678
2002-12-12,756,L25_50_PB5_W9_K3,W9,3,-0.017024990638186854,-0.14453712004074248,-0.036550535236357984,False,-0.06185636824657281
2002-12-12,756,L25_50_PB5_W9_K5,W9,5,-0.0032882182925683123,-0.14434740020928305,-0.00711655126450772,False,-0.04811959590095427
2002-12-12,756,L25_50_PB5_W9_K7,W9,7,-0.021391980355147444,-0.15117320339742546,-0.045807831067656846,False,-0.0662233579635334
2002-12-12,756,WAIT_NEXT,NONE,0,0.04483137760838596,0.0,0.09976582497955522,False,0.0
2002-12-12,879,I25_N3_K2,N3,2,0.04938229878688083,0.0,0.08397491305610738,True,0.004513616684773014
2002-12-12,879,I50_N3_K2,N3,2,0.05388289013431358,-6.0285533141635206e-05,0.09176318081438328,True,0.009014208032205762
2002-12-12,879,L25_50_PB5_N3_K2,N3,2,0.04938229878688083,0.0,0.08397491305610738,True,0.004513616684773014
2002-12-12,879,I25_W9_K3,W9,3,0.04938229878688083,0.0,0.08397491305610738,True,0.004513616684773014
2002-12-12,879,I25_W9_K5,W9,5,0.04938229878688083,0.0,0.08397491305610738,True,0.004513616684773014
2002-12-12,879,I25_W9_K7,W9,7,0.04938229878688083,0.0,0.08397491305610738,True,0.004513616684773014
2002-12-12,879,I50_W9_K3,W9,3,0.05388289013431358,-6.0285533141635206e-05,0.09176318081438328,True,0.009014208032205762
2002-12-12,879,I50_W9_K5,W9,5,0.05388289013431358,-6.0285533141635206e-05,0.09176318081438328,True,0.009014208032205762
2002-12-12,879,I50_W9_K7,W9,7,0.05388289013431358,-6.0285533141635206e-05,0.09176318081438328,True,0.009014208032205762
2002-12-12,879,L25_50_PB5_W9_K3,W9,3,0.04938229878688083,0.0,0.08397491305610738,True,0.004513616684773014
2002-12-12,879,L25_50_PB5_W9_K5,W9,5,0.04938229878688083,0.0,0.08397491305610738,True,0.004513616684773014
2002-12-12,879,L25_50_PB5_W9_K7,W9,7,0.04938229878688083,0.0,0.08397491305610738,True,0.004513616684773014
2002-12-12,879,WAIT_NEXT,NONE,0,0.044868682102107815,0.0,0.07618664529783192,False,0.0
2002-12-12,1009,I25_N3_K2,N3,2,-0.012401965083109312,-0.17468372237552265,-0.014450039229727762,False,-0.05459934448286208
