age_td,policy,campaigns_cur,CAGR_Median_cur,CAGR_Min_cur,MDD_Median_cur,MDD_Worst_cur,WinRate_cur,DiffCAGR_Median_cur,DiffCAGR_Min_cur,n,campaigns_all,CAGR_Median_all,CAGR_Min_all,MDD_Median_all,MDD_Worst_all,WinRate_all,DiffCAGR_Median_all,DiffCAGR_Min_all
879,L25_50_PB5_N3_K2,2,0.1085585110367715,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.0835243502448183,0.004513616684773014,9,3,0.04938229878688083,-0.03477656076346414,-0.21963081307998122,-0.33911969720114166,0.5555555555555556,0.004513616684773014,-0.0769739401632169
879,L25_50_PB5_W9_K5,2,0.1085585110367715,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.0835243502448183,0.004513616684773014,9,3,0.04938229878688083,-0.03477656076346414,-0.21963081307998122,-0.33911969720114166,0.5555555555555556,0.004513616684773014,-0.0769739401632169
879,L25_50_PB5_W9_K3,2,0.10445114874580808,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07941698795385488,0.004513616684773014,9,3,0.04938229878688083,-0.03357910097014494,-0.21963081307998122,-0.33911969720114166,0.5555555555555556,0.004513616684773014,-0.0757764803698977
879,I50_N3_K2,2,0.09844957499093143,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07341541419897823,0.009014208032205762,9,3,0.05388289013431358,-0.06750842961421077,-0.20469098381692152,-0.31657953910795433,0.5555555555555556,0.009014208032205762,-0.10970580901396354
879,I50_W9_K5,2,0.09844957499093143,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07341541419897823,0.009014208032205762,9,3,0.05388289013431358,-0.06750842961421077,-0.20469098381692152,-0.31657953910795433,0.5555555555555556,0.009014208032205762,-0.10970580901396354
879,L25_50_PB5_W9_K7,2,0.09712349146578814,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07208933067383494,0.004513616684773014,9,3,0.04938229878688083,-0.05285833898559744,-0.21963081307998122,-0.3654299889106395,0.5555555555555556,0.004513616684773014,-0.09505571838535021
879,I50_W9_K3,2,0.0946220121566459,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.0695878513646927,0.009014208032205762,9,3,0.05388289013431358,-0.06646141519562943,-0.20469098381692152,-0.31657953910795433,0.5555555555555556,0.009014208032205762,-0.10865879459538219
879,I50_W9_K7,2,0.08781087623481865,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06277671544286545,0.009014208032205762,9,3,0.05388289013431358,-0.0833159415990804,-0.20469098381692152,-0.3411325832304861,0.5555555555555556,0.009014208032205762,-0.12551332099883317
879,I25_N3_K2,2,0.06734504841389188,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.042310887621938686,0.004513616684773014,9,3,0.04938229878688083,-0.012401965083109312,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.05459934448286208
879,I25_W9_K5,2,0.06734504841389188,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.042310887621938686,0.004513616684773014,9,3,0.04938229878688083,-0.012401965083109312,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.05459934448286208
879,I25_W9_K3,2,0.06485551594693184,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.039821355154978644,0.004513616684773014,9,3,0.04938229878688083,-0.01188340832341861,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.054080787723171375
879,I25_W9_K7,2,0.06049433174168484,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03546017094973164,0.004513616684773014,9,3,0.04938229878688083,-0.020224666293210847,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.06242204569296361
879,WAIT_NEXT,2,0.025034160791953197,0.005199639481798579,0.0,0.0,0.0,0.0,0.0,9,3,0.04049017522020404,0.0042863677505813325,0.0,0.0,0.0,0.0,0.0
