strategy,trend_ma,slope_lb,yellow_buy_cap,red_dd,red_target,rec_fast_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Roll3y_CAGR_P10,Roll3y_CAGR_Median,Roll3y_WorstMDD,Roll5y_CAGR_P10,Roll5y_CAGR_Median,Roll5y_WorstMDD
V4_M120_S20_YBC80_RD25_RT0_RF60,120,20,0.8,-0.25,0.0,60,0.17217695036560543,-0.5858494444379405,0.29389282861024246,75.70880538225028,1693,-0.41441748122772304,-0.5858494444379405,-0.21027029871921032,-0.3763611610049771,0.6410060624119933,-0.49223904372175953,-0.2884910274466247,-0.3880756858281056,32.27786549398638,-0.49223904372175953,0.23973300344415738,-0.49223904372175953,0.6066841798015178,0.24233425242472853,195,0.000487472404408528,0.13501053551310993,-0.5858494444379405,0.07065449718579501,0.14108166917677356,-0.5858494444379405
V4_M180_S20_YBC80_RD25_RT0_RF60,180,20,0.8,-0.25,0.0,60,0.17014288671538247,-0.6049934418973179,0.28123096042462536,72.21082193468618,2586,-0.45967876274408737,-0.6049934418973179,0.0021480510808720155,-0.37116631718710036,0.6410060624119929,-0.49223904372175953,-0.3385139616434183,-0.4305982393112684,29.938251321811407,-0.49223904372175953,0.23420416215979523,-0.49223904372175953,0.6028896672504378,0.2486242568863162,309,0.001990608181995637,0.150274101904057,-0.6049934418973179,0.08585969777402566,0.16537142363892499,-0.6049934418973179
V4_M120_S20_YBC80_RD25_RT0_RF40,120,20,0.8,-0.25,0.0,40,0.16995622376205,-0.5858494444379405,0.29010221888168675,71.8977332063508,1709,-0.44087035619130077,-0.5858494444379405,-0.1985584697458116,-0.3705722525537404,0.6410060624119933,-0.4922390437217594,-0.30268115949058017,-0.39940792269752534,31.614181234593104,-0.4922390437217594,0.23820266712279703,-0.4922390437217594,0.6103327495621717,0.24371660618101237,230,0.005418615184073527,0.13378062516061417,-0.5858494444379405,0.06801864210292492,0.14137942607572618,-0.5858494444379405
V4_M180_S20_YBC80_RD25_RT0_RF40,180,20,0.8,-0.25,0.0,40,0.16728924913046672,-0.625755502961876,0.2673396371883905,67.56475188814466,2716,-0.4840870223336383,-0.625755502961876,0.01701008116692293,-0.37057225255374027,0.6410060624119933,-0.49223904372175953,-0.361264883389929,-0.4498653582188722,28.874171819022337,-0.49223904372175953,0.23155852115468134,-0.49223904372175953,0.6059544658493871,0.2496736133539599,342,-0.00907600699893083,0.15027410190405632,-0.625755502961876,0.08821751266826774,0.16409492992383257,-0.625755502961876
V4_M120_S20_YBC65_RD25_RT0_RF60,120,20,0.65,-0.25,0.0,60,0.1634295507460093,-0.5858494444379405,0.2789616893855765,61.736648927153226,1693,-0.41441748122772304,-0.5858494444379405,-0.21027029871921032,-0.3763611610049771,0.6410060624119924,-0.49223904372175953,-0.28849102744662514,-0.3880756858281058,26.136393034791265,-0.49223904372175953,0.22432188303410605,-0.49223904372175953,0.6075598365440747,0.2400790020832965,194,0.000487472404408528,0.13501053551310993,-0.5858494444379405,0.07065449718579501,0.14108166917677356,-0.5858494444379405
V4_M180_S20_YBC65_RD25_RT0_RF60,180,20,0.65,-0.25,0.0,60,0.16141066634632084,-0.6049934418973179,0.266797381869333,58.88422277982597,2586,-0.45967876274408737,-0.6049934418973179,0.0021480510808720155,-0.37116631718710036,0.6410060624119929,-0.4922390437217594,-0.33851396164341896,-0.4305982393112687,24.228557637795088,-0.4922390437217594,0.21886177077327162,-0.4922390437217594,0.6037653239929948,0.2463690065448842,308,0.001990608181995504,0.150274101904057,-0.6049934418973179,0.08388984043097594,0.1612878275670553,-0.6049934418973179
V4_M120_S20_YBC65_RD25_RT0_RF40,120,20,0.65,-0.25,0.0,40,0.16122539636991595,-0.5858494444379405,0.2751993671763133,58.628914975050776,1709,-0.44087035619130077,-0.5858494444379405,-0.1985584697458116,-0.3705722525537404,0.641006062411992,-0.4922390437217594,-0.30268115949057917,-0.39940792269752445,25.595192550729195,-0.4922390437217594,0.22281057032287088,-0.4922390437217594,0.6112084063047285,0.24146135583958034,229,0.005418615184073527,0.13378062516061417,-0.5858494444379405,0.06801864210292492,0.14137942607572618,-0.5858494444379405
V4_M100_S20_YBC80_RD25_RT0_RF60,100,20,0.8,-0.25,0.0,60,0.15885838943171682,-0.6895278177384958,0.23038720896386525,55.45949173767693,2970,-0.6335339915350966,-0.6895278177384958,-0.0822910172186504,-0.3769638774438119,0.6410060624119931,-0.49223904372175964,-0.26340412385297785,-0.35738216930134703,33.45120080760009,-0.49223904372175964,0.24236972215056785,-0.49223904372175964,0.6117921774664331,0.2395260818397819,172,0.0020378554490285963,0.1395343769655033,-0.6774088201665354,0.05606854872353915,0.14578000358321486,-0.6895278177384958
V4_M180_S20_YBC65_RD25_RT0_RF40,180,20,0.65,-0.25,0.0,40,0.15857832410279293,-0.625755502961876,0.2534189844950581,55.095590877551395,2716,-0.4840870223336383,-0.625755502961876,0.01701008116692293,-0.37057225255374027,0.6410060624119931,-0.49223904372175953,-0.36126488338992724,-0.4498653582188711,23.360855362444337,-0.49223904372175953,0.21624901773030647,-0.49223904372175953,0.6068301225919439,0.24741836301252787,341,-0.009076006998930297,0.15027410190405632,-0.625755502961876,0.08505709200711307,0.1636205764831138,-0.625755502961876
V4_M120_S20_YBC50_RD25_RT0_RF60,120,20,0.5,-0.25,0.0,60,0.1555038349450233,-0.5858494444379405,0.26543310132215364,51.24901011776007,1709,-0.41441748122772304,-0.5858494444379405,-0.18948260971058817,-0.3329138104306496,0.6410060624119924,-0.4922390437217594,-0.2598061294853069,-0.3448748004509111,22.07122893814095,-0.4922390437217594,0.21219970791584575,-0.4922390437217594,0.6055166374781086,0.2361485543852363,192,0.0015610702749121802,0.127430526356771,-0.5858494444379405,0.06623247734979834,0.13276468329820212,-0.5858494444379405
