strategy,trend_ma,slope_lb,yellow_buy_cap,red_dd,red_target,rec_fast_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount
V4_M100_S5_YBC50_RD18_RT15_RF60,100,5,0.5,-0.18,0.15,60,0.11545193101469353,-0.6082281414273032,0.18981681897152503,19.606712342817495,2430,-0.5375718744821336,-0.6082281414273032,-0.05932794690580123,-0.2971027252334153,-0.24439756667372647,-0.4673585317393665,-0.1819738044259368,-0.2882180573256915,8.17550468982542,-0.4673585317393665,0.1455706697903254,-0.4673585317393665,0.7149737302977233,0.22165950234930176,239
V4_M100_S5_YBC50_RD18_RT25_RF40,100,5,0.5,-0.18,0.25,40,0.08855509259150085,-0.7846963440338146,0.11285268915141623,10.085179399503827,4518,-0.7322213052792892,-0.7846963440338146,-0.17427191873918912,-0.42120025792297044,-0.21720742796394388,-0.4673585317393666,-0.19950263009472358,-0.3378206134128553,8.71897223228063,-0.4673585317393666,0.14961950855448092,-0.4673585317393666,0.7263572679509632,0.23376625700969897,315
V4_M100_S5_YBC50_RD18_RT25_RF60,100,5,0.5,-0.18,0.25,60,0.09061523213672751,-0.7214629816938465,0.1255992815098865,10.618151303330992,4350,-0.6712286794933207,-0.7214629816938465,-0.17907604900186858,-0.41227722911071063,-0.21720742796394288,-0.46735853173936637,-0.18116923116794437,-0.3226550434662251,8.583231254908927,-0.46735853173936637,0.14862853555742683,-0.46735853173936637,0.7415353181552832,0.2685539336993359,242
V4_M100_S5_YBC50_RD20_RT0_RF40,100,5,0.5,-0.2,0.0,40,0.10728132635096865,-0.5677352686689799,0.18896364603608837,16.048748177674387,2110,-0.48977609028557945,-0.5677352686689799,-0.03681680086916428,-0.26086304373726843,-0.35866326452151265,-0.46735853173936637,-0.16637937880013431,-0.25215669044737676,6.171312724255777,-0.46735853173936637,0.12839059699003696,-0.46735853173936637,0.5884413309982487,0.2055847082994879,232
V4_M100_S5_YBC50_RD20_RT0_RF60,100,5,0.5,-0.2,0.0,60,0.11232210767681172,-0.4673585317393665,0.24033391935476808,18.162184727205606,1690,-0.36473153510334144,-0.4662421370762363,-0.0543628015582599,-0.25883664791975103,-0.3586632645215123,-0.4673585317393665,-0.22905578709942342,-0.30838386552126884,5.639164776267266,-0.4673585317393665,0.12306883073652242,-0.4673585317393665,0.5888791593695272,0.20586308995012206,186
V4_M100_S5_YBC50_RD20_RT15_RF40,100,5,0.5,-0.2,0.15,40,0.10300365852588,-0.6585528495246233,0.15640910004448882,14.442941348902668,3781,-0.5935974545970968,-0.6585528495246233,-0.12318096016758828,-0.3426049885979279,-0.2461249979572846,-0.4673585317393665,-0.2121045893432022,-0.31443549234030344,7.90054210740017,-0.4673585317393665,0.14343563866137998,-0.4673585317393665,0.7159953298307064,0.218768721717057,279
V4_M100_S5_YBC50_RD20_RT15_RF60,100,5,0.5,-0.2,0.15,60,0.10973042161630997,-0.6290795439986837,0.17443012201417182,17.044144510031344,2627,-0.5621838388039984,-0.6290795439986837,-0.07818104460296948,-0.30866292995417377,-0.2461249979572846,-0.46735853173936637,-0.21947360214216316,-0.32084742666956434,7.59697079142637,-0.46735853173936637,0.14100532978014613,-0.46735853173936637,0.7152656158785756,0.22370281193469824,228
V4_M100_S5_YBC50_RD20_RT25_RF40,100,5,0.5,-0.2,0.25,40,0.08810398777370909,-0.7823570893385045,0.11261352261561589,9.9719638724411,4524,-0.7293119140470851,-0.7823570893385045,-0.1940537491585087,-0.43071892906897247,-0.1855234516268084,-0.46735853173936637,-0.2170026707811108,-0.35229682113397887,8.739917173548058,-0.46735853173936637,0.14977125822401183,-0.46735853173936637,0.7286923525977816,0.2363060931646828,296
V4_M100_S5_YBC50_RD20_RT25_RF60,100,5,0.5,-0.2,0.25,60,0.089098510362279,-0.7196499023244491,0.12380813236338016,10.223207739074335,4349,-0.669088610277081,-0.7196499023244491,-0.18212576681005677,-0.421943206270714,-0.18552345162680917,-0.46735853173936637,-0.1957424906014521,-0.3347101886235383,8.201292902861338,-0.46735853173936637,0.1457678188264928,-0.46735853173936637,0.73861646234676,0.27282127370756654,223
V4_M100_S5_YBC50_RD22_RT0_RF40,100,5,0.5,-0.22,0.0,40,0.11775354177185848,-0.5740503232734826,0.20512755937559096,20.73895810711569,2115,-0.4972300684078472,-0.5740503232734826,-0.022105055154591713,-0.25668671960884215,-0.35866326452151276,-0.4673585317393665,-0.12160025807399144,-0.23817427644652844,8.263020825628352,-0.4673585317393665,0.14623762579623523,-0.4673585317393665,0.5912142440163456,0.20748623071481814,221
