trend_ma,slope_lb,red_dd,best_CAGR,median_CAGR,best_DotCom_MDD,median_DotCom_MDD,best_ActualEra_CAGR
100,5,-0.25,0.12995624250955107,0.10899912529992872,-0.5733927913190424,-0.7161646328696368,0.19924189344943688
100,5,-0.22,0.12648035507833089,0.1156236958771999,-0.47813417741991293,-0.6425626851122607,0.1565809822662716
100,5,-0.2,0.1136749682525755,0.10581330854566873,-0.4662421370762363,-0.6438161967616536,0.14977125822401183
100,5,-0.18,0.12451546395389723,0.11527806095703286,-0.4662421370762363,-0.6064974117175779,0.15621185946948346
100,5,-0.15,0.11239282246438997,0.10679244955187961,-0.4662421370762363,-0.6064974117175779,0.151450363495228
100,5,-0.12,0.09927022928219742,0.09847912823371885,-0.4662421370762363,-0.6064974117175779,0.1409969324570628
100,10,-0.25,0.11655909572499823,0.09755036260845995,-0.6581811963622577,-0.749912809121998,0.18845857780505804
100,10,-0.22,0.10258147400318718,0.09451764024435594,-0.6773313201230243,-0.7557536248453066,0.1475819996025105
100,10,-0.2,0.08895902574878001,0.08456126021257981,-0.6851493427715061,-0.7540142664113607,0.1408252598212243
100,10,-0.18,0.1000421675253349,0.09252455452728325,-0.6562232593858729,-0.7479805141777074,0.15046032523642183
100,10,-0.15,0.08776042318466737,0.08553295057186505,-0.6562232593858729,-0.7479805141777074,0.14572251515231938
100,10,-0.12,0.07953430672944606,0.07206218960212929,-0.6562232593858729,-0.7479805141777074,0.1382966939271577
100,20,-0.25,0.15885838943171682,0.1299081164669943,-0.6895278177384958,-0.7720389986927041,0.2444230094194373
100,20,-0.22,0.11237509881905638,0.10450333535769019,-0.6535489919882516,-0.7371381241694213,0.1634158692708474
100,20,-0.2,0.10196004066424758,0.09586545804863877,-0.6619432427976507,-0.7378894657503985,0.16064844421385427
100,20,-0.18,0.10891868250199765,0.10081640611866938,-0.642874390206291,-0.7274722479558701,0.16289793457948654
100,20,-0.15,0.09342939296786623,0.08967283220661093,-0.642874390206291,-0.7274722479558701,0.15892253874076823
100,20,-0.12,0.08632109279277578,0.08046737036290574,-0.642874390206291,-0.7274722479558701,0.14814324082560937
120,5,-0.25,0.12560183785948498,0.10763944983655571,-0.5858494444379405,-0.6467862413432972,0.19699342499253003
120,5,-0.22,0.11328814356869432,0.10105740148351039,-0.5858494444379405,-0.6396329708124575,0.155790763768209
120,5,-0.2,0.09897782614541706,0.09349749857508516,-0.5858494444379405,-0.6283375237938718,0.1465272828665476
120,5,-0.18,0.11091406719354513,0.10003691937396586,-0.5858494444379405,-0.6382597359500828,0.15317289967644054
120,5,-0.15,0.09160657569480435,0.07853960775546487,-0.5858494444379405,-0.6382597359500828,0.13224464695940474
120,5,-0.12,0.09068436446551909,0.08164779597376637,-0.5858494444379405,-0.6382597359500828,0.1351305609596709
120,10,-0.25,0.11131042301730942,0.09884579244711922,-0.5858494444379405,-0.6697232793507695,0.18849857092074052
120,10,-0.22,0.09525627109011636,0.08794379945448116,-0.5858494444379405,-0.6629995155096193,0.1486168807512529
120,10,-0.2,0.08358496338871602,0.0805769075723296,-0.5858494444379405,-0.6524364984986427,0.140222355635232
120,10,-0.18,0.09556015568358389,0.08766682974292572,-0.5858494444379405,-0.6617153441084991,0.14613150008699183
120,10,-0.15,0.07834859967090879,0.0686136032130158,-0.5858494444379405,-0.6617153441084991,0.12551772543140882
120,10,-0.12,0.07712292034743173,0.07112830558079475,-0.5858494444379405,-0.6617153441084991,0.12724737230427863
120,20,-0.25,0.17217695036560543,0.1422594676726069,-0.5858494444379405,-0.6584920837792665,0.24255868804505165
120,20,-0.22,0.11953455490763676,0.10504466130952639,-0.5858494444379405,-0.6394184422638975,0.16224757016332525
120,20,-0.2,0.1075514220128142,0.09764275430555125,-0.5858494444379405,-0.6403141839629689,0.15304266411584622
120,20,-0.18,0.11677310110184935,0.10392942405792971,-0.5858494444379405,-0.6286422207127388,0.15927894508551632
120,20,-0.15,0.0940857304474938,0.07851142393915467,-0.5858494444379405,-0.6286422207127388,0.13298028174941945
120,20,-0.12,0.09131078330789277,0.07869094958404044,-0.5858494444379405,-0.6286422207127388,0.1325585456667544
150,5,-0.25,0.10767522379392358,0.09352999992918698,-0.695889633516432,-0.7568282609835421,0.18166253350047756
150,5,-0.22,0.09553322051964264,0.08949044207969314,-0.6647642904913429,-0.7338611751488019,0.15282471558211563
150,5,-0.2,0.08584077903047183,0.08126570209459427,-0.6647642904913429,-0.7292158317161317,0.14640304780693936
150,5,-0.18,0.09527110039049114,0.08576610223070724,-0.6939224049329393,-0.7462204360064852,0.14784266084981024
150,5,-0.15,0.07772395406041599,0.07349825760319306,-0.6939224049329393,-0.7462204360064852,0.12973800542649783
150,5,-0.12,0.08357347301779217,0.07596353517319343,-0.6939224049329393,-0.7462204360064852,0.13560372937502474
150,10,-0.25,0.1127610770976839,0.09699493109066226,-0.656555170216667,-0.712306334767862,0.18175541222528913
150,10,-0.22,0.09166768749696219,0.08439767391108277,-0.6845186258961986,-0.7240135065150155,0.14846086036941109
150,10,-0.2,0.08872444375267818,0.08202901492406012,-0.6512038280513195,-0.6806799071708332,0.13920988596892636
150,10,-0.18,0.10071014824739644,0.08314437943288999,-0.6512038280513195,-0.6996111880593056,0.14000635531893324
150,10,-0.15,0.08862981625966926,0.07858283987532,-0.6512038280513195,-0.6996111880593056,0.1318078595156733
150,10,-0.12,0.09078326007276072,0.07325214856206452,-0.6512038280513195,-0.6996111880593056,0.12364249984232911
150,20,-0.25,0.1472875821539108,0.1370790950678028,-0.6422719463865354,-0.7362964483077242,0.24281973400604406
150,20,-0.22,0.11367314631264658,0.1107689208869651,-0.5989564504179319,-0.7077377714446524,0.18328455529483745
150,20,-0.2,0.11028409589333732,0.10727705880384475,-0.5989564504179319,-0.7028712610785934,0.18193313945848244
150,20,-0.18,0.10679727052535126,0.10343228046722275,-0.5989564504179319,-0.7028712610785934,0.16315828465963045
150,20,-0.15,0.09893427337550764,0.09536415102701257,-0.5989564504179319,-0.7028712610785934,0.15918303524188548
150,20,-0.12,0.0981727925491096,0.08832241553735376,-0.5989564504179319,-0.7028712610785934,0.1489167262099509
180,5,-0.25,0.13049646396098202,0.09010668452104365,-0.5858494444379405,-0.7899864897317581,0.1799514053192952
180,5,-0.22,0.12617160532905225,0.08964177286320074,-0.5858494444379405,-0.7899864897317581,0.1636175600942944
180,5,-0.2,0.1158687926929145,0.08061205787884584,-0.5858494444379405,-0.7899864897317581,0.1548903858228794
180,5,-0.18,0.12028175861498647,0.0877109619480454,-0.5858494444379405,-0.7899864897317581,0.16435019465960066
180,5,-0.15,0.11255823487713301,0.08780198151287988,-0.5858494444379405,-0.7899864897317581,0.15340490529483652
180,5,-0.12,0.13638164218709647,0.10063983224766049,-0.5858494444379405,-0.7899864897317581,0.16714835020851604
180,10,-0.25,0.12738721603195446,0.09082786141547439,-0.5858494444379405,-0.7811673694346172,0.1800441495493601
180,10,-0.22,0.12401828660547709,0.08716688037450493,-0.5858494444379405,-0.7811673694346172,0.15729899122377722
180,10,-0.2,0.11748024047770356,0.08079946928052606,-0.5858494444379405,-0.7811673694346172,0.15124107758506544
180,10,-0.18,0.12012141899212048,0.0849482109734575,-0.5858494444379405,-0.7811673694346172,0.15426944284582444
180,10,-0.15,0.11239900067874942,0.08513090382596977,-0.5858494444379405,-0.7811673694346172,0.14715262779633465
180,10,-0.12,0.1277616677330642,0.09684994491427246,-0.5858494444379405,-0.7811673694346172,0.15764668791961722
180,20,-0.25,0.17014288671538247,0.12127496384073988,-0.6049934418973179,-0.7940971664036283,0.23592043731465084
180,20,-0.22,0.12792178870761983,0.09241456034960538,-0.6049934418973179,-0.7940971664036283,0.1703090248630612
180,20,-0.2,0.11760296446957041,0.08398387673025709,-0.6049934418973179,-0.7940971664036283,0.16181008201424762
180,20,-0.18,0.12109974036004778,0.08877418967491268,-0.6049934418973179,-0.7940971664036283,0.16999534318570864
180,20,-0.15,0.12128693155818171,0.09487641760195942,-0.6049934418973179,-0.7940971664036283,0.16813746197319546
180,20,-0.12,0.13401056040302706,0.10491428175436757,-0.6049934418973179,-0.7940971664036283,0.17421687253966978
