asset,n_overlap,anchor_date,scale_factor,normalized_ratio_mean_abs,normalized_ratio_max_abs
QQQ,60,2026-06-04,0.9982332898874781,0.002822883012488279,0.0028708526641267884
TQQQ,60,2026-06-04,0.993953050605166,0.008260192015439868,0.008400240842222129
