date,reason,target,fee
2000-08-28,REVERSAL_ENTRY,0.35,0.00020841330491747464
2000-09-13,BULL_EXIT,0.0,0.00019062302921061882
2001-12-24,REVERSAL_ENTRY,0.35,0.00011791199677605943
2002-02-05,BULL_EXIT,0.0,0.0001029658579974529
2002-11-15,REVERSAL_ENTRY,0.35,8.687223964102823e-05
2002-12-12,BULL_FULL,1.0,4.181545360824076e-05
2008-02-13,BULL_EXIT,0.0,0.0002713505297121091
2009-04-01,REVERSAL_ENTRY,0.35,0.00010074471269130434
2009-04-22,BULL_FULL,1.0,4.845592614577246e-05
2014-07-24,RATCHET_60_TO_50,0.5,0.000457977115909497
2018-12-21,BULL_EXIT,0.0,0.005411343131650606
2020-05-11,REVERSAL_ENTRY,0.35,0.0016376418950078955
2020-05-12,BULL_FULL,1.0,0.0007875994482673699
2022-03-08,BULL_EXIT,0.0,0.005545679788035671
2023-02-03,REVERSAL_ENTRY,0.35,0.0026014646994098165
2023-02-28,BULL_FULL,1.0,0.0012548190645513223
