start_year,date,reason,target_weight,price
1996,2000-09-13,BULL_EXIT,0.0,66.507676
1996,2001-12-24,REVERSAL_ENTRY,0.35,1.257756
1996,2002-02-05,BULL_EXIT,0.0,0.95029
1996,2002-11-15,REVERSAL_ENTRY,0.35,0.226152
1996,2002-12-12,BULL_FULL,1.0,0.204519
1996,2008-02-13,BULL_EXIT,0.0,0.446508
1996,2009-04-01,REVERSAL_ENTRY,0.35,0.080306
1996,2009-04-22,BULL_FULL,1.0,0.095538
1997,2000-08-28,REVERSAL_ENTRY,0.35,79.677436
1997,2000-09-13,BULL_EXIT,0.0,66.507676
1997,2001-12-24,REVERSAL_ENTRY,0.35,1.257756
1997,2002-02-05,BULL_EXIT,0.0,0.95029
1997,2002-11-15,REVERSAL_ENTRY,0.35,0.226152
1997,2002-12-12,BULL_FULL,1.0,0.204519
1997,2008-02-13,BULL_EXIT,0.0,0.446508
1997,2009-04-01,REVERSAL_ENTRY,0.35,0.080306
1997,2009-04-22,BULL_FULL,1.0,0.095538
1998,2000-08-28,REVERSAL_ENTRY,0.35,79.677436
1998,2000-09-13,BULL_EXIT,0.0,66.507676
1998,2001-12-24,REVERSAL_ENTRY,0.35,1.257756
1998,2002-02-05,BULL_EXIT,0.0,0.95029
1998,2002-11-15,REVERSAL_ENTRY,0.35,0.226152
1998,2002-12-12,BULL_FULL,1.0,0.204519
1998,2008-02-13,BULL_EXIT,0.0,0.446508
1998,2009-04-01,REVERSAL_ENTRY,0.35,0.080306
1998,2009-04-22,BULL_FULL,1.0,0.095538
1999,2000-08-28,REVERSAL_ENTRY,0.35,79.677436
1999,2000-09-13,BULL_EXIT,0.0,66.507676
1999,2001-12-24,REVERSAL_ENTRY,0.35,1.257756
1999,2002-02-05,BULL_EXIT,0.0,0.95029
1999,2002-11-15,REVERSAL_ENTRY,0.35,0.226152
1999,2002-12-12,BULL_FULL,1.0,0.204519
1999,2008-02-13,BULL_EXIT,0.0,0.446508
1999,2009-04-01,REVERSAL_ENTRY,0.35,0.080306
1999,2009-04-22,BULL_FULL,1.0,0.095538
1999,2018-12-21,BULL_EXIT,0.0,3.910327911376953
2000,2000-08-28,REVERSAL_ENTRY,0.35,79.677436
2000,2000-09-13,BULL_EXIT,0.0,66.507676
