strategy,activate_mult,trail_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,score
V12_A6p0_T45,6.0,-0.45,0.31843051075055673,-0.5804007047324976,0.5486390835747158,1861.928620869664,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670073,-0.14723087963306436,-0.3251312262841066,-0.5614916416879033,381.35541477407634,-0.5804007047324976,0.43992287117824946,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.8750562966302144,0.671174852359075,2023-02-03,2023-02-28,1.0,1.0,0,1.2564377687288661
V12_A5p0_T45,5.0,-0.45,0.31843051075055673,-0.5804007047324976,0.5486390835747158,1861.928620869664,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670073,-0.14723087963306436,-0.3251312262841066,-0.5614916416879033,381.35541477407634,-0.5804007047324976,0.43992287117824946,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.8750562966302144,0.671174852359075,2023-02-03,2023-02-28,1.0,1.0,0,1.2564377687288661
V12_A7p0_T45,7.0,-0.45,0.31843051075055673,-0.5804007047324976,0.5486390835747158,1861.928620869664,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670073,-0.14723087963306436,-0.3251312262841066,-0.5614916416879033,381.35541477407634,-0.5804007047324976,0.43992287117824946,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.8750562966302144,0.671174852359075,2023-02-03,2023-02-28,1.0,1.0,0,1.2564377687288661
V12_A5p0_T55,5.0,-0.55,0.31351685347257696,-0.5804007047324976,0.5401731095710413,1681.8843335363663,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670086,-0.14723087963306436,-0.3251312262841064,-0.5614916416879032,344.38251077044595,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.87505629663021,0.6711748523590746,2023-02-03,2023-02-28,1.0,1.0,0,1.230061013761304
V12_A7p0_T50,7.0,-0.5,0.31351685347257696,-0.5804007047324976,0.5401731095710413,1681.8843335363663,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670086,-0.14723087963306436,-0.3251312262841064,-0.5614916416879032,344.38251077044595,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.87505629663021,0.6711748523590746,2023-02-03,2023-02-28,1.0,1.0,0,1.230061013761304
V12_A6p0_T55,6.0,-0.55,0.31351685347257696,-0.5804007047324976,0.5401731095710413,1681.8843335363663,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670086,-0.14723087963306436,-0.3251312262841064,-0.5614916416879032,344.38251077044595,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.87505629663021,0.6711748523590746,2023-02-03,2023-02-28,1.0,1.0,0,1.230061013761304
V12_A5p0_T50,5.0,-0.5,0.31351685347257696,-0.5804007047324976,0.5401731095710413,1681.8843335363663,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670086,-0.14723087963306436,-0.3251312262841064,-0.5614916416879032,344.38251077044595,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.87505629663021,0.6711748523590746,2023-02-03,2023-02-28,1.0,1.0,0,1.230061013761304
V12_A6p0_T50,6.0,-0.5,0.31351685347257696,-0.5804007047324976,0.5401731095710413,1681.8843335363663,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670086,-0.14723087963306436,-0.3251312262841064,-0.5614916416879032,344.38251077044595,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.87505629663021,0.6711748523590746,2023-02-03,2023-02-28,1.0,1.0,0,1.230061013761304
V12_A7p0_T55,7.0,-0.55,0.31351685347257696,-0.5804007047324976,0.5401731095710413,1681.8843335363663,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670086,-0.14723087963306436,-0.3251312262841064,-0.5614916416879032,344.38251077044595,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.87505629663021,0.6711748523590746,2023-02-03,2023-02-28,1.0,1.0,0,1.230061013761304
V12_A7p0_T35,7.0,-0.35,0.27221396357753624,-0.5804007047324976,0.4690103946427798,704.4879044067004,1814,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.193824217267009,-0.14723087963306447,-0.3251312262841064,-0.5614916416879032,143.66975901951048,-0.5804007047324976,0.35662429170333776,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630213,0.6711748523590748,2023-02-03,2023-02-28,1.0,1.0,0,1.0094999738924197
V12_A6p0_T35,6.0,-0.35,0.27221396357753624,-0.5804007047324976,0.4690103946427798,704.4879044067004,1814,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.193824217267009,-0.14723087963306447,-0.3251312262841064,-0.5614916416879032,143.66975901951048,-0.5804007047324976,0.35662429170333776,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630213,0.6711748523590748,2023-02-03,2023-02-28,1.0,1.0,0,1.0094999738924197
V12_A6p0_T40,6.0,-0.4,0.2669694879346034,-0.5804007047324976,0.4599744379318899,629.5219088317122,1841,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.193824217267009,-0.14723087963306436,-0.32513122628410696,-0.5614916416879034,128.27515473084657,-0.5804007047324976,0.34729799407687545,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630214,0.6711748523590749,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.98164236004922
V12_A7p0_T40,7.0,-0.4,0.2669694879346034,-0.5804007047324976,0.4599744379318899,629.5219088317122,1841,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.193824217267009,-0.14723087963306436,-0.32513122628410696,-0.5614916416879034,128.27515473084657,-0.5804007047324976,0.34729799407687545,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630214,0.6711748523590749,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.98164236004922
V12_A3p0_T45,3.0,-0.45,0.26354136117650184,-0.5569996475923158,0.4731445743559885,584.7383944960503,725,-0.22223753493752263,-0.3825580141011322,-0.12323915273553154,-0.4753276811071643,1.1938242172670086,-0.14723087963306436,-0.20603495760967394,-0.49034666595960474,112.49852636993656,-0.5569996475923158,0.3365891962234129,-0.5569996475923158,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9246969130390748,0.09027319738313921,2023-02-03,2023-02-28,0.0,1.0000000000000002,0,0.7503551933276341
V12_A4p0_T45,4.0,-0.45,0.26354136117650184,-0.5569996475923158,0.4731445743559885,584.7383944960503,725,-0.22223753493752263,-0.3825580141011322,-0.12323915273553154,-0.4753276811071643,1.1938242172670086,-0.14723087963306436,-0.20603495760967394,-0.49034666595960474,112.49852636993656,-0.5569996475923158,0.3365891962234129,-0.5569996475923158,16,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9246969130390748,0.09027319738313921,2023-02-03,2023-02-28,0.0,1.0000000000000002,0,0.7503551933276341
V12_A6p0_T30,6.0,-0.3,0.21600012333216578,-0.5804007047324976,0.3721568936269963,205.73652838766108,2988,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670077,-0.14723087963306436,-0.32513122628410673,-0.5614916416879034,41.248921233672384,-0.5804007047324976,0.2580094257433616,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630211,0.6711748523590747,2023-02-03,2023-02-28,1.0,1.0,0,0.7126591274083393
V12_A7p0_T30,7.0,-0.3,0.2137158919503397,-0.5804007047324976,0.36822128265478205,195.46565072018632,2842,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670077,-0.14723087963306436,-0.32513122628410673,-0.5614916416879034,39.13975031990941,-0.5804007047324976,0.2540655327832424,-0.5804007047324976,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630214,0.6711748523590749,2023-02-03,2023-02-28,1.0,1.0,0,0.7006793724147059
