start_date,full_date,age_td,age_bucket,horizon_y,policy,CAGR,MDD,Final,late_entry_date,late_entry_qqq_drawdown
2004-12-15,2002-12-12,505,505_756,3,IMM25,0.05500757692407943,-0.11349940573029216,1.1739693090866077,2004-12-16,-0.009422273751215848
2004-12-15,2002-12-12,505,505_756,3,IMM50,0.0683557030423052,-0.24460893958337382,1.2190227188060934,2004-12-16,-0.009422273751215848
2004-12-15,2002-12-12,505,505_756,3,IMM100,0.09407175601684692,-0.4881698347900857,1.3090394764565216,2004-12-16,-0.009422273751215848
2004-12-15,2002-12-12,505,505_756,3,PB5_50,0.10638991410796628,-0.2683337195463512,1.35368292248117,2005-01-20,-0.06671680807513503
2004-12-15,2002-12-12,505,505_756,3,PB5_100,0.16455670524091692,-0.4881698347900857,1.5782252908994534,2005-01-20,-0.06671680807513503
2004-12-15,2002-12-12,505,505_756,3,PB10_50,0.14836381866319726,-0.29110190775931855,1.5134021349044748,2005-04-14,-0.11169415493639279
2004-12-15,2002-12-12,505,505_756,3,PB10_100,0.23843721943581442,-0.4881698347900857,1.8975040763533364,2005-04-14,-0.11169415493639279
2004-12-15,2002-12-12,505,505_756,3,PB15_50,0.19053303576532654,-0.2282860674100089,1.6860331766228769,2006-07-13,-0.15853020362337933
2004-12-15,2002-12-12,505,505_756,3,PB15_100,0.3094878707000355,-0.3161763396632924,2.2425936150208066,2006-07-13,-0.15853020362337933
2004-12-15,2002-12-12,505,505_756,3,WAIT_NEXT,0.04131369933772211,0.0,1.1289158993671207,,
2004-12-15,2002-12-12,505,505_756,5,IMM25,0.21230919209724175,-0.19099267454029,2.6182935985454083,2004-12-16,-0.009422273751215848
2004-12-15,2002-12-12,505,505_756,5,IMM50,0.19566811167671827,-0.33761603966871345,2.4434760117904926,2004-12-16,-0.009422273751215848
2004-12-15,2002-12-12,505,505_756,5,IMM100,0.15933967962145323,-0.5643134086518345,2.0941902987239533,2004-12-16,-0.009422273751215848
2004-12-15,2002-12-12,505,505_756,5,PB5_50,0.21604718058751904,-0.36265208326959786,2.6589042683346755,2005-01-20,-0.06671680807513503
2004-12-15,2002-12-12,505,505_756,5,PB5_100,0.2035270107665026,-0.5643134086518344,2.524831491216073,2005-01-20,-0.06671680807513503
2004-12-15,2002-12-12,505,505_756,5,PB10_50,0.2385720953324979,-0.3860082240263415,2.9144217154342376,2005-04-14,-0.11169415493639279
2004-12-15,2002-12-12,505,505_756,5,PB10_100,0.2487067165025607,-0.5643134086518344,3.035610995662967,2005-04-14,-0.11169415493639279
2004-12-15,2002-12-12,505,505_756,5,PB15_50,0.2612061344290626,-0.40584547926178005,3.1905953979910846,2006-07-13,-0.15853020362337933
2004-12-15,2002-12-12,505,505_756,5,PB15_100,0.2911470563953533,-0.5643134086518344,3.587682325111937,2006-07-13,-0.15853020362337933
2004-12-15,2002-12-12,505,505_756,5,WAIT_NEXT,0.22808387059066404,-0.19099267454029012,2.793111185300325,,
2005-01-03,2002-12-12,517,505_756,3,IMM25,0.05888379757011286,-0.12034281291512938,1.1871221696575125,2005-01-04,-0.018228227363606297
2005-01-03,2002-12-12,517,505_756,3,IMM50,0.07579558368327244,-0.25313948708038303,1.2448759336598558,2005-01-04,-0.018228227363606297
2005-01-03,2002-12-12,517,505_756,3,IMM100,0.10807992720626314,-0.4881698347900857,1.360268011861439,2005-01-04,-0.018228227363606297
2005-01-03,2002-12-12,517,505_756,3,PB5_50,0.10027300223389646,-0.26833371954635143,1.3317377427183177,2005-01-20,-0.0544309391989638
2005-01-03,2002-12-12,517,505_756,3,PB5_100,0.15338407409536314,-0.4881698347900857,1.5339048115785043,2005-01-20,-0.0544309391989638
2005-01-03,2002-12-12,517,505_756,3,PB10_50,0.1414907255095823,-0.2911019077593189,1.4869716436387694,2005-04-14,-0.10000037406814521
2005-01-03,2002-12-12,517,505_756,3,PB10_100,0.22648688886075097,-0.4881698347900858,1.8442174570966487,2005-04-14,-0.10000037406814521
2005-01-03,2002-12-12,517,505_756,3,PB15_50,0.18293166043111664,-0.22828606741000879,1.6547547776733023,2006-07-13,-0.15853020362337933
