horizon_y,age_bucket,policy,n_month_starts,n_distinct_campaigns,CAGR_Median,CAGR_P10,MDD_Median,MDD_Worst,Final_Median,WinRate_vs_Wait,CAGR_Diff_vs_Wait_Median,CAGR_Diff_vs_Wait_P10,EntryRate
3,505_756,PB10_100,26,2,0.4274435077629144,0.04828840021251524,-0.40377728078088104,-0.5643134086518345,3.055779629944259,1.0,0.4065394285450573,0.00973299699666641,1.0
3,505_756,PB10_50,26,2,0.2628185108733162,0.04344174256626265,-0.25709065341085346,-0.3791548637628275,2.060986877346517,1.0,0.24191443165545912,0.0048916253941224674,1.0
3,505_756,PB15_100,26,2,0.1297148101966754,0.0004912405806856146,-0.3193847267716763,-0.5643134086518344,1.4412152217195924,0.6538461538461539,0.09045564830755926,0.0,0.6538461538461539
3,505_756,PB15_50,26,2,0.08634807941650191,0.0004912405806856146,-0.22568273323619853,-0.40584547926178016,1.2817006181810597,0.6538461538461539,0.04713337494318992,0.0,0.6538461538461539
3,505_756,PB5_100,26,2,0.3072521821599613,0.026924994284005965,-0.46364188783531746,-0.5643134086518345,2.313682616812211,0.6923076923076923,0.2863463578994757,-0.012715262031576913,1.0
3,505_756,PB5_50,26,2,0.18581878826751752,0.03330806701820621,-0.25895188341129566,-0.39462943653808213,1.689756143420694,0.6923076923076923,0.16491296400703193,-0.006321760395892273,1.0
3,505_756,WAIT_NEXT,26,2,0.018357647350278783,0.0004912405806856146,0.0,0.0,1.0570795639237904,0.0,0.0,0.0,0.0
3,757_1008,IMM100,24,2,0.38330765741742534,-0.04544081301924796,-0.5048412675972811,-0.5643134086518344,2.6535496615221312,0.625,0.2606833499049396,-0.08803802773058611,1.0
3,757_1008,IMM25,24,2,0.1863853145540132,0.019066929171734318,-0.2170629851519681,-0.26556834410230246,1.6702100120873942,0.625,0.08185604722941209,-0.020620405280897324,1.0
3,757_1008,IMM50,24,2,0.2803440282668863,-0.0015297847445605662,-0.34113160785776464,-0.4020836033183377,2.099285299300022,0.625,0.14950359335035934,-0.04210694088965089,1.0
3,757_1008,PB10_100,24,2,0.11083815997260305,0.02203001382535222,-0.4581510712088591,-0.5643134086518345,1.370723010281131,0.7083333333333334,0.033516359619492286,-0.13112412936184045,1.0
3,757_1008,PB10_50,24,2,0.1506410825632264,0.029185300031463274,-0.2635223103077432,-0.41225756489019383,1.5252602426245871,0.7083333333333334,0.017087067826822788,-0.062034088075679714,1.0
3,757_1008,PB15_100,24,2,0.0986720673073953,0.00035670744302553905,-0.1420737377050184,-0.5643134086518344,1.326477292065204,0.2916666666666667,0.0,-0.05701409755663116,0.5833333333333334
3,757_1008,PB15_50,24,2,0.07842747297262098,0.00035670744302553905,-0.09775374951243626,-0.41225756489019394,1.2541952033876804,0.2916666666666667,0.0,-0.027866678470357086,0.5833333333333334
