start_date,full_date,age_td,age_bucket,horizon_y,policy,CAGR,MDD,Final,initial_entry_date,add_date,add_qqq_dd
2005-03-01,2002-12-12,556,505_756,5,IMM100,0.2151459837009002,-0.5643134086518344,2.649067604749249,2005-03-02,,
2005-03-01,2002-12-12,556,505_756,5,L25_TO50_PB5_POST,0.23622016118401445,-0.378670301724894,2.8868587082935244,2005-03-02,2005-03-22,-0.05070956235713753
2005-03-01,2002-12-12,556,505_756,5,L25_TO100_PB5_POST,0.23921401887759242,-0.5643134086518344,2.921981057171718,2005-03-02,2005-03-22,-0.05070956235713753
2005-03-01,2002-12-12,556,505_756,5,L50_TO100_PB5_POST,0.2313937229183498,-0.5643134086518344,2.830949248820767,2005-03-02,2005-03-22,-0.05070956235713753
2005-03-01,2002-12-12,556,505_756,5,L25_TO100_PB5_R63,0.21980564873623698,-0.5643134086518344,2.7002439179779354,2005-03-02,2005-03-03,-0.06973248421584177
2005-03-01,2002-12-12,556,505_756,5,L25_TO100_PB10_R63,0.2647744233768117,-0.5643134086518344,3.235981433679553,2005-03-02,2005-04-15,-0.10278929173775964
2005-03-01,2002-12-12,556,505_756,5,WAIT_NEXT,0.24078538029682162,-0.24310272735162086,2.940551739782748,,,
2005-04-01,2002-12-12,578,505_756,3,IMM25,0.041090630451684484,-0.22348208232879596,1.1284404922427367,2005-04-04,,
2005-04-01,2002-12-12,578,505_756,3,IMM50,0.041266454415002096,-0.3758893882341736,1.1290124590251815,2005-04-04,,
2005-04-01,2002-12-12,578,505_756,3,IMM100,0.04161757307626868,-0.5643134086518345,1.1301552492281906,2005-04-04,,
2005-04-01,2002-12-12,578,505_756,3,L25_TO50_PB5_POST,0.05637428605146688,-0.3946028632597376,1.1788844347400962,2005-04-04,2005-04-15,-0.05955576053455869
2005-04-01,2002-12-12,578,505_756,3,L25_TO100_PB5_POST,0.082830742999493,-0.5643134086518347,1.2697187045859044,2005-04-04,2005-04-15,-0.05955576053455869
