horizon_y,age_bucket,policy,n,campaigns,CAGR_Median,CAGR_P10,MDD_Median,MDD_Worst,WinRate_vs_Wait,DiffCAGR_Median,DiffCAGR_P10,AddRate
3,1009_plus,IMM100,82,2,0.2901671134330769,0.13640734835814244,-0.5475367824704787,-0.5643134086518345,0.5853658536585366,0.1794045801311469,-0.22210807514688036,0.0
3,1009_plus,IMM25,82,2,0.14288062264160728,0.0654220792023246,-0.24657043966996667,-0.430919275785555,0.5853658536585366,0.05068197784870365,-0.048890249259695165,0.0
3,1009_plus,IMM50,82,2,0.24680724848103108,0.11177409601921169,-0.35375006727834124,-0.4552585205656623,0.5853658536585366,0.09696425739945358,-0.1016036390688863,0.0
3,1009_plus,L25_TO100_PB10_R63,82,2,0.24596471150379196,0.002812881448638715,-0.4496298463640216,-0.563727339603928,0.4878048780487805,-0.01165010927618082,-0.1815959734275672,1.0
3,1009_plus,L25_TO100_PB5_POST,82,2,0.2938078772073117,-0.015662751927449294,-0.48020090828478,-0.5643134086518344,0.4878048780487805,-0.030124399727052165,-0.21190738249342977,1.0
3,1009_plus,L25_TO100_PB5_R63,82,2,0.3021934888904638,-0.015662751927449294,-0.48098202375406424,-0.5643134086518344,0.4878048780487805,-0.029061779610637217,-0.22551487402555984,1.0
3,1009_plus,L25_TO50_PB5_POST,82,2,0.2516434725884956,0.05810188168315509,-0.3286260323900006,-0.4644356789290678,0.573170731707317,0.043309442712816115,-0.09743016484756468,1.0
3,1009_plus,L50_TO100_PB5_POST,82,2,0.30737998612576156,0.05846770813740534,-0.5048697791765246,-0.5643134086518345,0.5609756097560976,0.04887398803983534,-0.20945025706757497,1.0
3,1009_plus,WAIT_NEXT,82,2,0.015207520803849017,0.0012286699769291198,0.0,-0.430919275785555,0.0,0.0,0.0,0.0
3,505_756,IMM100,26,2,0.24504385167865206,-0.010232666661761092,-0.46364188783531746,-0.5643134086518345,0.6538461538461539,0.2240876764312726,-0.049436166714582896,0.0
3,505_756,IMM25,26,2,0.09028119366756038,0.02637199206503449,-0.14523433058447377,-0.23925765188519976,0.6538461538461539,0.0693250184201809,-0.011923016168996048,0.0
3,505_756,IMM50,26,2,0.1484723729744889,0.014740527421449823,-0.23838627702374432,-0.3899302736847944,0.6538461538461539,0.12751619772710943,-0.024129126780668142,0.0
3,505_756,L25_TO100_PB10_R63,26,2,0.39688286232528147,0.041213968307982185,-0.4037772807808811,-0.5643134086518347,0.9230769230769231,0.3759770380647959,0.0029615582995335954,1.0
3,505_756,L25_TO100_PB5_POST,26,2,0.29064097431080516,0.014944263585992767,-0.46364188783531746,-0.5643134086518347,0.6923076923076923,0.26973515005031956,-0.0248834771510118,1.0
3,505_756,L25_TO100_PB5_R63,26,2,0.2816012072875286,0.011771123179696641,-0.46364188783531746,-0.5643134086518345,0.6153846153846154,0.260695383027043,-0.028648162393298704,1.0
3,505_756,L25_TO50_PB5_POST,26,2,0.17065694240518348,0.02125937208435913,-0.2589256326365067,-0.3946028632597376,0.6923076923076923,0.14975111814469788,-0.01856836865264544,1.0
3,505_756,L50_TO100_PB5_POST,26,2,0.2739746889051895,0.002447382808320575,-0.4636418878353174,-0.5643134086518345,0.6923076923076923,0.25301851365781003,-0.037380357928683994,1.0
3,505_756,WAIT_NEXT,26,2,0.018357647350278783,0.0004912405806856146,0.0,0.0,0.0,0.0,0.0,0.0
3,757_1008,IMM100,24,2,0.38330765741742534,-0.04544081301924796,-0.5048412675972811,-0.5643134086518344,0.625,0.2606833499049396,-0.08803802773058611,0.0
3,757_1008,IMM25,24,2,0.1863853145540132,0.019066929171734318,-0.2170629851519681,-0.26556834410230246,0.625,0.08185604722941209,-0.020620405280897324,0.0
3,757_1008,IMM50,24,2,0.2803440282668863,-0.0015297847445605662,-0.34113160785776464,-0.4020836033183377,0.625,0.14950359335035934,-0.04210694088965089,0.0
3,757_1008,L25_TO100_PB10_R63,24,2,0.19074157832740835,0.034177483517790375,-0.4581510712088591,-0.5643134086518345,0.625,0.12422386496990756,-0.09492809570795226,1.0
3,757_1008,L25_TO100_PB5_POST,24,2,0.3696462965060622,-0.00731299957264376,-0.5048412675972811,-0.5643134086518345,0.5833333333333334,0.2552769847906512,-0.05065031191674929,1.0
3,757_1008,L25_TO100_PB5_R63,24,2,0.3882594309765445,-0.023148046941690727,-0.5048412675972811,-0.5643134086518345,0.625,0.2656010668384584,-0.06874867296099009,1.0
3,757_1008,L25_TO50_PB5_POST,24,2,0.2660527640470638,0.009801050858722541,-0.35764975438212104,-0.39974978875645983,0.625,0.14731589323644467,-0.029986080768586797,1.0
3,757_1008,L50_TO100_PB5_POST,24,2,0.3702387010246341,-0.019701282592002697,-0.5048412675972811,-0.5643134086518344,0.625,0.2575476527520175,-0.06042884038180835,1.0
3,757_1008,WAIT_NEXT,24,2,0.0167506660255321,0.00035670744302553905,0.0,-0.19099267454029012,0.0,0.0,0.0,0.0
5,1009_plus,IMM100,82,2,0.26622772779783255,0.14411842529764446,-0.5637273396039271,-0.5643134086518345,0.5853658536585366,0.10991680779979796,-0.11644070343940541,0.0
5,1009_plus,IMM25,82,2,0.24448979717737296,0.06891261197434104,-0.3700231030824622,-0.5614916416879039,0.5853658536585366,0.03166202496109549,-0.02523895601252788,0.0
5,1009_plus,IMM50,82,2,0.2561041732992576,0.10759345689172972,-0.4534041237589121,-0.5614916416879038,0.5853658536585366,0.06014620354771982,-0.052722705963574736,0.0
5,1009_plus,L25_TO100_PB10_R63,82,2,0.24196020540908025,0.13321429725034312,-0.5614916416879034,-0.5637273396039281,0.4878048780487805,-0.009165096506059234,-0.09969517838374926,1.0
5,1009_plus,L25_TO100_PB5_POST,82,2,0.27942713837897515,0.11745301330981474,-0.5637273396039266,-0.5643134086518344,0.4878048780487805,-0.023789149230206474,-0.11817858965529518,1.0
5,1009_plus,L25_TO100_PB5_R63,82,2,0.26703862047673854,0.1174961426569225,-0.5637273396039268,-0.5643134086518344,0.4878048780487805,-0.02051139571826266,-0.1252550585075836,1.0
5,1009_plus,L25_TO50_PB5_POST,82,2,0.2661179359917071,0.123807311886456,-0.4590390158803839,-0.5614916416879039,0.573170731707317,0.033640027849834664,-0.05042687903012781,1.0
5,1009_plus,L50_TO100_PB5_POST,82,2,0.2739599765275549,0.1308723833841935,-0.5637273396039266,-0.5643134086518345,0.5609756097560976,0.037920710455753626,-0.1108657998111641,1.0
5,1009_plus,WAIT_NEXT,82,2,0.19431189346776023,0.0064553901212762495,-0.35375006727834124,-0.5614916416879039,0.0,0.0,0.0,0.0
5,505_756,IMM100,26,2,0.3314199819525018,0.17836741139710988,-0.5048412675972811,-0.5643134086518345,0.5769230769230769,0.18105007392115002,-0.055056092992086136,0.0
5,505_756,IMM25,26,2,0.20338751552848366,0.14554373755682393,-0.3015810629527684,-0.430919275785555,0.5769230769230769,0.06615133971294218,-0.01286728547215421,0.0
5,505_756,IMM50,26,2,0.266652140455663,0.19500930578758413,-0.3843253586126338,-0.430919275785555,0.5769230769230769,0.11283547746119427,-0.026296736878971938,0.0
5,505_756,L25_TO100_PB10_R63,26,2,0.37249151341915443,0.2279655525762435,-0.5048412675972811,-0.5643134086518347,0.9230769230769231,0.22404206708148278,0.0021382385933174097,1.0
5,505_756,L25_TO100_PB5_POST,26,2,0.33975502532462243,0.20338282931386753,-0.5048412675972811,-0.5643134086518347,0.5769230769230769,0.19717571944709966,-0.033570131296751016,1.0
