strategy,activate_mult,trail_dd,reenter_level,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V11_A2p0_T45_R1p000,2.0,-0.45,1.0,0.27363037197575046,-0.7152546967391682,0.38256354445937346,726.1655630946699,1380,-0.22223753493752263,-0.3825580141011322,-0.2525191061575085,-0.5643134086518345,0.6475388370201063,-0.6992207245312605,-0.20603495760967516,-0.49034666595960474,266.99205772840105,-0.7152546967391682,0.4088859246974661,-0.7152546967391682,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.074143212865804,0.3001121049782781,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A2p0_T45_R1p020,2.0,-0.45,1.02,0.2649515235890272,-0.7315787731325534,0.36216403936178876,602.7755154514956,2122,-0.22223753493752263,-0.3825580141011322,-0.25251910615750817,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.20603495760967538,-0.49034666595960474,245.4247913056793,-0.7315787731325534,0.40165693616190357,-0.7315787731325534,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.974097130336446,0.29034514282210516,2023-02-03,2023-02-28,1.0,1.0,0
V11_A2p0_T50_R0p980,2.0,-0.5,0.98,0.280275827150279,-0.6444927753111842,0.43487815207075325,836.7473870200089,750,-0.22223753493752263,-0.3825580141011322,-0.20100044756273983,-0.5217664391976711,0.27086404978879774,-0.6208707490136509,-0.3251312262841066,-0.5614916416879033,177.22047149677823,-0.6444927753111842,0.37408413389778183,-0.6444927753111842,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.17194036875941,0.30965951649550466,2023-02-03,2023-02-28,1.0,1.0,0
V11_A2p0_T50_R1p000,2.0,-0.5,1.0,0.27933609447032337,-0.6444927753111842,0.4334200555397225,820.1792567141802,750,-0.22223753493752263,-0.3825580141011322,-0.20100044756273983,-0.5217664391976711,0.27086404978879774,-0.6208707490136509,-0.3251312262841066,-0.5614916416879033,173.6915928402928,-0.6444927753111842,0.3724002370677635,-0.6444927753111842,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.089333296744615,0.30159503135223087,2023-02-03,2023-02-28,1.0,1.0,0
V11_A2p0_T50_R1p020,2.0,-0.5,1.02,0.27816879175970466,-0.6444927753111842,0.43160885958014783,800.0386486602035,750,-0.22223753493752263,-0.3825580141011322,-0.20100044756273983,-0.5217664391976711,0.27086404978879774,-0.6208707490136509,-0.3251312262841066,-0.5614916416879033,169.40180512264595,-0.6444927753111842,0.37030971369912424,-0.6444927753111842,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.988914201214489,0.29179165393850703,2023-02-03,2023-02-28,1.0,1.0,0
V11_A2p0_T55_R0p980,2.0,-0.55,0.98,0.2768005561677154,-0.6444927753111842,0.4294858945999296,777.0373933584152,750,-0.22223753493752263,-0.3825580141011322,-0.2580167692766966,-0.5643134086518344,0.2708640497887982,-0.6208707490136509,-0.32513122628410696,-0.5614916416879036,177.22047149677834,-0.6444927753111842,0.37408413389778183,-0.6444927753111842,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.1719403687594125,0.3096595164955049,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A2p0_T55_R1p000,2.0,-0.55,1.0,0.27586337436441055,-0.6444927753111842,0.42803175602893895,761.6515588934717,750,-0.22223753493752263,-0.3825580141011322,-0.2580167692766966,-0.5643134086518344,0.2708640497887982,-0.6208707490136509,-0.32513122628410696,-0.5614916416879036,173.69159284029288,-0.6444927753111842,0.3724002370677637,-0.6444927753111842,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.089333296744617,0.30159503135223104,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A2p0_T55_R1p020,2.0,-0.55,1.02,0.27469924026258075,-0.6444927753111842,0.42622547650739157,742.9481774121725,750,-0.22223753493752263,-0.3825580141011322,-0.2580167692766966,-0.5643134086518344,0.2708640497887982,-0.6208707490136509,-0.32513122628410696,-0.5614916416879036,169.40180512264604,-0.6444927753111842,0.37030971369912424,-0.6444927753111842,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.9889142012144903,0.29179165393850715,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A3p0_T30_R0p980,3.0,-0.3,0.98,0.3093671779244267,-0.6992207245312605,0.4424456642526127,1543.0054951270351,750,-0.22223753493752263,-0.3825580141011322,0.2900987239621129,-0.3161763396632925,0.6475388370201065,-0.6992207245312605,-0.3251312262841066,-0.5614916416879032,202.5421166961678,-0.6992207245312605,0.38532251267845496,-0.6992207245312605,27,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.716127080886507,0.4604101785715006,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A3p0_T30_R1p000,3.0,-0.3,1.0,0.29476507093881676,-0.6992207245312605,0.42156226295554905,1136.8726071106514,750,-0.22223753493752263,-0.3825580141011322,0.2900987239621129,-0.3161763396632925,0.6475388370201061,-0.6992207245312605,-0.32513122628410684,-0.5614916416879034,148.96800568499694,-0.6992207245312605,0.35961940215042243,-0.6992207245312605,27,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.150448681396527,0.40518603205120246,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A3p0_T30_R1p020,3.0,-0.3,1.02,0.29441412204944006,-0.6992207245312605,0.4210603486428519,1128.509345159898,750,-0.22223753493752263,-0.3825580141011322,0.2900987239621129,-0.3161763396632925,0.6475388370201061,-0.6992207245312605,-0.32513122628410585,-0.5614916416879028,147.86478470145747,-0.6992207245312605,0.35900402836534906,-0.6992207245312605,27,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.153060615174117,0.4054410211293872,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A3p0_T35_R0p980,3.0,-0.35,0.98,0.31780614546152774,-0.6992207245312605,0.4545147681006978,1838.0613174887708,658,-0.22223753493752263,-0.3825580141011322,0.06438426344157189,-0.36375119577023407,0.6475388370201061,-0.6992207245312605,-0.07878298117396743,-0.4014223530445531,292.8808652150037,-0.6992207245312605,0.4168745021127427,-0.6992207245312605,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.8578006779277025,0.47424101158212056,2023-02-03,2023-02-28,1.0,1.0,0
V11_A3p0_T35_R1p000,3.0,-0.35,1.0,0.30642155346174005,-0.6992207245312605,0.4382329394872515,1451.198740697886,658,-0.22223753493752263,-0.3825580141011322,0.06438426344157189,-0.36375119577023407,0.6475388370201061,-0.6992207245312605,-0.07878298117396731,-0.401422353044553,231.0268303659701,-0.6992207245312605,0.3964925556450243,-0.6992207245312605,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.278101999936177,0.4176481405092802,2023-02-03,2023-02-28,1.0,1.0,0
V11_A3p0_T35_R1p020,3.0,-0.35,1.02,0.30616750377640334,-0.6992207245312605,0.43786960688507925,1443.5320279628343,654,-0.22223753493752263,-0.3825580141011322,0.06438426344157189,-0.36375119577023407,0.6475388370201063,-0.6992207245312605,-0.07878298117396676,-0.40142235304455265,229.80102785846174,-0.6992207245312605,0.3960390801394016,-0.6992207245312605,24,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.2807786702124915,0.41790944946443737,2023-02-03,2023-02-28,1.0,1.0,0
