strategy,activate_mult,trail_dd,reenter_level,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,Roll3y_CAGR_P10,Roll3y_CAGR_Median,Roll3y_WorstMDD,Roll5y_CAGR_P10,Roll5y_CAGR_Median,Roll5y_WorstMDD
V11_A5p0_T45_R0p980,5.0,-0.45,0.98,0.3314771165638368,-0.6992207245312605,0.4740664927888837,2434.667939672798,690,-0.22223753493752263,-0.3825580141011322,-0.2525191061575093,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.20603495760967672,-0.49034666595960474,553.3057709883403,-0.6992207245312605,0.47308547974667237,-0.6992207245312605,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630211,0.6711748523590747,2023-02-03,2023-02-28,1.0,1.0,0,0.030103672699704136,0.3548155144623306,-0.6992207245312605,0.12555306918290335,0.29596825739255017,-0.6992207245312605
V11_A5p0_T45_R1p000,5.0,-0.45,1.0,0.32817074504427657,-0.7152546967391682,0.45881662370118004,2275.252688107974,705,-0.22223753493752263,-0.3825580141011322,-0.2525191061575093,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.20603495760967472,-0.49034666595960474,517.0113784405763,-0.7152546967391682,0.46698178852471695,-0.7152546967391682,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630212,0.6711748523590748,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.030103672699704136,0.3466267144510806,-0.7152546967391682,0.12555306918290335,0.2956017036687053,-0.7152546967391682
V11_A5p0_T45_R1p020,5.0,-0.45,1.02,0.32529495167493705,-0.7315787731325534,0.44464788156995566,2144.8154227006203,719,-0.22223753493752263,-0.3825580141011322,-0.2525191061575093,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.2060349576096755,-0.49034666595960474,487.314462574115,-0.7315787731325534,0.46168123192482136,-0.7315787731325534,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630211,0.6711748523590747,2023-02-03,2023-02-28,1.0,1.0,0,0.030103672699704136,0.32263877442838806,-0.7315787731325534,0.12555306918290335,0.29409563910518033,-0.7315787731325534
V11_A5p0_T55_R1p000,5.0,-0.55,1.0,0.31980631257334213,-0.7179610774225,0.4454368386117191,1915.5789952693979,750,-0.22223753493752263,-0.3825580141011322,-0.2525191061575093,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3251312262841074,-0.5614916416879039,435.12374178820227,-0.7179610774225,0.45158615156863635,-0.7179610774225,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630209,0.6711748523590745,2023-02-03,2023-02-28,1.0,1.0,0,0.030103672699704136,0.3202497816411658,-0.7179610774225,0.12555306918290335,0.2868355578992292,-0.7179610774225
V11_A5p0_T50_R1p000,5.0,-0.5,1.0,0.31980631257334213,-0.7179610774225,0.4454368386117191,1915.5789952693979,750,-0.22223753493752263,-0.3825580141011322,-0.2525191061575093,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3251312262841074,-0.5614916416879039,435.12374178820227,-0.7179610774225,0.45158615156863635,-0.7179610774225,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630209,0.6711748523590745,2023-02-03,2023-02-28,1.0,1.0,0,0.030103672699704136,0.3202497816411658,-0.7179610774225,0.12555306918290335,0.2868355578992292,-0.7179610774225
V11_A5p0_T55_R0p980,5.0,-0.55,0.98,0.31980631257334213,-0.7179610774225,0.4454368386117191,1915.5789952693979,750,-0.22223753493752263,-0.3825580141011322,-0.2525191061575093,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3251312262841074,-0.5614916416879039,435.12374178820227,-0.7179610774225,0.45158615156863635,-0.7179610774225,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630209,0.6711748523590745,2023-02-03,2023-02-28,1.0,1.0,0,0.030103672699704136,0.3202497816411658,-0.7179610774225,0.12555306918290335,0.2868355578992292,-0.7179610774225
V11_A5p0_T50_R0p980,5.0,-0.5,0.98,0.31980631257334213,-0.7179610774225,0.4454368386117191,1915.5789952693979,750,-0.22223753493752263,-0.3825580141011322,-0.2525191061575093,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3251312262841074,-0.5614916416879039,435.12374178820227,-0.7179610774225,0.45158615156863635,-0.7179610774225,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630209,0.6711748523590745,2023-02-03,2023-02-28,1.0,1.0,0,0.030103672699704136,0.3202497816411658,-0.7179610774225,0.12555306918290335,0.2868355578992292,-0.7179610774225
V11_A5p0_T50_R1p020,5.0,-0.5,1.02,0.31980631257334213,-0.7179610774225,0.4454368386117191,1915.5789952693979,750,-0.22223753493752263,-0.3825580141011322,-0.2525191061575093,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3251312262841074,-0.5614916416879039,435.12374178820227,-0.7179610774225,0.45158615156863635,-0.7179610774225,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630209,0.6711748523590745,2023-02-03,2023-02-28,1.0,1.0,0,0.030103672699704136,0.3202497816411658,-0.7179610774225,0.12555306918290335,0.2868355578992292,-0.7179610774225
V11_A5p0_T55_R1p020,5.0,-0.55,1.02,0.31980631257334213,-0.7179610774225,0.4454368386117191,1915.5789952693979,750,-0.22223753493752263,-0.3825580141011322,-0.2525191061575093,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3251312262841074,-0.5614916416879039,435.12374178820227,-0.7179610774225,0.45158615156863635,-0.7179610774225,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630209,0.6711748523590745,2023-02-03,2023-02-28,1.0,1.0,0,0.030103672699704136,0.3202497816411658,-0.7179610774225,0.12555306918290335,0.2868355578992292,-0.7179610774225
V11_A5p0_T40_R0p980,5.0,-0.4,0.98,0.30614012539992896,-0.7179610774225,0.4264021198739358,1442.708135943129,706,-0.22223753493752263,-0.3825580141011322,-0.2525191061575093,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.09675493555050974,-0.41786163736418147,327.4642774375965,-0.7179610774225,0.42657248300155626,-0.7179610774225,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.8750562966302144,0.671174852359075,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.030103672699704136,0.291874448123844,-0.7179610774225,0.11938778166716434,0.29409563910518033,-0.7179610774225
