date,reason,target_weight,tqqq_price,qqq_price,notional,fee,cash_after,shares_after,avg_cost_after
2000-08-28,CRASH_REVERSAL_ENTRY,0.35,79.677436,83.09077453613281,0.37758599292479295,0.00018879299646239647,0.7010423367210102,0.004738932524445101,79.717274718
2000-09-13,SLOW_BEAR_EXIT,0.0,66.507676,78.87299346923828,-0.31517538892165686,0.00015758769446082844,1.0179106582232962,0.0,
2001-12-24,CRASH_REVERSAL_ENTRY,0.35,1.257756,33.168827056884766,0.3749270574003951,0.00018746352870019757,0.6961056430720336,0.2980920444032031,1.258384878
2002-02-05,SLOW_BEAR_EXIT,0.0,0.95029,30.629697799682617,-0.28327388887591987,0.00014163694443795994,0.9805224121385254,0.0,
2002-11-15,CRASH_REVERSAL_ENTRY,0.35,0.226152,22.303747177124023,0.34766705814929955,0.0001738335290746498,0.6454935601767674,1.5373158678645316,0.22626507599999998
2002-12-12,BULL_FULL,1.0,0.204519,21.81448745727539,0.6457225624283378,0.0003228612812141689,0.0,4.694590069422029,0.21170886077179638
2008-01-07,MATURE_TRAIL_EXIT,0.0,0.572009,41.43018341064453,-2.6853477710200253,0.0013426738855100127,2.6840050971345155,0.0,
2009-04-01,CRASH_REVERSAL_ENTRY,0.35,0.080306,26.60420227050781,0.9521686939290516,0.0004760843469645258,1.7678372043784172,11.856756580193903,0.080346153
2009-04-22,BULL_FULL,1.0,0.095538,28.350719451904297,1.767116406382762,0.000883558203191381,-2.220446049250313e-16,30.35323344157641,0.08963278156505593
2010-06-08,MATURE_TRAIL_EXIT,0.0,0.2036486715078354,38.39617538452149,-6.181395666344239,0.0030906978331721193,6.178304968511067,0.0,
2010-09-27,NEW_HIGH_REENTRY,0.35,0.2764438390731811,43.18115234375,2.163308785471469,0.0010816543927357346,4.016491804339993,7.8254910390634205,0.2765820609927177
2010-10-14,BULL_FULL,1.0,0.2932664155960083,44.08167266845703,4.014756185459267,0.0020073780927296336,0.0,21.515282886861733,0.28729131919481804
2015-08-25,MATURE_TRAIL_EXIT,0.0,1.5878008604049685,90.6203384399414,-34.16198467961535,0.017080992339807675,34.144903687275544,0.0,
2015-11-02,NEW_HIGH_REENTRY,0.35,2.4569616317749023,106.13992309570312,11.951149274419043,0.005975574637209521,22.189015934998157,4.8641985775681675,2.4581901125907897
2015-11-03,BULL_FULL,1.0,2.480393886566162,106.5103759765625,22.177973615564607,0.011088986807782303,0.0,13.805509768375696,2.473373893780248
2018-10-30,MATURE_TRAIL_EXIT,0.0,5.827366352081299,158.14089965820312,-80.44976309756221,0.04022488154878111,80.40953821601343,0.0,
2019-03-22,NEW_HIGH_REENTRY,0.35,6.653648853302002,170.98577880859375,28.399253956205705,0.014199626978102852,52.72727200597535,4.268222532079075,6.656975677728654
2019-04-04,BULL_FULL,1.0,7.218163967132568,175.91734313964844,52.74555635927942,0.02637277817963971,-7.105427357601002e-15,11.575559494699046,7.0135169498995875
2022-01-24,MATURE_TRAIL_EXIT,0.0,27.455183029174805,344.0701904296875,-317.80910459206456,0.1589045522960323,317.65020003976855,0.0,
2023-02-03,CRASH_REVERSAL_ENTRY,0.35,12.25070095062256,300.37860107421875,113.84976747934938,0.05692488373967469,211.37835757790918,9.293326801317741,12.256826301097872
2023-02-28,BULL_FULL,1.0,10.623353004455566,287.9976806640625,211.89560249190816,0.10594780124595408,0.0,29.23953421841444,11.146150284808336
2024-08-06,MATURE_TRAIL_EXIT,0.0,27.03175926208496,435.4463195800781,-790.3960499276748,0.3951980249638374,790.0008519027109,0.0,
2024-10-10,NEW_HIGH_REENTRY,0.35,36.56796646118164,488.69915771484375,278.9387683431415,0.13946938417157073,517.8896718245198,7.627954062997901,36.58625044441223
2024-10-11,BULL_FULL,1.0,36.661712646484375,489.4630432128906,517.7239067093407,0.2588619533546703,0.0,21.7496049444383,36.64714869195032
