ticker,episode,age,obs_date,close,ma250,gap
SPY,2,150,1995-07-26,32.8219,28.2904484,0.16017602605407988
SPY,2,200,1995-10-05,34.2725,29.656604799999997,0.1556447621408099
SPY,2,250,1995-12-15,36.5249,31.382230800000002,0.16387200874196606
SPY,2,300,1996-02-28,38.1129,33.338843999999995,0.1431980065055647
SPY,2,325,1996-04-03,38.9128,34.298696799999995,0.13452707042793532
SPY,2,350,1996-05-09,38.4213,35.1348648,0.09353772153977369
SPY,2,400,1996-07-22,37.8884,36.7096108,0.03211118762392329
SPY,4,150,1999-05-27,79.8945,73.05566800000001,0.09361124451014513
SPY,4,200,1999-08-09,81.0902,75.9552408,0.06760506774668795
SPY,4,250,1999-10-19,79.3848,79.677178,-0.003669532573053691
SPY,4,300,1999-12-30,91.8866,82.7961464,0.10979319684859146
SPY,4,325,2000-02-04,89.3508,83.9881392,0.0638502156504499
SPY,4,350,2000-03-13,86.8444,84.854034,0.023456350937894
SPY,4,400,2000-05-23,86.6921,86.6253804,0.0007702084503631301
SPY,6,150,2003-12-04,70.9057,62.642892,0.13190336103895062
SPY,6,200,2004-02-18,76.5772,65.97691839999999,0.16066651576136692
SPY,6,250,2004-04-29,74.301,69.66459760000001,0.06655320722042024
SPY,6,300,2004-07-13,74.5922,71.8318832,0.038427459743948456
SPY,7,150,2005-03-30,80.0573,76.8852284,0.041257230628191754
SPY,7,200,2005-06-09,81.6154,77.88171000000001,0.04794052416157757
SPY,7,250,2005-08-19,83.2983,79.6774048,0.04544444198564057
SPY,7,300,2005-10-31,82.0545,81.18183080000001,0.010749562942844904
SPY,7,325,2005-12-06,86.6241,81.75295,0.05958378260356345
SPY,7,350,2006-01-12,88.4429,82.3778668,0.07362454789858663
SPY,7,400,2006-03-27,89.6357,83.8912108,0.06847545941010558
SPY,9,150,2010-02-26,82.6455,73.44186599999999,0.1253186295675004
SPY,9,200,2010-05-10,87.0475,78.94925319999999,0.10257534392991596
SPY,11,150,2011-04-18,99.7816,90.1727236,0.10656078708040706
SPY,11,200,2011-06-29,100.3992,93.63490960000001,0.07224111636243813
SPY,12,150,2012-08-09,110.2896,100.880962,0.09326475296696701
SPY,12,200,2012-10-19,113.0706,105.25744879999999,0.07422896231169163
SPY,12,250,2013-01-04,116.2391,108.3947192,0.07236866203349135
SPY,12,300,2013-03-19,123.3289,111.5086864,0.1060026261774707
SPY,12,325,2013-04-24,125.9373,113.1201652,0.11330548162954757
SPY,12,350,2013-05-30,132.2789,115.5858336,0.1444213869475437
SPY,12,400,2013-08-09,135.7694,120.91547,0.12284557137312535
SPY,14,150,2016-10-19,183.4486,175.28829240000002,0.04655363737230389
SPY,14,200,2016-12-30,192.4955,178.21571959999997,0.08012637960360935
SPY,14,250,2017-03-15,205.7747,185.5325676,0.10910285273279441
SPY,14,300,2017-05-25,209.1003,191.515962,0.09181656618261402
SPY,14,325,2017-06-30,210.1547,194.8677556,0.07844778810599684
SPY,14,350,2017-08-07,215.4304,197.8289748,0.08897293845754684
SPY,14,400,2017-10-17,223.1376,204.27804120000002,0.09232298630441327
SPY,16,150,2019-09-19,271.8422,252.04341159999998,0.07855308843153286
SPY,16,200,2019-11-29,285.098,257.60839,0.10671084897506655
SPY,16,250,2020-02-12,307.5648,269.8989792,0.1395552547536274
SPY,17,150,2020-12-31,347.1632,295.3272092,0.17552053852544236
SPY,17,200,2021-03-16,367.619,309.3193496,0.1884772177213967
SPY,17,250,2021-05-26,390.3985,334.86686,0.1658319966329307
SPY,17,300,2021-08-06,413.5647,356.76043560000005,0.1592224325672955
SPY,17,325,2021-09-13,417.3874,367.10891280000004,0.13695795837948377
SPY,17,350,2021-10-18,419.2966,376.968284,0.11228614659794567
SPY,17,400,2021-12-29,449.2701,397.7213532,0.12961020670690004
SPY,20,150,2023-11-02,416.4574,400.44388680000003,0.03998940607625712
SPY,20,200,2024-01-17,458.4598,415.0741468,0.10452506747163182
SPY,20,250,2024-03-28,509.3304,436.1646708,0.16774794956639116
SPY,20,300,2024-06-10,521.5896,457.387234,0.1403676386822812
SPY,20,325,2024-07-17,544.0602,468.5482288,0.16116157645797502
SPY,20,350,2024-08-21,547.6552,478.432802,0.14468572746397945
SPY,20,400,2024-10-31,557.1935,505.9145304,0.10135895792409122
SPY,21,150,2025-12-17,665.8832,609.0353540000001,0.09334079807787288
SPY,21,200,2026-03-03,676.7337,628.5454852,0.0766662332872643
SPY,21,250,2026-05-13,740.4025,656.5264756,0.12775726115743558
SPY,21,300,2026-07-27,739.09,685.189898,0.07866447266273036
QQQ,1,150,2003-11-18,28.5485,24.6968256,0.1559582782979203
QQQ,1,200,2004-02-02,31.1644,26.4598576,0.17779923350759086
QQQ,1,250,2004-04-14,31.0295,28.3096728,0.0960741305353412
QQQ,1,300,2004-06-25,31.4679,29.4981364,0.06677586588147988
QQQ,5,150,2005-12-20,34.9664,32.6064484,0.07237683696946284
QQQ,5,200,2006-03-06,35.0859,33.246756,0.05531799854397845
QQQ,5,250,2006-05-16,34.0595,34.2136708,-0.004506116894069212
QQQ,6,150,2007-04-24,39.1708,35.471999200000006,0.1042738183192109
QQQ,6,200,2007-07-05,41.7404,36.79085439999999,0.1345319558547684
QQQ,6,250,2007-09-14,42.2208,38.653488800000005,0.09228950117434143
QQQ,6,300,2007-11-26,42.0368,40.3623308,0.041485939161868046
QQQ,6,325,2008-01-02,43.3092,41.0192444,0.055826372072324215
QQQ,8,150,2010-01-06,40.0038,31.990534,0.2504886601767884
QQQ,8,200,2010-03-19,41.2182,34.8379172,0.1831419129729146
QQQ,8,250,2010-06-01,39.2133,37.4139972,0.04809170189385692
QQQ,10,150,2011-04-11,49.7386,44.3573736,0.12131526200189624
QQQ,10,200,2011-06-22,48.155,46.2082736,0.04212939043885866
QQQ,14,150,2012-08-09,59.2553,53.404813600000004,0.10954979533904785
QQQ,14,200,2012-10-19,58.4105,55.9539968,0.04390219359629377
QQQ,15,150,2013-06-28,64.0844,60.5161396,0.05896378096133548
QQQ,15,200,2013-09-10,70.3247,62.3923332,0.1271368835426081
QQQ,15,250,2013-11-19,74.7656,65.0671436,0.14905305294514282
QQQ,15,300,2014-02-03,76.2607,68.8554988,0.10754698359690029
QQQ,15,325,2014-03-11,81.9647,70.88906320000001,0.15623900641417965
