ticker,episode,age,obs_date,gap,horizon,protocol,ret,mdd,first_entry_wait,fresh_wait
SPY,2,250,1995-12-15,0.16387200874196606,2y,HALF,0.3057331078374772,-0.06979408602133075,0.0,
SPY,2,250,1995-12-15,0.16387200874196606,2y,WAIT,0.0,0.0,,
SPY,2,250,1995-12-15,0.16387200874196606,2y,DCA3,0.5833060795324463,-0.1120298465568863,0.0,
SPY,2,250,1995-12-15,0.16387200874196606,2y,DCA6,0.5388298338994706,-0.1120298465568863,0.0,
SPY,2,250,1995-12-15,0.16387200874196606,3y,LUMP,0.737201852394207,-0.19064186072324119,0.0,
SPY,2,250,1995-12-15,0.16387200874196606,3y,HALF,0.3753832140925413,-0.14342223338011084,0.0,703.0
SPY,2,250,1995-12-15,0.16387200874196606,3y,WAIT,0.013564575790876221,-0.0482516309702512,703.0,703.0
SPY,2,250,1995-12-15,0.16387200874196606,3y,DCA3,0.7068445044122336,-0.19064186072324119,0.0,
SPY,2,250,1995-12-15,0.16387200874196606,3y,DCA6,0.6588979725212232,-0.19064186072324119,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,6m,LUMP,0.05106652186649718,-0.07624756614645622,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,6m,HALF,0.02553326093324859,-0.03936920720163706,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,6m,WAIT,0.0,0.0,,
SPY,2,300,1996-02-28,0.1431980065055647,6m,DCA3,0.035286746937940316,-0.07624756614645611,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,6m,DCA6,0.02573527594450864,-0.062284647865798126,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,1y,LUMP,0.2812548962426731,-0.07624756614645622,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,1y,HALF,0.14062744812133654,-0.03936920720163706,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,1y,WAIT,0.0,0.0,,
SPY,2,300,1996-02-28,0.1431980065055647,1y,DCA3,0.26201927845045403,-0.07624756614645611,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,1y,DCA6,0.2503759916345807,-0.062284647865798126,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,2y,LUMP,0.6970816942147671,-0.11202984655688619,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,2y,HALF,0.34854084710738364,-0.06858725917731145,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,2y,WAIT,0.0,0.0,,
SPY,2,300,1996-02-28,0.1431980065055647,2y,DCA3,0.6716032239058396,-0.11202984655688619,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,2y,DCA6,0.6561811490527745,-0.11202984655688619,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,3y,LUMP,0.8089017796470124,-0.1906418607232413,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,3y,HALF,0.4567783943973538,-0.14197169285374167,0.0,653.0
SPY,2,300,1996-02-28,0.1431980065055647,3y,WAIT,0.10465500914769477,-0.05112408851289496,653.0,653.0
SPY,2,300,1996-02-28,0.1431980065055647,3y,DCA3,0.7817445423486469,-0.1906418607232413,0.0,
SPY,2,300,1996-02-28,0.1431980065055647,3y,DCA6,0.7653063126849498,-0.19064186072324119,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,6m,LUMP,0.0701406349581628,-0.07624756614645634,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,6m,HALF,0.0350703174790814,-0.03886247912427854,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,6m,WAIT,0.0,0.0,,
SPY,2,325,1996-04-03,0.13452707042793532,6m,DCA3,0.06510552112801204,-0.075399975762792,0.0,
SPY,2,325,1996-04-03,0.13452707042793532,6m,DCA6,0.060081046700147356,-0.04699972994979318,0.0,
