ticker,horizon,protocol,n,median_ret,p10_ret,worst_ret,median_mdd,worst_mdd,median_regret_vs_lump,worst_regret_vs_lump,beat_lump_rate
QQQ,1y,DCA3,15,0.09098915897578008,-0.0854850162466703,-0.13267848794763204,-0.1052259557074271,-0.18098168717317265,0.034162143324889094,0.05474939401401069,0.2
QQQ,1y,DCA6,15,0.08525568122830118,-0.08551217705894092,-0.10105473862251557,-0.1052259557074271,-0.17396167880382263,0.06353314960596679,0.09374993451657843,0.2
QQQ,1y,HALF,15,0.09208924339604696,-0.07180319368775387,-0.1025709865431983,-0.0795184682905038,-0.14549435633686103,0.04401135590321159,0.13430991201805464,0.3333333333333333
QQQ,1y,LUMP,15,0.12278374340111942,-0.1127466766331251,-0.13667073622503412,-0.11717272974067183,-0.1987770204024596,0.0,0.0,0.0
QQQ,1y,WAIT,15,0.0,-0.0481121503902963,-0.06847123686136247,-0.03588242371695893,-0.14549435633686103,0.08802271180642285,0.2686198240361093,0.3333333333333333
QQQ,2y,DCA3,14,0.17916412671403414,-0.024703265910682858,-0.03998035452190829,-0.13941000925039482,-0.2197730730854216,0.03569689410582677,0.05308594095934516,0.21428571428571427
QQQ,2y,DCA6,14,0.1385513280360834,-0.005342559233451723,-0.059455320756074514,-0.13941000925039482,-0.21051649770604364,0.06857363389509952,0.09378929278545867,0.21428571428571427
QQQ,2y,HALF,14,0.1381499278568784,-0.02164581742554471,-0.04865432859759966,-0.10983213586677676,-0.1629939407949227,0.05448372529065515,0.12810525873379075,0.2857142857142857
QQQ,2y,LUMP,14,0.20322535159923372,-0.002479584763019271,-0.08220269205331832,-0.13941000925039487,-0.23672556113295462,0.0,0.0,0.0
QQQ,2y,WAIT,14,0.0862035813287102,-0.013561116052206779,-0.09117597459647708,-0.10983213586677665,-0.15375429730748003,0.1089674505813103,0.25621051746758106,0.2857142857142857
QQQ,3y,DCA3,14,0.3249950059478053,0.09360692905878237,0.05684811015339397,-0.2029551959477287,-0.27126820092213766,0.044593465795747744,0.05941067828210245,0.21428571428571427
QQQ,3y,DCA6,14,0.3048752070748436,0.11524814450000227,0.08981605101124579,-0.19539389418941377,-0.27126820092213766,0.0775497909526478,0.116491448178911,0.21428571428571427
QQQ,3y,HALF,14,0.2824685934725172,0.13526952933025377,0.08576232349244206,-0.16459617328429232,-0.27126820092213755,0.06766706023593938,0.14227740933486954,0.2857142857142857
QQQ,3y,LUMP,14,0.3594288915702183,0.09308213360139042,0.05531755943502481,-0.20295519594772893,-0.27126820092213766,0.0,0.0,0.0
QQQ,3y,WAIT,14,0.22761205965152875,0.10634120055725968,0.02871643896217213,-0.1622925118367135,-0.2712682009221373,0.13533412047187887,0.28455481866973864,0.2857142857142857
QQQ,6m,DCA3,15,0.05763211736089957,-0.080492335721471,-0.10510237551930846,-0.07615354267964325,-0.15560716348739556,0.03386828106417461,0.050378797059231095,0.2
