ticker,age,horizon,protocol,n,median_ret,mean_ret,p10_ret,worst_ret,median_mdd,worst_mdd,median_regret_vs_lump,worst_regret_vs_lump,beat_lump_rate
QQQ,150,1y,DCA3,11,0.14513971334153797,0.14283775282382116,-0.02083974874720984,-0.03235931163749595,-0.13557740989271516,-0.2712682009221373,0.021697256559308764,0.08800810818856974,0.09090909090909091
QQQ,150,1y,DCA6,11,0.1252506695306841,0.11643315322093471,-0.007748395179532186,-0.04699025880639962,-0.11617464085487583,-0.26978003814448626,0.057136052059270304,0.16465678870674294,0.36363636363636365
QQQ,150,1y,HALF,11,0.16416957808915633,0.12931151189019358,0.011265600576839008,-0.001620910515263585,-0.07923064454725337,-0.15323782698483268,-0.001620910515263585,0.19349642661008537,0.5454545454545454
QQQ,150,1y,LUMP,11,0.1321182638484315,0.1727744467535037,-0.00324182103052717,-0.03170281292897392,-0.13557740989271494,-0.27126820092213755,0.0,0.0,0.0
QQQ,150,1y,WAIT,11,0.05423401408265183,0.08584857702688335,0.0,0.0,-0.024369848910072545,-0.12497966194704946,-0.00324182103052717,0.3869928532201705,0.5454545454545454
QQQ,150,2y,DCA3,11,0.23413043730504657,0.227033585418524,-0.02470283112377214,-0.0510123991546364,-0.1663103521582754,-0.2712682009221373,0.029891624142817985,0.09846307820885802,0.09090909090909091
QQQ,150,2y,DCA6,11,0.22548395400090104,0.19876047418583276,-0.04164201146516311,-0.07635708585959755,-0.15104327047788457,-0.26978003814448626,0.05620678239793442,0.1842172794955852,0.36363636363636365
QQQ,150,2y,HALF,11,0.14013326332469878,0.21297604281566243,-0.007327026864548225,-0.0323857860323874,-0.12412563973060786,-0.21058886820693,-0.0015709624436827108,0.26537987514725025,0.5454545454545454
QQQ,150,2y,LUMP,11,0.23923241972081266,0.25918125274207776,-0.03395674847607011,-0.04503563001822064,-0.16631035215827528,-0.27126820092213755,0.0,0.0,0.0
QQQ,150,2y,WAIT,11,0.04088252550518212,0.16677083288924696,-0.03186956335697999,-0.055122406804247404,-0.07578778753971771,-0.21058886820693035,-0.0031419248873653105,0.5307597502945007,0.5454545454545454
QQQ,150,3y,DCA3,10,0.3132753868140158,0.3235503878035416,0.05589021885491674,0.05231809499889328,-0.20464675905425173,-0.2712682009221373,0.025523774532043686,0.06506504694149351,0.1
QQQ,150,3y,DCA6,10,0.2590817795211874,0.30013567817590375,0.05789804049562095,0.057188813187061927,-0.19708545729593657,-0.26978003814448626,0.05905509125649189,0.1287429937131348,0.4
QQQ,150,3y,HALF,10,0.26805238820448885,0.3188690244644062,0.10260215364653649,0.08136229001441642,-0.1596645035630841,-0.21058886820693,-0.013441635180876044,0.2344261527167666,0.6
QQQ,150,3y,LUMP,10,0.3480417051353132,0.3515577554713527,0.0742742091447655,0.056668452347020004,-0.20464675905425184,-0.27126820092213755,0.0,0.0,0.0
QQQ,150,3y,WAIT,10,0.24035456441723757,0.28618029345745966,0.07719322161198161,-0.06443890367507032,-0.13801146621246702,-0.21058886820693035,-0.026883270361751976,0.46885230543353407,0.6
QQQ,150,6m,DCA3,12,0.02120498050710734,0.03561486901183461,-0.08275478884169984,-0.11174091962333199,-0.10434799975101638,-0.2654952242456651,0.01844148118383865,0.07417831716067025,0.08333333333333333
QQQ,150,6m,DCA6,12,0.013949646358496381,0.012476589268303575,-0.06918626309241371,-0.16392609026966642,-0.07070142005596985,-0.26399527231730446,0.05248890871748857,0.13878225253037035,0.3333333333333333
QQQ,150,6m,HALF,12,0.041820565011097544,0.03261209035714224,-0.043982909719816846,-0.04765483024384998,-0.059253560405318484,-0.14652981961981693,0.03597987293273175,0.11336264260028517,0.4166666666666667
QQQ,150,6m,LUMP,12,0.07195974586546361,0.06067190203883336,-0.08417002647107127,-0.09530966048769995,-0.11287543020577717,-0.2654952242456653,0.0,0.0,0.0
QQQ,150,6m,WAIT,12,0.0,0.004552278675451114,0.0,-0.004217547742847105,0.0,-0.053524751759665645,0.07195974586546361,0.22672528520057056,0.4166666666666667
QQQ,200,1y,DCA3,11,0.10736314491963372,0.10592672183655781,-0.05952881269300481,-0.08867164888978984,-0.1283584355881755,-0.27126820092213766,0.011151092879137736,0.06385036517456566,0.36363636363636365
QQQ,200,1y,DCA6,11,0.10518119059639552,0.10770319955866112,-0.03133072119581448,-0.12037444150427623,-0.1118009262025812,-0.18636886883146653,-0.01392320888593801,0.09688707247428763,0.5454545454545454
QQQ,200,1y,HALF,11,0.11646737031839449,0.10452165420370423,-0.025755174756246002,-0.06110122302258958,-0.07560476032313712,-0.15376955106533685,-0.023767674180726672,0.15362373259124706,0.6363636363636364
QQQ,200,1y,LUMP,11,0.07898567531981304,0.11733478341492144,-0.04837771981386707,-0.0913876224564748,-0.1283584355881754,-0.27126820092213744,0.0,0.0,0.0
QQQ,200,1y,WAIT,11,0.0,0.09170852499248698,-0.0031326296986251556,-0.0308148235887048,-0.07199366681917008,-0.1274935121262487,-0.047535348361453345,0.30724746518249413,0.6363636363636364
QQQ,200,2y,DCA3,11,0.08180656693788246,0.20511703540908785,0.00665995143585163,-0.11305625581744194,-0.17220381597659862,-0.27126820092213766,0.012220857574244848,0.07079772844738219,0.36363636363636365
QQQ,200,2y,DCA6,11,0.12001633088752683,0.2097990686605865,0.011057950780821058,-0.14391077005293196,-0.15104327047788457,-0.21435560047516822,-0.014530700015805476,0.10742905899352317,0.5454545454545454
QQQ,200,2y,HALF,11,0.14209174862032747,0.20806412758738835,-0.01862382057758838,-0.08622353771142421,-0.14916753610414202,-0.21058886820693024,-0.0254789675579159,0.16619036499045925,0.6363636363636364
QQQ,200,2y,LUMP,11,0.09026476886456147,0.21848493881648368,0.00216969483650864,-0.11569955750053107,-0.17395382517595048,-0.27126820092213744,0.0,0.0,0.0
QQQ,200,2y,WAIT,11,0.09250046474434193,0.19764331635829296,-0.055122406804247404,-0.05674751792231769,-0.1052144941116655,-0.21058886820693035,-0.050957935115831576,0.3323807299809183,0.6363636363636364
QQQ,200,3y,DCA3,10,0.29604469513294385,0.26308268655353945,0.03598790007735657,0.03142764578435142,-0.20464675905425173,-0.27126820092213766,0.009729783474129339,0.05441887623815256,0.4
QQQ,200,3y,DCA6,10,0.2488979163880125,0.26952830148240353,0.04141115355015725,0.0386754320655025,-0.19708545729593652,-0.27126820092213755,-0.014747559970157198,0.08784993259228502,0.6
QQQ,200,3y,HALF,10,0.1723208893246566,0.26764427827501847,0.07910750549041608,0.058814444774413,-0.16143006963491774,-0.27126820092213755,-0.032711704270895425,0.16611644858392882,0.7
QQQ,200,3y,LUMP,10,0.3289835306830454,0.2684041926761348,0.05368429827801609,0.026826911656980812,-0.21055268295648683,-0.27126820092213755,0.0,0.0,0.0
QQQ,200,3y,WAIT,10,0.16650572328497681,0.2668843638739019,0.028540661944038526,-0.0004447695059468515,-0.15373128111132078,-0.2712682009221373,-0.06542340854179107,0.3322328971678581,0.7
QQQ,200,6m,DCA3,12,0.05841717308079197,0.04171473043110904,-0.06283767949426505,-0.1386017622751088,-0.08156919374228755,-0.27126820092213766,0.013324734721090525,0.061263909718972887,0.3333333333333333
QQQ,200,6m,DCA6,12,0.043488297813263244,0.03340831496383265,-0.043645207413877105,-0.1127745103074671,-0.06330605482599477,-0.175459499912476,-0.0028437428408821797,0.10928388393104194,0.5
QQQ,200,6m,HALF,12,0.062336272038673646,0.03488297375011352,-0.028624908783685666,-0.10766774473908203,-0.05125452658519275,-0.15376955106533685,-0.0002811254659879636,0.11538854948465582,0.5
QQQ,200,6m,LUMP,12,0.036694916510335185,0.052261017523270815,-0.059638474187739675,-0.12838823113833797,-0.10148978861138852,-0.27126820092213744,0.0,0.0,0.0
QQQ,200,6m,WAIT,12,0.0,0.017504929976956185,0.0,-0.08694725833982608,0.0,-0.12497966194704946,-0.0005622509319758162,0.23077709896931164,0.5
QQQ,250,1y,DCA3,9,0.1512987307908149,0.13932460866269397,-0.08806044610376322,-0.13267848794763204,-0.11717272974067183,-0.18098168717317265,0.003681911511195235,0.04116524449147141,0.4444444444444444
QQQ,250,1y,DCA6,9,0.15382012753323893,0.1374354155534638,-0.06849202107841021,-0.10105473862251557,-0.11717272974067172,-0.15416287858689792,0.004288780095922484,0.0718828831945828,0.4444444444444444
QQQ,250,1y,HALF,9,0.1295899377544023,0.11186208598090147,-0.06380161284606842,-0.06384649999974634,-0.0803321196500244,-0.1407481730943465,-0.007564190227272727,0.12970122632033187,0.5555555555555556
QQQ,250,1y,LUMP,9,0.14121314382111771,0.11440989985071386,-0.09143017908941722,-0.09676595852659309,-0.11717272974067183,-0.27126820092213755,0.0,0.0,0.0
QQQ,250,1y,WAIT,9,0.0,0.10931427211108909,-0.03239201179734832,-0.037596765769369656,-0.07199366681917008,-0.1274935121262487,-0.015128380454545454,0.25940245264066397,0.5555555555555556
