ticker,date,state,c,ma250,gap
SPY,1994-04-05,0.0,25.3566,25.630094,-0.010670815331383476
SPY,1994-05-31,1.0,25.9225,25.7630092,0.00619068986708271
SPY,1994-06-27,0.0,25.5332,25.8480144,-0.012179442301765375
SPY,1994-08-04,1.0,26.1651,25.9414188,0.008622550744988411
SPY,1994-11-29,0.0,26.163,26.2171208,-0.0020643304202954127
SPY,1994-12-20,1.0,26.3807,26.215396000000002,0.006305607590287643
SPY,1998-09-04,0.0,60.1861,63.6133832,-0.053876763466968014
SPY,1998-09-29,1.0,64.8398,64.0193092,0.012816301991587231
SPY,1998-10-06,0.0,60.92,64.0670876,-0.0491217521802878
SPY,1998-10-21,1.0,65.8824,64.2633796,0.02519351472140774
SPY,2000-10-12,0.0,84.0371,90.2215176,-0.06854703583483068
SPY,2002-03-12,1.0,75.141,74.179274,0.012964888278631514
SPY,2002-03-26,0.0,73.4911,74.19280520000001,-0.009457860477285251
SPY,2003-05-02,1.0,60.968,59.069328799999994,0.03214309758671252
SPY,2004-08-11,0.0,72.1249,72.52763759999999,-0.005552884573755801
SPY,2004-08-24,1.0,73.5853,72.7807144,0.011054928584213197
SPY,2007-11-21,0.0,100.382,103.48314719999999,-0.029967654482004225
SPY,2007-12-04,1.0,103.6978,103.6619268,0.00034605955250288645
SPY,2008-01-08,0.0,98.9418,104.160546,-0.05010290556656638
SPY,2009-07-23,1.0,72.15,68.86188960000001,0.04774934901002181
SPY,2010-07-02,0.0,76.9506,81.16305559999999,-0.05190114601846019
SPY,2010-07-28,1.0,83.4485,81.9901908,0.017786386222191863
SPY,2010-08-17,0.0,82.5148,82.52293519999999,-9.858107906945968e-05
SPY,2010-09-14,1.0,84.8188,82.9452152,0.022588220375127754
SPY,2011-08-10,0.0,86.2441,95.5679104,-0.09756214571371435
SPY,2012-01-05,1.0,99.4765,97.3754996,0.02157627338119461
SPY,2015-08-27,0.0,166.1386,169.9777188,-0.022586012020300084
SPY,2015-10-28,1.0,175.1148,170.79317319999998,0.025303275997685004
SPY,2016-01-08,0.0,161.7997,171.65469159999998,-0.057411722966271506
SPY,2016-03-17,1.0,172.515,170.15561839999998,0.013866022304674042
SPY,2018-10-30,0.0,238.1509,241.595008,-0.014255708462320493
SPY,2018-11-07,1.0,249.9264,242.03086480000002,0.032622017884059495
SPY,2018-11-26,0.0,237.9108,242.7280944,-0.01984646405232937
SPY,2019-02-14,1.0,245.4548,241.9124488,0.01464311248789274
SPY,2020-03-12,0.0,226.1571,272.4359768,-0.16987065123918677
SPY,2020-05-29,1.0,279.0247,271.2894796,0.028512791618035216
SPY,2022-03-10,0.0,400.3422,410.29300079999996,-0.024252913845953072
SPY,2022-03-23,1.0,418.8771,411.9384644,0.01684386431382734
SPY,2022-04-27,0.0,393.837,415.4030492,-0.05191596268138321
SPY,2023-02-01,1.0,392.8003,382.6013484,0.026656862665672687
SPY,2023-03-02,0.0,380.3795,380.51698999999996,-0.00036132420788870245
SPY,2023-03-30,1.0,387.4847,377.74042119999996,0.02579623003819531
SPY,2025-04-09,0.0,541.0084,551.898008,-0.019731196420625485
SPY,2025-05-14,1.0,579.4377,556.4364275999999,0.041336748025660786
QQQ,2000-10-03,0.0,70.7813,75.99075479999999,-0.06855379728377153
QQQ,2003-03-19,1.0,22.4984,22.1875268,0.01401116955495918
QQQ,2003-04-11,0.0,21.4956,21.6824848,-0.008619159737633053
