strategy,trend_ma,slope_lb,yellow_cap,red_dd,red_target,rec_fast_ma,rec_fast_days,rec_mid_ma,release_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,InvestedDayPct,AvgWeight,TradeCount,ActualEra_CAGR,ActualEra_MDD
V2_M150_S20_YC15_RD15_RT0_RF60x3_RM120_RL180,150,20,0.15,-0.15,0.0,60,3,120,180,0.039691045504036016,-0.5244707336281944,0.07567828471468843,2.88680485029432,5553,-0.4702852098920425,-0.5244707336281944,-0.08600607884716849,-0.29273370983641045,0.0018368852408510161,0.0,-0.08780893727991623,-0.16706769877289374,1.6737812644840444,-0.16706769877289374,0.26999416228838297,0.0930846237511425,255,0.062156320032926926,-0.16706769877289374
V2_M150_S20_YC15_RD15_RT0_RF60x3_RM120_RL200,150,20,0.15,-0.15,0.0,60,3,120,200,0.05109701976378633,-0.5996349978185851,0.08521353815182972,3.885783101897242,3792,-0.5317877572394478,-0.5996349978185851,-0.08600607884716882,-0.2927337098364112,0.0018368852408516823,0.0,0.03380524222797643,-0.16978795850740924,2.3058770312045103,-0.16978795850740924,0.2764156450671337,0.10472516310168778,265,0.07606649390942155,-0.16978795850740924
V2_M150_S20_YC15_RD15_RT0_RF60x5_RM100_RL180,150,20,0.15,-0.15,0.0,60,5,100,180,0.03444648465516864,-0.47859805541654576,0.07197372464288074,2.515348313430533,5544,-0.43486717464610825,-0.47859805541654576,-0.12663011007373892,-0.33187378975645276,0.0018368852408514602,0.0,-0.07097620638752888,-0.18667271675279729,1.303126358972837,-0.18667271675279729,0.24518388791593695,0.08679891087294993,229,0.05248241300737355,-0.18667271675279729
V2_M150_S20_YC15_RD15_RT0_RF60x5_RM100_RL200,150,20,0.15,-0.15,0.0,60,5,100,200,0.03451498429108102,-0.59532343149164,0.05797686176168207,2.5198888810359024,6743,-0.5447919576405602,-0.59532343149164,-0.1266301100737408,-0.3318737897564532,0.0018368852408510161,0.0,0.04892162956204871,-0.1900802601316124,1.8644525389940543,-0.1900802601316124,0.24109748978400466,0.09300205361649702,237,0.06665179142970268,-0.1900802601316124
V2_M150_S20_YC15_RD15_RT0_RF60x5_RM120_RL180,150,20,0.15,-0.15,0.0,60,5,120,180,0.03416331202268097,-0.527342246035963,0.06478394681914246,2.4966614217963237,6288,-0.45900547528994606,-0.527342246035963,-0.12266406974919075,-0.3218914042307628,0.0018368852408512382,0.0,-0.04304180640870381,-0.1659573379412198,1.377219298974016,-0.1659573379412198,0.23774080560420316,0.08645732585850803,224,0.054527705265637216,-0.1659573379412198
V2_M150_S20_YC15_RD15_RT0_RF60x5_RM120_RL200,150,20,0.15,-0.15,0.0,60,5,120,200,0.046439402594894874,-0.6022099638317886,0.07711496883812187,3.443075733530835,5326,-0.5218176564712305,-0.6022099638317886,-0.1226640697491922,-0.32189140423076346,0.0018368852408519043,0.0,0.08454076953752909,-0.16595733794122003,2.0113127464140055,-0.16595733794122003,0.23715703444249855,0.09780813525327152,228,0.0699267241511854,-0.16595733794122003
V2_M150_S20_YC15_RD15_RT15_RF40x3_RM100_RL180,150,20,0.15,-0.15,0.15,40,3,100,180,0.029097864142193952,-0.6052579718880055,0.048075143977745254,2.184131369336746,6851,-0.5805242008937691,-0.6052579718880055,-0.11899031015082451,-0.3881458684834216,0.0018368852408510161,0.0,-0.12867516708754323,-0.23048738421188752,1.6175866687202425,-0.23048738421188752,0.39565090484530063,0.10587366639456286,240,0.06077392460694586,-0.23048738421188752
V2_M150_S20_YC15_RD15_RT15_RF40x3_RM100_RL200,150,20,0.15,-0.15,0.15,40,3,100,200,0.02865974441884922,-0.679217009966647,0.04219526896161885,2.158946147665682,7374,-0.6524487949671081,-0.679217009966647,-0.11899031015082417,-0.3881458684834209,0.0018368852408516823,0.0,-0.016223603007297305,-0.23048738421188775,2.172755837564065,-0.23048738421188775,0.3880618797431407,0.11125827880005197,252,0.0733581695870662,-0.23048738421188775
V2_M150_S20_YC15_RD15_RT15_RF40x3_RM120_RL180,150,20,0.15,-0.15,0.15,40,3,120,180,0.026442250619243435,-0.6362797447971709,0.041557586636161936,2.035705337315255,6986,-0.6059909844923013,-0.6362797447971709,-0.1211142040273917,-0.38336984709474053,0.0018368852408516823,0.0,-0.12550508046746078,-0.2276877146108952,1.5835318875625113,-0.2276877146108952,0.3892294220665499,0.10532774752167301,241,0.05992255185828532,-0.2276877146108952
V2_M150_S20_YC15_RD15_RT15_RF40x3_RM120_RL200,150,20,0.15,-0.15,0.15,40,3,120,200,0.03655692538814148,-0.691565593709413,0.052861110675066686,2.65892530744353,6858,-0.6505753281139324,-0.691565593709413,-0.12111420402739159,-0.3833698470947414,0.0018368852408519043,0.0,-0.012644390897808111,-0.2276877146108962,2.184299076605977,-0.2276877146108962,0.3880618797431407,0.11570229988508396,252,0.07359719766789197,-0.2276877146108962
