strategy,trend_ma,slope_lb,yellow_cap,red_dd,red_target,rec_fast_ma,rec_fast_days,rec_mid_ma,release_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,InvestedDayPct,AvgWeight,TradeCount,ActualEra_CAGR,ActualEra_MDD,score
V2_M180_S20_YC15_RD15_RT0_RF60x3_RM100_RL180,180,20,0.15,-0.15,0.0,60,3,100,180,0.06561012851622583,-0.2044157048903068,0.32096422606782304,5.645308379989621,584,0.12470835908809796,-0.04383855446852092,-0.022389415786049027,-0.06510009112197235,0.008601746861399917,-0.06326393866503555,0.02336457750132892,-0.057230436555323005,1.55907013030378,-0.2044157048903068,0.2397840046701693,0.057490479059754664,288,0.059304479685325706,-0.2044157048903068,0.2722140224335493
V2_M180_S20_YC15_RD15_RT0_RF60x3_RM120_RL180,180,20,0.15,-0.15,0.0,60,3,120,180,0.06736333483054957,-0.20465998643922634,0.3291475583604276,5.903819229547946,2422,0.13570190047637953,-0.054306259888628916,0.034227983630859216,-0.07533788529448737,0.008601746861400583,-0.06326393866503566,0.03921182132025147,-0.03594347596071035,1.597871686025771,-0.20465998643922634,0.2527729130180969,0.059535799172784225,297,0.06028232460984406,-0.20465998643922634,0.2688647027106261
V2_M180_S20_YC25_RD15_RT0_RF40x3_RM120_RL180,180,20,0.25,-0.15,0.0,40,3,120,180,0.0834857896766743,-0.13036080412940565,0.6404209473408911,8.881157080400627,2422,0.11572695764685492,-0.10828162218057114,0.07904872817358344,-0.1189174179633189,0.0018368852408519043,0.0,0.026573088417200408,-0.10243741119314609,2.5335858490782424,-0.10243741119314609,0.2526269702276708,0.07244980352352674,338,0.08047030183829418,-0.10243741119314609,0.26286414163066507
V2_M180_S20_YC15_RD15_RT0_RF40x3_RM120_RL180,180,20,0.15,-0.15,0.0,40,3,120,180,0.06715496156297274,-0.2046595618364052,0.3281300954638665,5.8725076181101254,2422,0.11580685477290387,-0.05797823114798861,0.058463659892537656,-0.07003389110335623,0.008601746861400805,-0.06326393866503566,0.030629976688881788,-0.05430506781609856,1.5617116682914363,-0.2046595618364052,0.24168126094570927,0.056642578096323205,341,0.05937148957082061,-0.2046595618364052,0.25947709300910254
V2_M200_S20_YC15_RD15_RT0_RF60x3_RM120_RL180,200,20,0.15,-0.15,0.0,60,3,120,180,0.06422240745610441,-0.2046530249815386,0.31381118095810123,5.448454248447678,409,0.125326464798855,-0.05312804831780049,-0.01756369958131354,-0.09206344795376686,0.0018368852408512382,0.0,0.03410497359899911,-0.03341505080747731,1.7430025832400284,-0.2046530249815386,0.22898423817863398,0.0544317705298886,312,0.06382216464431467,-0.2046530249815386,0.25551771711718313
V2_M180_S20_YC15_RD15_RT0_RF40x5_RM120_RL180,180,20,0.15,-0.15,0.0,40,5,120,180,0.06595527495441922,-0.20466083178019645,0.32226623130924476,5.6953226127039915,2422,0.10831714628702471,-0.05564385922325443,0.027618462291277623,-0.08145218258868592,0.008601746861400139,-0.06326393866503566,0.03472617917974241,-0.04369817460625314,1.5817004406367636,-0.20466083178019645,0.24460011675423235,0.05757310622460349,313,0.059876467569571545,-0.20466083178019645,0.25482064195382714
V2_M180_S20_YC35_RD15_RT0_RF40x3_RM120_RL180,180,20,0.35,-0.15,0.0,40,3,120,180,0.09066091741962934,-0.15841653375208675,0.5722945406791234,10.630272536657797,2425,0.12047746981978036,-0.12670951276972986,0.09353377145565611,-0.1572432309503129,0.0018368852408516823,0.0,0.04584122656284073,-0.12224248212745403,2.8881476042193146,-0.12224248212745403,0.2524810274372446,0.08268342252466421,332,0.0868234282556597,-0.12224248212745403,0.25322042765773695
V2_M180_S40_YC15_RD15_RT0_RF60x3_RM100_RL180,180,40,0.15,-0.15,0.0,60,3,100,180,0.06033033273650723,-0.08974811266286686,0.6722184004373922,4.930987553780343,411,0.10861448857490119,-0.04383855446852092,-0.024384291839779193,-0.06700781334897188,0.0018368852408510161,0.0,0.013487626495233496,-0.05723043655532212,1.6224515175648513,-0.08974811266286686,0.18009340338587274,0.037119365413782426,279,0.060894696613898125,-0.08974811266286686,0.2531306398356203
V2_M180_S40_YC15_RD15_RT0_RF60x3_RM120_RL180,180,40,0.15,-0.15,0.0,60,3,120,180,0.06208739143074471,-0.08974811266286686,0.6917960677788522,5.158446588771085,2422,0.1194507192877916,-0.05430625988862847,0.03211757620283362,-0.07722471665679198,0.0018368852408510161,0.0,0.029185386335593755,-0.03510707799073087,1.6630702809710454,-0.08974811266286686,0.19308231173380036,0.039157933049401385,290,0.06189494535500373,-0.08974811266286686,0.2501049911753377
V2_M200_S20_YC15_RD15_RT0_RF60x3_RM100_RL180,200,20,0.15,-0.15,0.0,60,3,100,180,0.06139493663899476,-0.20742724833348447,0.2959829874438146,5.067623844732403,423,0.10756275529000692,-0.04383855446852092,-0.04809810605400111,-0.08968559845688584,0.0018368852408521263,0.0,0.007337800664895644,-0.05723043655532256,1.6753442864171517,-0.20742724833348447,0.22650321074138938,0.05436445775691559,301,0.062194379457152005,-0.20742724833348447,0.24638175006732965
