strategy,exit_ma,exit_slope_lb,exit_dd,resume_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V8_X80S20D18_R80,80,20,-0.18,80,0.22892528259379197,-0.7337066572114602,0.31201200145007524,274.39646783636283,1136,-0.44446180490893883,-0.48269317432993064,-0.3633632959812949,-0.614988738265991,-0.20360488969675217,-0.7160125348157339,-0.2060349576096756,-0.49034666595960474,130.39206134855272,-0.7337066572114602,0.3486404142551769,-0.7337066572114602,28,0.7857559836544075,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.17194036875941,0.30965951649550466,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V8_X80S20D18_R100,80,20,-0.18,100,0.234238732983568,-0.7315660293174178,0.3201880945758549,308.61121935162083,1154,-0.5404634709011107,-0.5718213976205597,-0.363363295981295,-0.6149887382659913,-0.12325619911964814,-0.713729670801313,-0.20603495760967538,-0.49034666595960474,148.58696168044247,-0.7315660293174178,0.3594073386011605,-0.7315660293174178,31,0.7914477524810274,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.314381929937644,0.323565321723668,2023-02-03,2023-02-28,1.0,1.0,0
V8_X80S30D10_R60,80,30,-0.1,60,0.17404930870164703,-0.6992207245312605,0.24891897879360653,79.0725569967364,1372,-0.4272419825537449,-0.5410524544201434,-0.3189977305686742,-0.5881852632240867,-0.06699853983383364,-0.6992207245312605,-0.12291431088966598,-0.43009749360144556,44.84228874576763,-0.6992207245312605,0.2643213962770319,-0.6992207245312605,62,0.7403677758318739,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.9627938192830268,0.2892416612213558,2023-01-25,2023-02-28,1.0,1.0000000000000002,0
V8_X80S30D10_R80,80,30,-0.1,80,0.17059483013464205,-0.6992207245312605,0.24397850943134503,72.97431296317514,1372,-0.35837306589580487,-0.485868206789998,-0.34211195534601624,-0.6021628647971464,-0.06699853983383319,-0.6992207245312605,-0.08196130219921138,-0.41786163736418136,44.60896917778612,-0.6992207245312605,0.2639259061211918,-0.6992207245312605,57,0.7190601284296556,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.5855983458833354,0.25241809131202475,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V8_X80S30D10_R100,80,30,-0.1,100,0.17731624091129028,-0.6992207245312605,0.25359122618992525,85.2893834495357,1345,-0.35837306589580487,-0.485868206789998,-0.3285316294461268,-0.593950589175122,0.0271324319175279,-0.6992207245312605,-0.0819613021992116,-0.41786163736418147,37.47245706518694,-0.6992207245312605,0.2508077182945887,-0.6992207245312605,60,0.7122008172796264,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7132364585294435,0.2648787153003159,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V8_X80S30D12_R60,80,30,-0.12,60,0.1819654058813831,-0.6992207245312605,0.2602402925104487,94.9541918030989,2268,-0.4272419825537449,-0.5410524544201434,-0.31899773056867453,-0.5881852632240868,-0.0669985398338333,-0.6992207245312605,-0.12291431088966631,-0.43009749360144567,75.07997512300341,-0.6992207245312605,0.3042073174751212,-0.6992207245312605,53,0.7559836544074723,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.410167065539181,0.5281655778194856,2023-01-25,2023-02-28,1.0,1.0,0
V8_X80S30D12_R80,80,30,-0.12,80,0.17066449174203568,-0.7398827838589392,0.23066422880110338,73.09268536268658,3398,-0.35837306589580487,-0.485868206789998,-0.34211195534601524,-0.6021628647971459,-0.06699853983383286,-0.6992207245312605,-0.08196130219921138,-0.41786163736418136,72.5355267665245,-0.6992207245312605,0.301490024658146,-0.6992207245312605,49,0.7370110916520723,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.800020257221347,0.46860021917786904,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V8_X80S30D12_R100,80,30,-0.12,100,0.18768884154757726,-0.7006708658150054,0.2678701951297227,108.30644488131747,2276,-0.35837306589580487,-0.485868206789998,-0.3285316294461257,-0.5939505891751218,0.027132431917528566,-0.6992207245312605,-0.0819613021992116,-0.41786163736418147,80.11333080917775,-0.6992207245312605,0.3093401323777283,-0.6992207245312605,49,0.7336544074722708,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.998048960241784,0.48793269876465395,2023-02-03,2023-02-28,1.0,1.0,0
V8_X80S30D15_R60,80,30,-0.15,60,0.19897678707377664,-0.6992207245312605,0.28456934998196104,140.13459039364554,2165,-0.4272419825537449,-0.5410524544201434,-0.3189977305686741,-0.5881852632240865,-0.06699853983383308,-0.6992207245312605,-0.251841051913712,-0.5138700072379758,93.7482180843738,-0.6992207245312605,0.3218732650677396,-0.6992207245312605,44,0.7755399883245767,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.593690304524433,0.35083269947122564,2023-01-25,2023-02-28,1.0,1.0000000000000002,0
V8_X80S30D15_R80,80,30,-0.15,80,0.1901621098383326,-0.6992207245312605,0.27196291981450116,114.62018969862586,2274,-0.35837306589580487,-0.485868206789998,-0.34211195534601657,-0.6021628647971463,-0.06699853983383341,-0.6992207245312605,-0.21690790879756094,-0.49117155705750604,96.30919844635339,-0.6992207245312605,0.3240366289162835,-0.6992207245312605,40,0.7562755399883245,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.15644343575341,0.30814663408792076,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V8_X80S30D15_R100,80,30,-0.15,100,0.2091234159239166,-0.6992207245312605,0.29908068881125843,176.29003629992056,2165,-0.35837306589580487,-0.485868206789998,-0.3285316294461256,-0.5939505891751213,0.02713243191752812,-0.6992207245312605,-0.21690790879756006,-0.4911715570575056,105.68881596052978,-0.6992207245312605,0.3315282358013081,-0.6992207245312605,40,0.7558377116170462,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.298355888858253,0.322000785334252,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
