strategy,exit_ma,exit_slope_lb,exit_dd,resume_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,Roll3y_CAGR_P10,Roll3y_CAGR_Median,Roll3y_WorstMDD,Roll5y_CAGR_P10,Roll5y_CAGR_Median,Roll5y_WorstMDD
V8_X110S50D18_R100,110,50,-0.18,100,0.2699839426441015,-0.8413890992339722,0.3208788215700722,671.6161551861895,1595,-0.22223753493752263,-0.3825580141011322,-0.7379276734410904,-0.8413890992339722,0.6475388370201061,-0.6992207245312605,-0.32513122628410684,-0.5614916416879034,435.1237417882025,-0.7179610774225,0.45158615156863635,-0.7179610774225,20,0.7981611208406305,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630212,0.6711748523590748,2023-02-03,2023-02-28,1.0,1.0,0,-0.06848587899929705,0.291874448123844,-0.8413890992339722,0.01952624434431481,0.2519702854580501,-0.8413890992339722
V8_X110S50D18_R80,110,50,-0.18,80,0.2699839426441015,-0.8413890992339722,0.3208788215700722,671.6161551861895,1595,-0.22223753493752263,-0.3825580141011322,-0.7379276734410904,-0.8413890992339722,0.6475388370201061,-0.6992207245312605,-0.32513122628410684,-0.5614916416879034,435.1237417882025,-0.7179610774225,0.45158615156863635,-0.7179610774225,20,0.7981611208406305,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630212,0.6711748523590748,2023-02-03,2023-02-28,1.0,1.0,0,-0.06848587899929705,0.291874448123844,-0.8413890992339722,0.01952624434431481,0.2519702854580501,-0.8413890992339722
V8_X110S50D18_R60,110,50,-0.18,60,0.2655461432282453,-0.8358333876458638,0.317702244434336,610.5407733498208,1594,-0.3039326085980587,-0.4422453966398282,-0.7287479874639351,-0.8358333876458638,0.6475388370201063,-0.6992207245312605,-0.3499478784600274,-0.5776167164110176,427.00333612853245,-0.7126457496284333,0.4499143327812367,-0.7126457496284333,26,0.8070636310566258,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.347612493403874,0.7173079779534626,2023-01-25,2023-02-28,1.0,1.0,0,-0.0664416575029229,0.2913491431945119,-0.8358333876458638,0.026583705672151854,0.2566597471961838,-0.8358333876458638
V8_X100S40D18_R100,100,40,-0.18,100,0.28195151996947,-0.7211905643098875,0.39095286866276663,867.0943048974993,895,-0.22693711700116959,-0.3862888694877312,-0.5157074224848454,-0.7211905643098875,0.6475388370201061,-0.6992207245312605,-0.20603495760967483,-0.49034666595960474,305.5493774952988,-0.7179610774225,0.42054567326544134,-0.7179610774225,21,0.794804436660829,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.705029260640272,0.3617021242742617,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,-0.011857901121236789,0.3148589068008516,-0.7211905643098875,0.1013961184719473,0.2683412467654991,-0.7211905643098875
V8_X100S40D18_R60,100,40,-0.18,60,0.2779137197525896,-0.7126457496284334,0.38997456997041113,795.7015080057305,997,-0.3073498205891392,-0.44498358800208115,-0.49869229721292885,-0.7113948794377378,0.6475388370201061,-0.6992207245312605,-0.2352310844186698,-0.5030773763420997,302.3113011018038,-0.7126457496284334,0.4196210643702962,-0.7126457496284334,27,0.8039988324576766,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.028305672206219,0.3932618655247146,2023-01-25,2023-02-28,1.0,1.0000000000000002,0,-0.027194489664286434,0.3110720468646131,-0.7126457496284334,0.0871667203571061,0.266237785451797,-0.7126457496284334
V8_X100S40D18_R80,100,40,-0.18,80,0.28037231869700974,-0.7211905643098875,0.38876315438943665,838.4667358773994,895,-0.22693711700116959,-0.3862888694877312,-0.5157074224848454,-0.7211905643098875,0.6475388370201061,-0.6992207245312605,-0.20603495760967483,-0.49034666595960474,295.42849051363106,-0.7179610774225,0.4176245493149917,-0.7179610774225,21,0.7934909515469936,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.54969027485776,0.346537212693932,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,-0.011857901121236789,0.3148589068008516,-0.7211905643098875,0.1013961184719473,0.2662377854517972,-0.7211905643098875
V8_X120S50D18_R100,120,50,-0.18,100,0.2546746152135504,-0.8815026010852105,0.2889096582358607,482.683233069584,2079,-0.2517738759391892,-0.40045091868371596,-0.8042163792884842,-0.8815026010852105,0.6475388370201063,-0.6992207245312605,-0.32513122628410707,-0.5614916416879034,435.12374178820204,-0.7179610774225003,0.45158615156863613,-0.7179610774225003,22,0.7980151780502043,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630215,0.6711748523590751,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,-0.11048687124796508,0.2913491431945119,-0.8815026010852105,-0.03833889941109005,0.25197028545804967,-0.8815026010852105
V8_X120S50D18_R80,120,50,-0.18,80,0.2546746152135504,-0.8815026010852105,0.2889096582358607,482.683233069584,2079,-0.2517738759391892,-0.40045091868371596,-0.8042163792884842,-0.8815026010852105,0.6475388370201063,-0.6992207245312605,-0.32513122628410707,-0.5614916416879034,435.12374178820204,-0.7179610774225003,0.45158615156863613,-0.7179610774225003,22,0.7980151780502043,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630215,0.6711748523590751,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,-0.11048687124796508,0.2913491431945119,-0.8815026010852105,-0.03833889941109005,0.25197028545804967,-0.8815026010852105
V8_X120S50D18_R60,120,50,-0.18,60,0.2510487043617404,-0.8773519571563756,0.2861436648245768,446.0962499309903,2022,-0.34423044073935527,-0.47453580653386795,-0.7973586076908483,-0.8773519571563756,0.6475388370201061,-0.6992207245312605,-0.3251505095924432,-0.5615041713710222,443.33026784808834,-0.7126457496284335,0.45324627354105296,-0.7126457496284335,34,0.8064798598949212,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.34761249340388,0.7173079779534631,2023-01-25,2023-02-28,1.0,1.0,0,-0.12184876093954632,0.2913491431945119,-0.8773519571563756,-0.031681997691811785,0.2566597471961838,-0.8773519571563756
V8_X80S40D18_R100,80,40,-0.18,100,0.28528346575284735,-0.7179610774225003,0.3973522726009364,930.6165760883329,996,-0.28424537094054436,-0.42647013182127613,-0.387781202575219,-0.6297315720308785,0.6475388370201061,-0.6992207245312605,-0.20603495760967505,-0.49034666595960474,280.0973155817046,-0.7179610774225003,0.4130162129465591,-0.7179610774225003,22,0.7961179217746643,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.314381929937657,0.3235653217236692,2023-02-03,2023-02-28,1.0,1.0,0,0.008854116083400575,0.307844732126596,-0.7179610774225003,0.10624012210600146,0.26834124676549886,-0.7179610774225003
