start_year,start,end,months_contributed,V7_STRICT_TotalContributed,V7_STRICT_FinalWealth,V7_STRICT_FinalToContributed,V7_STRICT_XIRR,V7_STRICT_FlowAdjusted_MDD,V7_STRICT_StarterEntries,V7_STRICT_FullEntries,V7_STRICT_Exits,V7_STRICT_SignalTrades,V7_STRICT_MonthlyAdds,V7_STATE_DCA_TotalContributed,V7_STATE_DCA_FinalWealth,V7_STATE_DCA_FinalToContributed,V7_STATE_DCA_XIRR,V7_STATE_DCA_FlowAdjusted_MDD,V7_STATE_DCA_StarterEntries,V7_STATE_DCA_FullEntries,V7_STATE_DCA_Exits,V7_STATE_DCA_SignalTrades,V7_STATE_DCA_MonthlyAdds,CASH_TotalContributed,CASH_FinalWealth,CASH_FinalToContributed,CASH_XIRR,CASH_FlowAdjusted_MDD,QQQ_DCA_TotalContributed,QQQ_DCA_FinalWealth,QQQ_DCA_FinalToContributed,QQQ_DCA_XIRR,QQQ_DCA_FlowAdjusted_MDD,TQQQ_DCA_TotalContributed,TQQQ_DCA_FinalWealth,TQQQ_DCA_FinalToContributed,TQQQ_DCA_XIRR,TQQQ_DCA_FlowAdjusted_MDD
1986,1986-01-02,2005-12-30,240,240.0,705.7053242389658,2.9404388509956907,0.09787649507535134,-0.5006023601199099,5,3,4,12,0,240.0,638.7630211402826,2.661512588084511,0.08940896525394373,-0.664899452597123,5,3,4,12,88,240.0,363.9206391878955,1.5163359966162313,0.039736410985599435,0.0,240.0,980.9236756069346,4.087181981695561,0.1253532552921276,-0.8296418485719864,240.0,186.60498368214468,0.7775207653422694,-0.025869197957340787,-0.9995155436231399
1987,1987-01-02,2006-12-29,240,240.0,688.01615603785,2.866733983491042,0.09575356568531262,-0.4940678818493688,5,3,4,12,0,240.0,619.517963793369,2.5813248491390373,0.08681753268193301,-0.6649089147840912,5,3,4,12,100,240.0,363.2456830053277,1.5135236791888653,0.039578035439586115,0.0,240.0,919.6544570063164,3.8318935708596515,0.12005643975393285,-0.8296423265790026,240.0,189.72449736590215,0.7905187390245924,-0.0241203756273412,-0.9995155486542099
1988,1988-01-04,2007-12-31,240,240.0,881.0132640835631,3.6708886003481793,0.11645347747366755,-0.48547225164628993,5,3,4,12,0,240.0,805.3252489811886,3.3555218707549526,0.10896854552152169,-0.6649269914872529,5,3,4,12,112,240.0,361.4723822199601,1.5061349259165004,0.039111552674899935,0.0,240.0,965.161536423603,4.021506401765013,0.12400494382571844,-0.8296428691061577,240.0,258.7360311882032,1.0780667966175133,0.007424776596739922,-0.9995155538826715
1989,1989-01-03,2008-12-31,240,240.0,550.7578817082942,2.2948245071178928,0.0766336492169023,-0.526611259947988,4,2,4,10,0,240.0,542.552656933777,2.2606360705574042,0.07533102829137417,-0.5643145649973971,4,2,4,10,84,240.0,349.7556434269984,1.4573151809458267,0.036067568258665306,0.0,240.0,486.75910926786776,2.0281629552827822,0.06584427686972344,-0.8296436408483262,240.0,31.069246155292554,0.12945519231371896,-0.3162505694178851,-0.9997466143254334
1990,1990-01-02,2009-12-31,240,240.0,1329.2394485696875,5.538497702373698,0.1501518144960574,-0.5211878020926948,5,3,4,12,0,240.0,1311.9700370115606,5.466541820881503,0.14909151519133795,-0.5643147223475277,5,3,4,12,92,240.0,335.6240123250155,1.3984333846875645,0.03224478749049765,0.0,240.0,658.1553831430942,2.7423140964295594,0.09193738841070384,-0.8296445912090163,240.0,112.12726000655162,0.46719691669396507,-0.08466850119156275,-0.9997763900974709
1991,1991-01-02,2010-12-31,240,240.0,1787.3590983965369,7.447329576652237,0.17401953634565598,-0.5144553787630909,4,2,3,9,0,240.0,1802.000493623709,7.508335390098788,0.17467331025427346,-0.5643148874518731,4,2,3,9,86,240.0,323.413723591013,1.347557181629221,0.028785993143438028,0.0,240.0,673.8577072732284,2.807740446971785,0.09394679928941077,-0.8296460134734203,240.0,175.6779232231262,0.7319913467630258,-0.032329487337031296,-0.9997764227965021
1992,1992-01-02,2011-12-30,240,240.0,1521.8625122397543,6.341093800998976,0.16114012115551457,-0.5092832548995478,4,2,3,9,0,240.0,1532.3127688981124,6.384636537075468,0.16169172587423575,-0.564315027590425,4,2,3,9,98,240.0,312.48202390926514,1.3020084329552715,0.025562284518993707,0.0,240.0,602.5282717308922,2.5105344655453843,0.08441830914176263,-0.829647781336439,240.0,164.48262033585033,0.6853442513993764,-0.03953355655831231,-0.9997764555279626
1993,1993-01-04,2012-12-31,240,240.0,2115.831369838121,8.815964040992172,0.18749102728429556,-0.5032218835242921,4,2,3,9,0,240.0,2148.7577525952834,8.953157302480347,0.1887226636218577,-0.5643151889454154,4,2,3,9,110,240.0,302.6417985298835,1.2610074938745146,0.022525186599341225,0.0,240.0,621.3991585609119,2.5891631606704664,0.08702823915115857,-0.829650055765448,240.0,254.88600670788952,1.0620250279495396,0.005952652540349969,-0.999776488597155
1994,1994-01-03,2013-12-31,240,240.0,4565.005842080348,19.020857675334785,0.24850833341874484,-0.49592107205513825,4,2,3,9,0,240.0,4714.263717323664,19.642765488848603,0.2510549860033363,-0.5643153792872564,4,2,3,9,122,240.0,293.37443809940817,1.2223934920808674,0.019567761681903474,0.0,240.0,740.4303706529305,3.0851265443872102,0.1019069355315822,-0.8296533286268032,240.0,616.6960099607747,2.5695667081698947,0.08638243616727409,-0.9997765281190365
1995,1995-01-03,2014-12-31,240,240.0,6455.865880455197,26.89944116856332,0.275972111745034,-0.4869857034494266,4,2,3,9,0,240.0,6726.582418611872,28.027426744216132,0.27923031752648453,-0.5643156064832873,4,2,3,9,134,240.0,284.7316800934051,1.1863820003891878,0.01670688199909811,0.0,240.0,757.3114447962287,3.1554643533176194,0.10380867066904004,-0.8296589185039134,240.0,961.3808911628644,4.005753713178602,0.12367263650598803,-0.9997765949802204
1996,1996-01-02,2015-12-31,240,240.0,6793.8409683542295,28.307670701475956,0.28003735121473017,-0.4760217259541589,4,2,3,9,0,240.0,7123.896700693716,29.68290291955715,0.28380236897005484,-0.5643158769428418,4,2,3,9,146,240.0,277.1604817007329,1.1548353404197202,0.014113414751592411,0.0,240.0,722.3674079107985,3.009864199628327,0.09983699150236877,-0.8296677732372282,240.0,1123.081352336671,4.679505634736129,0.1364500672584955,-0.9997766768298694
1997,1997-01-02,2016-12-30,240,240.0,6751.224307333137,28.13010128055474,0.2795501034683605,-0.4622919302758811,4,2,3,9,0,240.0,7129.956026906234,29.70815011210931,0.2838820655541503,-0.5643162033319395,4,2,3,9,158,240.0,271.2677751146305,1.1302823963109605,0.012034992820100407,0.0,240.0,692.0439327640175,2.8835163865167397,0.09621639318583222,-0.8296821043370693,240.0,1255.0293969530567,5.229289153971069,0.145512540236357,-0.9997767722180106
1998,1998-01-02,2017-12-29,240,240.0,12927.7102593868,53.86545941411167,0.3314021825858534,-0.444586850046475,4,2,3,9,0,240.0,13866.830353161015,57.77845980483756,0.3370286410338187,-0.5643166052399917,4,2,3,9,170,240.0,267.8411317585588,1.1160047156606616,0.010804116876856867,0.0,240.0,843.9998963309384,3.5166662347122437,0.11291794184441242,-0.8297058578289502,240.0,2743.7233653036865,11.43218068876536,0.2082570870191614,-0.99977687151508
1999,1999-01-04,2018-12-31,240,240.0,8073.804753043277,33.64085313768032,0.29372725957540957,-0.5438379740684961,4,2,4,10,0,240.0,8702.680981168542,36.26117075486892,0.29969352290762963,-0.5643171118377437,4,2,4,10,182,240.0,267.69922751102564,1.1154134479626068,0.010747611932422005,0.0,240.0,786.8153762101683,3.2783974008757015,0.1070150399715255,-0.8297597514421495,240.0,2203.615824073038,9.181732600304324,0.19075014513323124,-0.9997770640430844
2000,2000-01-03,2019-12-31,240,240.0,7134.808258042915,29.72836774184548,0.28392421039962845,-0.5432518562058691,4,2,4,10,0,240.0,7776.684779384654,32.402853247436056,0.2907665200839977,-0.5643177726947857,4,2,4,10,182,240.0,268.3472593779438,1.1181135807414324,0.01098338039140381,0.0,240.0,1055.3567515551993,4.397319798146664,0.13135558059282765,-0.8299316689643199,240.0,5167.813557039666,21.532556487665275,0.25835548036769607,-0.9997774537265426
2001,2001-01-02,2020-12-31,240,240.0,14997.461878077573,62.48942449198989,0.3431865869093581,-0.5588465597226842,4,3,3,10,0,240.0,16610.513195459043,69.21047164774602,0.35140969882326656,-0.5643186761554743,4,3,3,10,188,240.0,265.07956961896,1.1044982067456668,0.00978913728309519,0.0,240.0,1533.8175596801277,6.390906498667198,0.16171165235283708,-0.704587031147523,240.0,10874.308779743384,45.30961991559743,0.3174272680761231,-0.9967230431038437
2002,2002-01-02,2021-12-31,240,240.0,22592.73894964284,94.1364122901785,0.37630730492027364,-0.5577785562345842,3,3,2,8,0,240.0,25620.60821686723,106.75253423694679,0.3865415012407395,-0.564320024643675,3,3,2,8,198,240.0,261.76458648615636,1.0906857770256515,0.008562019967012738,0.0,240.0,1836.9060832046534,7.653775346686056,0.17620058924803517,-0.5340716018957654,240.0,19646.568605322762,81.86070252217817,0.36497828593148196,-0.9672760964900061
2003,2003-01-02,2022-12-30,240,240.0,9352.341729399866,38.96809053916611,0.3054853020396754,-0.5562580870989786,3,3,3,9,0,240.0,10335.621698328352,43.06509040970147,0.31345825350810996,-0.5643228642863792,3,3,3,9,196,240.0,263.79070311362483,1.0991279296401035,0.009317731257671096,0.0,240.0,1118.1367377893519,4.658903074122299,0.13610932869630582,-0.5340794835298412,240.0,3779.23698771768,15.746820782157,0.23361232853025715,-0.9459630228691132
2004,2004-01-02,2023-12-29,240,240.0,16853.141365443185,70.22142235601328,0.35276204215902296,-0.5608405131192707,3,3,2,8,0,240.0,20368.01037486723,84.86670989528012,0.3680776211134219,-0.563727462609031,3,3,2,8,148,240.0,273.71686465133615,1.140486936047234,0.012911642034698696,0.0,240.0,1549.5505144397189,6.456460476832162,0.162624997101054,-0.5340922049836198,240.0,10104.619262886601,42.1025802620275,0.31173059064021025,-0.9459679162407509
2005,2005-01-03,2024-12-31,240,240.0,21578.36115042026,89.90983812675108,0.3725641506212559,-0.560685821518516,3,3,2,8,0,240.0,27149.72655158619,113.12386063160913,0.3912565427659406,-0.5637274859852626,3,3,2,8,160,240.0,283.3627439993943,1.1806780999974762,0.016241787909633543,0.0,240.0,1761.1220349411258,7.338008478921357,0.17281688293970088,-0.5341105630385325,240.0,14898.183104168285,62.07576293403452,0.3426509340568621,-0.945973049282537
2006,2006-01-03,2025-12-31,240,240.0,22288.37008841997,92.86820870174988,0.3752086819497459,-0.5796059255425261,3,3,2,8,0,240.0,29784.47474353996,124.10197809808317,0.3988471789152809,-0.5804007469557696,3,3,2,8,172,240.0,290.3542431600693,1.2098093465002888,0.018579262397128767,0.0,240.0,1915.005339150813,7.979188913128387,0.1795336725099131,-0.5341459540073723,240.0,18608.215002065892,77.53422917527455,0.3605895689613299,-0.9459819157423923
