core,core_pct,initial_cash_pct,budget_pct,ratchet,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,FinalMultiple,ActualEra_CAGR,ActualEra_MDD,Max_TQQQ_Weight,Avg_TQQQ_Weight,Min_Reserve_Cash_Pct,RatchetTrades,Avg_Actual_Funding_Pct,Min_Actual_Funding_Pct,Baseline_CAGR,Baseline_MDD,CAGR_Increment,MDD_Change
SPY,0.4,0.6,0.1,NONE,0.10900348490337541,-0.4806485780605375,0.2267841618157174,17.165249161889573,2295,-0.12126040789684012,-0.194199521853065,-0.1846587700883746,-0.30223795338008563,0.1358052124369149,-0.0673812062726995,-0.1153164691688825,-0.2088639691470715,10.872410129148221,-0.4806485780605375,17.165249161889573,0.1612461301123682,-0.4806485780605375,0.8459528959019448,0.24720670271308917,0.05861013093229396,0,0.09999999999999999,0.1,0.05929784653910963,-0.21588127900813414,0.04970563836426578,-0.26476729905240337
SPY,0.4,0.6,0.1,MILD,0.10928469181700584,-0.39688365392659,0.2753569987974859,17.28524912956569,2010,-0.12126040789684012,-0.194199521853065,-0.1846587700883746,-0.30223795338008563,0.13568723758743895,-0.06684197078990073,-0.11521964984916766,-0.2086504633745906,10.95540856501704,-0.39688365392659,17.28524912956569,0.16173502788644356,-0.39688365392659,0.7548196174267535,0.23019711935445333,0.1211738244132302,2,0.09999999999999999,0.1,0.05929784653910963,-0.21588127900813414,0.04998684527789621,-0.18100237491845583
SPY,0.4,0.6,0.1,BAL,0.10268246841572792,-0.39074767739613125,0.26278459055722225,14.670283347181462,1972,-0.12126040789684012,-0.194199521853065,-0.1846587700883746,-0.30223795338008563,0.13877500305626755,-0.08093180065925687,-0.11772403074858306,-0.21417243959393428,9.146757496258715,-0.39074767739613125,14.670283347181462,0.15027821184792756,-0.39074767739613125,0.6696070865910515,0.21773652038675836,0.19437884846599685,2,0.09999999999999999,0.1,0.05929784653910963,-0.21588127900813414,0.04338462187661829,-0.1748663983879971
SPY,0.4,0.6,0.15,NONE,0.12803131434911363,-0.5025183621049027,0.25477937525074273,27.394388482212484,2136,-0.1369375093946753,-0.21547563734712538,-0.20026511397874192,-0.33620560117693354,0.19057510809418665,-0.048872850150890934,-0.15194945961677753,-0.2543983599428068,16.49593749174861,-0.5025183621049027,27.394388482212484,0.18877320345949733,-0.5025183621049027,0.895935085887803,0.3113319188526709,0.038665460107553506,0,0.15,0.15,0.05929784653910963,-0.21588127900813414,0.068733467810004,-0.2866370830967686
SPY,0.4,0.6,0.15,MILD,0.12425229811885763,-0.44723327827852544,0.27782435734014516,24.98138296775755,2010,-0.1369375093946753,-0.21547563734712538,-0.20026511397874192,-0.33620560117693354,0.19163535914823893,-0.05412394440012491,-0.15255473989208856,-0.25599817439747896,14.95482648372006,-0.44723327827852544,24.98138296775755,0.18216869920799938,-0.44723327827852544,0.7908572745225236,0.2915844978676191,0.12837632037721722,2,0.15,0.15,0.05929784653910963,-0.21588127900813414,0.064954451579748,-0.2313519992703913
SPY,0.4,0.6,0.15,BAL,0.11837524597251758,-0.43784181826698465,0.2703607582324067,21.630713118195267,1930,-0.1369375093946753,-0.21547563734712538,-0.20026511397874192,-0.33620560117693354,0.1940432125124898,-0.06602408558281725,-0.09593842702947486,-0.20095202046922167,12.814858647551965,-0.43784181826698465,21.630713118195267,0.1719265986963887,-0.43784181826698465,0.7667780402818143,0.25934885880623304,0.13211004660449888,4,0.15,0.15,0.05929784653910963,-0.21588127900813414,0.05907739943340795,-0.2219605392588505
SPY,0.4,0.6,0.2,NONE,0.14468708621143245,-0.5144282580007224,0.28125804514267033,40.98019267698599,2111,-0.15244916288745924,-0.23642419338010456,-0.21269509241826878,-0.3648336275062526,0.24733978524776057,-0.04213425837250939,-0.18284762493409745,-0.2938231576242173,23.25652098533114,-0.5144282580007224,40.98019267698599,0.21247324322739924,-0.5144282580007224,0.9231265562254126,0.3628186946676661,0.02775233607005039,0,0.19999999999999998,0.2,0.05929784653910963,-0.21588127900813414,0.08538923967232281,-0.2985469789925883
SPY,0.4,0.6,0.2,MILD,0.13947189658158332,-0.4737984970334933,0.294369647550241,36.14775366034433,1176,-0.15244916288745924,-0.23642419338010456,-0.21269509241826878,-0.3648336275062526,0.24855030747406937,-0.044375226533239887,-0.18329235476277128,-0.29537193866872036,20.396159655616604,-0.4737984970334933,36.14775366034433,0.20331597707466287,-0.4737984970334933,0.8451245984743445,0.33726253668616096,0.09224352019540047,3,0.19999999999999998,0.2,0.05929784653910963,-0.21588127900813414,0.08017405004247369,-0.25791721802535916
SPY,0.4,0.6,0.2,BAL,0.13618011571694932,-0.35845798163941267,0.3799053799670679,33.38546887124138,1088,-0.15244916288745924,-0.23642419338010456,-0.15709234099456437,-0.3102728184326682,0.24860106092572032,-0.044648740197927306,-0.13018054761165232,-0.23944719047104335,17.49860151699555,-0.35845798163941267,33.38546887124138,0.19278257714430924,-0.35845798163941267,0.8031579778616811,0.2937260394415115,0.1151815612353572,6,0.19999999999999998,0.19999999999999998,0.05929784653910963,-0.21588127900813414,0.07688226917783969,-0.14257670263127853
SPY,0.4,0.6,0.25,NONE,0.15955972389821294,-0.5219099148108971,0.30572272986234794,58.428256390873706,1988,-0.16779615217911625,-0.2570484943063376,-0.2225556750803125,-0.3892913910417686,0.3050939121979235,-0.04940883877749458,-0.20843378759139153,-0.3271951799777868,31.1608035485731,-0.5219099148108971,58.428256390873706,0.23331379268204788,-0.5219099148108971,0.9401874806785153,0.4060789107977743,0.0208590898908247,0,0.25,0.25,0.05929784653910963,-0.21588127900813414,0.1002618773591033,-0.30602863580276296
