core,core_pct,initial_cash_pct,budget_pct,ratchet,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,FinalMultiple,ActualEra_CAGR,ActualEra_MDD,Max_TQQQ_Weight,Avg_TQQQ_Weight,Min_Reserve_Cash_Pct,RatchetTrades,Avg_Actual_Funding_Pct,Min_Actual_Funding_Pct,Baseline_CAGR,Baseline_MDD,CAGR_Increment,MDD_Change,MDD_floor
SPY,0.4,0.6,0.25,NONE,0.15955972389821294,-0.5219099148108971,0.30572272986234794,58.428256390873706,1988,-0.16779615217911625,-0.2570484943063376,-0.2225556750803125,-0.3892913910417686,0.3050939121979235,-0.04940883877749458,-0.20843378759139153,-0.3271951799777868,31.1608035485731,-0.5219099148108971,58.428256390873706,0.23331379268204788,-0.5219099148108971,0.9401874806785153,0.4060789107977743,0.0208590898908247,0,0.25,0.25,0.05929784653910963,-0.21588127900813414,0.1002618773591033,-0.30602863580276296,-0.6
SPY,0.4,0.6,0.25,NONE,0.15955972389821294,-0.5219099148108971,0.30572272986234794,58.428256390873706,1988,-0.16779615217911625,-0.2570484943063376,-0.2225556750803125,-0.3892913910417686,0.3050939121979235,-0.04940883877749458,-0.20843378759139153,-0.3271951799777868,31.1608035485731,-0.5219099148108971,58.428256390873706,0.23331379268204788,-0.5219099148108971,0.9401874806785153,0.4060789107977743,0.0208590898908247,0,0.25,0.25,0.05929784653910963,-0.21588127900813414,0.1002618773591033,-0.30602863580276296,-0.55
SPY,0.4,0.6,0.25,MILD,0.15120748964156872,-0.49019949439572996,0.3084611293366643,47.902310224339075,1160,-0.16779615217911625,-0.2570484943063376,-0.2225556750803125,-0.3892913910417686,0.3062333738653431,-0.050363332519880566,-0.20865935363923704,-0.3284557156376099,25.366982070141088,-0.49019949439572996,47.902310224339075,0.21860040211976384,-0.49019949439572996,0.878848135892434,0.3771250909932349,0.07034132189160658,3,0.25,0.25,0.05929784653910963,-0.21588127900813414,0.09190964310245908,-0.2743182153875958,-0.5
SPY,0.4,0.6,0.25,BAL,0.14193013089649487,-0.39834584276356244,0.3562987626828009,38.35288304698009,1086,-0.16779615217911625,-0.2570484943063376,-0.17425583572480108,-0.3394242260163268,0.301763853409422,-0.05110951113117457,-0.15262848582269573,-0.27192971843448077,19.66694983051508,-0.39834584276356244,38.35288304698009,0.20079752054033784,-0.39834584276356244,0.800994333556278,0.31908864977083945,0.11416781940625428,6,0.25,0.25,0.05929784653910963,-0.21588127900813414,0.08263228435738523,-0.1824645637554283,-0.45
SPY,0.4,0.6,0.25,BAL,0.14193013089649487,-0.39834584276356244,0.3562987626828009,38.35288304698009,1086,-0.16779615217911625,-0.2570484943063376,-0.17425583572480108,-0.3394242260163268,0.301763853409422,-0.05110951113117457,-0.15262848582269573,-0.27192971843448077,19.66694983051508,-0.39834584276356244,38.35288304698009,0.20079752054033784,-0.39834584276356244,0.800994333556278,0.31908864977083945,0.11416781940625428,6,0.25,0.25,0.05929784653910963,-0.21588127900813414,0.08263228435738523,-0.1824645637554283,-0.4
SPY,0.6,0.4,0.25,NONE,0.15773362515832656,-0.5164549132726324,0.3054160607337668,55.951942703087774,1162,-0.2577808671217995,-0.3533293183121311,-0.2778684087719979,-0.45616200480253755,0.3082907244494171,-0.05208836603804168,-0.2090621344718484,-0.33070742350093874,32.271151826246815,-0.5164549132726324,55.951942703087774,0.23584568369167314,-0.5164549132726324,0.9214781476239794,0.3920286548237288,0.014237509035244324,0,0.25,0.25,0.07012439046792451,-0.32821330415372374,0.08760923469040205,-0.18824160911890864,-0.6
SPY,0.6,0.4,0.25,NONE,0.15773362515832656,-0.5164549132726324,0.3054160607337668,55.951942703087774,1162,-0.2577808671217995,-0.3533293183121311,-0.2778684087719979,-0.45616200480253755,0.3082907244494171,-0.05208836603804168,-0.2090621344718484,-0.33070742350093874,32.271151826246815,-0.5164549132726324,55.951942703087774,0.23584568369167314,-0.5164549132726324,0.9214781476239794,0.3920286548237288,0.014237509035244324,0,0.25,0.25,0.07012439046792451,-0.32821330415372374,0.08760923469040205,-0.18824160911890864,-0.55
SPY,0.6,0.4,0.25,MILD,0.15084663824762257,-0.4799346657622682,0.3143066108967908,47.49143550323972,1134,-0.2577808671217995,-0.3533293183121311,-0.2778684087719979,-0.45616200480253755,0.3098372315039908,-0.058533059497472784,-0.20936116196052135,-0.33237980423398694,27.24021266713761,-0.4799346657622682,47.49143550323972,0.22366434659010737,-0.4799346657622682,0.8492289188004193,0.3629833875286604,0.06832575260130676,3,0.25,0.25,0.07012439046792451,-0.32821330415372374,0.08072224777969805,-0.15172136160854444,-0.5
SPY,0.6,0.4,0.25,BAL,0.1448333481841626,-0.412008538614946,0.35152996748817533,41.124315515534484,1134,-0.2577808671217995,-0.3533293183121311,-0.23405932493152182,-0.412008538614946,0.30507061616124775,-0.0611887785516696,-0.15552209811622741,-0.2779672123211724,22.695239671169755,-0.37275335293522127,41.124315515534484,0.21075938103592584,-0.37275335293522127,0.800523366198624,0.3070869729180747,0.08131242959796595,6,0.25,0.25,0.07012439046792451,-0.32821330415372374,0.07470895771623809,-0.08379523446122228,-0.45
SPY,0.6,0.4,0.1,BAL,0.1070336059346444,-0.3906458798457434,0.27399138569414677,16.34686456818676,1238,-0.21407365384098065,-0.2957915444809259,-0.251918634213271,-0.3906458798457434,0.14652410628697643,-0.11607680444198731,-0.1237484199302179,-0.22870030259557628,11.097970923471546,-0.3724466310570257,16.34686456818676,0.16256738840171026,-0.3724466310570257,0.6114936222572409,0.2047077725288513,0.13155956859947626,2,0.09999999999999999,0.1,0.07012439046792451,-0.32821330415372374,0.03690921546671988,-0.062432575692019654,-0.4
