date,equity,tqqq_weight,core_value,reserve_cash,tactical_cash,tqqq_value,in_campaign
1999-03-10,1.0,0.0,0.6,0.4,0.0,0.0,False
1999-03-11,1.0048780617265272,0.0,0.6048071093489051,0.40007095237762214,0.0,0.0,False
1999-03-12,0.994688562367807,0.0,0.594546486265015,0.400142076102792,0.0,0.0,False
1999-03-15,1.0075319682233506,0.0,0.6073189145413432,0.4002130536820074,0.0,0.0,False
1999-03-16,1.0090253643132114,0.0,0.6087414792726847,0.4002838850405268,0.0,0.0,False
1999-03-17,1.0055884232427235,0.0,0.6052341708394182,0.40035425240330524,0.0,0.0,False
1999-03-18,1.016395088682692,0.0,0.6159709331544363,0.40042415552825583,0.0,0.0,False
1999-03-19,1.0033558139876722,0.0,0.6028622198279149,0.4004935941597572,0.0,0.0,False
1999-03-22,1.0003283757668493,0.0,0.5997651720043837,0.4005632037624656,0.0,0.0,False
1999-03-23,0.9811855582541178,0.0,0.5805525738404206,0.4006329844136972,0.0,0.0,False
1999-03-24,0.9927580079879335,0.0,0.5920553897441735,0.4007026182437599,0.0,0.0,False
1999-03-25,1.0096926959411914,0.0,0.6089204317643456,0.4007722641768458,0.0,0.0,False
1999-03-26,1.004284514441752,0.0,0.6034424331940244,0.4008420812477278,0.0,0.0,False
1999-03-29,1.0213735429911655,0.0,0.6204616325099789,0.40091191048118646,0.0,0.0,False
1999-03-30,1.017647759797709,0.0,0.6166660079183685,0.4009817518793406,0.0,0.0,False
1999-03-31,1.0082457159566958,0.0,0.6071944287515684,0.4010512872051273,0.0,0.0,False
1999-04-01,1.0169345465361654,0.0,0.6158138710903334,0.401120675445832,0.0,0.0,False
1999-04-05,1.03543141117754,0.0,0.6342422905340522,0.4011891206434878,0.0,0.0,False
1999-04-06,1.0353760729904027,0.0,0.6341186546757936,0.40125741831460904,0.0,0.0,False
1999-04-07,1.034698404671216,0.0,0.6333726770586203,0.40132572761259566,0.0,0.0,False
1999-04-08,1.0412976782251437,0.0,0.6399037889380091,0.4013938892871347,0.0,0.0,False
1999-04-09,1.0434226261861268,0.0,0.6419607229347223,0.4014619032514045,0.0,0.0,False
1999-04-12,1.0447547939019772,0.0,0.6432250244680435,0.4015297694339338,0.0,0.0,False
1999-04-13,1.0384065139237109,0.0,0.6368095041904608,0.40159700973324997,0.0,0.0,False
1999-04-14,1.0221932980803243,0.0,0.6205298336025812,0.4016634644777431,0.0,0.0,False
1999-04-15,1.0253170975884112,0.0,0.6235873267634087,0.4017297708250025,0.0,0.0,False
