method,n,test_campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,WinRate_vs_Wait,DiffCAGR_Median,DiffCAGR_Min
FIXED_V25,8,2,0.02304704024715625,-0.0347765607634641,-0.2587502328693324,-0.3391196972011416,0.5,-0.00617200301572535,-0.0769739401632169
WF_SELECTED,8,2,0.0043926414346444,-0.0743601590265149,-0.1311416603430141,-0.3155182149243812,0.5,-0.001245193707202,-0.1165575384262677
SIMPLE_SELECTED,8,2,0.000719018518518,-0.0743601590265149,-0.1046761838849943,-0.3155182149243812,0.375,-0.00437353813434775,-0.1165575384262677
