strategy,exit_ma,exit_slope,exit_dd,resume_ma,level_mult,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V10_X80S20D12_R60L1p00,80,20,-0.12,60,1.0,0.1683979595701257,-0.7160125348157339,0.23518856358214874,69.33459651210971,2271,-0.44446180490893883,-0.48269317432993064,-0.32313613154612386,-0.5906878312560919,-0.20360488969675183,-0.7160125348157339,-0.14395262729681357,-0.44376752538933273,67.76216494861453,-0.7160125348157339,0.29614535629970296,-0.7160125348157339,49,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.558029922799254,0.5426006350916077,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D12_R60L1p02,80,20,-0.12,60,1.02,0.1683979595701257,-0.7160125348157339,0.23518856358214874,69.33459651210971,2271,-0.44446180490893883,-0.48269317432993064,-0.32313613154612386,-0.5906878312560919,-0.20360488969675183,-0.7160125348157339,-0.14395262729681357,-0.44376752538933273,67.76216494861453,-0.7160125348157339,0.29614535629970296,-0.7160125348157339,49,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.558029922799254,0.5426006350916077,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D12_R80L0p98,80,20,-0.12,80,0.98,0.1574490948008056,-0.741463497154401,0.21234908448637857,53.6515310395732,3398,-0.44446180490893883,-0.48269317432993064,-0.3461098928702506,-0.6045804919668241,-0.20360488969675183,-0.7160125348157338,-0.14395262729681446,-0.4437675253893332,63.167969947106045,-0.7160125348157338,0.2906616262720165,-0.7160125348157338,49,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.289877235388525,0.5164223272178524,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D12_R80L1p00,80,20,-0.12,80,1.0,0.1574490948008056,-0.741463497154401,0.21234908448637857,53.6515310395732,3398,-0.44446180490893883,-0.48269317432993064,-0.3461098928702506,-0.6045804919668241,-0.20360488969675183,-0.7160125348157338,-0.14395262729681446,-0.4437675253893332,63.167969947106045,-0.7160125348157338,0.2906616262720165,-0.7160125348157338,49,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.289877235388525,0.5164223272178524,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D12_R80L1p02,80,20,-0.12,80,1.02,0.1574490948008056,-0.741463497154401,0.21234908448637857,53.6515310395732,3398,-0.44446180490893883,-0.48269317432993064,-0.3461098928702506,-0.6045804919668241,-0.20360488969675183,-0.7160125348157338,-0.14395262729681446,-0.4437675253893332,63.167969947106045,-0.7160125348157338,0.2906616262720165,-0.7160125348157338,49,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.289877235388525,0.5164223272178524,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D12_R100L0p98,80,20,-0.12,100,0.98,0.156655514264465,-0.7160125348157339,0.21878878741247226,52.65858766819969,2275,-0.44446180490893883,-0.48269317432993064,-0.33261209361748223,-0.5964181217430438,-0.20360488969675183,-0.7160125348157339,-0.14395262729681346,-0.4437675253893326,52.06223722441169,-0.7160125348157339,0.2757102780013274,-0.7160125348157339,52,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.504631007934573,0.5373875855900343,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D12_R100L1p00,80,20,-0.12,100,1.0,0.156655514264465,-0.7160125348157339,0.21878878741247226,52.65858766819969,2275,-0.44446180490893883,-0.48269317432993064,-0.33261209361748223,-0.5964181217430438,-0.20360488969675183,-0.7160125348157339,-0.14395262729681346,-0.4437675253893326,52.06223722441169,-0.7160125348157339,0.2757102780013274,-0.7160125348157339,52,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.504631007934573,0.5373875855900343,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D12_R100L1p02,80,20,-0.12,100,1.02,0.156655514264465,-0.7160125348157339,0.21878878741247226,52.65858766819969,2275,-0.44446180490893883,-0.48269317432993064,-0.33261209361748223,-0.5964181217430438,-0.20360488969675183,-0.7160125348157339,-0.14395262729681346,-0.4437675253893326,52.06223722441169,-0.7160125348157339,0.2757102780013274,-0.7160125348157339,52,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.504631007934573,0.5373875855900343,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D15_R60L0p98,80,20,-0.15,60,0.98,0.16840707739753702,-0.7160125348157338,0.23520129775504095,69.34933488363086,2165,-0.44446180490893883,-0.48269317432993064,-0.3231361315461242,-0.5906878312560921,-0.20360488969675206,-0.7160125348157338,-0.21690790879755972,-0.49117155705750537,57.03785214381933,-0.7160125348157338,0.28274023379760127,-0.7160125348157338,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.333642677591897,0.32544564515745633,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D15_R60L1p00,80,20,-0.15,60,1.0,0.16840707739753702,-0.7160125348157338,0.23520129775504095,69.34933488363086,2165,-0.44446180490893883,-0.48269317432993064,-0.3231361315461242,-0.5906878312560921,-0.20360488969675206,-0.7160125348157338,-0.21690790879755972,-0.49117155705750537,57.03785214381933,-0.7160125348157338,0.28274023379760127,-0.7160125348157338,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.333642677591897,0.32544564515745633,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D15_R60L1p02,80,20,-0.15,60,1.02,0.16840707739753702,-0.7160125348157338,0.23520129775504095,69.34933488363086,2165,-0.44446180490893883,-0.48269317432993064,-0.3231361315461242,-0.5906878312560921,-0.20360488969675206,-0.7160125348157338,-0.21690790879755972,-0.49117155705750537,57.03785214381933,-0.7160125348157338,0.28274023379760127,-0.7160125348157338,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.333642677591897,0.32544564515745633,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D15_R80L0p98,80,20,-0.15,80,0.98,0.15935166628056296,-0.7160125348157338,0.22255429693220694,56.1060649362711,2275,-0.44446180490893883,-0.48269317432993064,-0.3461098928702512,-0.6045804919668243,-0.20360488969675172,-0.7160125348157338,-0.21690790879756028,-0.4911715570575058,55.62594625727845,-0.7160125348157338,0.28080472148968383,-0.7160125348157338,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.156443435753413,0.3081466340879211,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D15_R80L1p00,80,20,-0.15,80,1.0,0.15935166628056296,-0.7160125348157338,0.22255429693220694,56.1060649362711,2275,-0.44446180490893883,-0.48269317432993064,-0.3461098928702512,-0.6045804919668243,-0.20360488969675172,-0.7160125348157338,-0.21690790879756028,-0.4911715570575058,55.62594625727845,-0.7160125348157338,0.28080472148968383,-0.7160125348157338,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.156443435753413,0.3081466340879211,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D15_R80L1p02,80,20,-0.15,80,1.02,0.15935166628056296,-0.7160125348157338,0.22255429693220694,56.1060649362711,2275,-0.44446180490893883,-0.48269317432993064,-0.3461098928702512,-0.6045804919668243,-0.20360488969675172,-0.7160125348157338,-0.21690790879756028,-0.4911715570575058,55.62594625727845,-0.7160125348157338,0.28080472148968383,-0.7160125348157338,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.156443435753413,0.3081466340879211,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D15_R100L0p98,80,20,-0.15,100,0.98,0.1738548244333149,-0.7160125348157338,0.2428097498014564,78.71656935412688,2241,-0.44446180490893883,-0.48269317432993064,-0.33261209361748234,-0.5964181217430438,-0.20360488969675183,-0.7160125348157338,-0.21690790879756028,-0.4911715570575057,68.0385924776146,-0.7160125348157338,0.29646423175867964,-0.7160125348157338,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.298355888858256,0.32200078533425236,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D15_R100L1p00,80,20,-0.15,100,1.0,0.1738548244333149,-0.7160125348157338,0.2428097498014564,78.71656935412688,2241,-0.44446180490893883,-0.48269317432993064,-0.33261209361748234,-0.5964181217430438,-0.20360488969675183,-0.7160125348157338,-0.21690790879756028,-0.4911715570575057,68.0385924776146,-0.7160125348157338,0.29646423175867964,-0.7160125348157338,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.298355888858256,0.32200078533425236,2023-02-03,2023-02-28,1.0,1.0,0
