date,reason,target_weight,tqqq_price,qqq_price,notional,fee,cash_after,shares_after,avg_cost_after
2000-08-28,CRASH_REVERSAL_ENTRY,0.35,79.677436,83.09077453613281,0.37758599292479295,0.00018879299646239647,0.7010423367210102,0.004738932524445101,79.717274718
2000-09-12,DEFENSIVE_EXIT,0.0,62.20145,77.08039093017578,-0.2947684744726457,0.00014738423723632284,0.9973491407762926,0.0,
2001-12-24,CRASH_REVERSAL_ENTRY,0.35,1.257756,33.168827056884766,0.3674397863523474,0.00018371989317617372,0.6822044547611834,0.29213916399710865,1.258384878
2002-01-23,DEFENSIVE_EXIT,0.0,1.137651,32.41804885864258,-0.33235241206047467,0.00016617620603023733,1.0152360912422937,0.0,
2002-01-28,CRASH_REVERSAL_ENTRY,0.35,1.19214,32.941043853759766,0.35540342114954127,0.00017770171057477063,0.6598572232814306,0.2981222181535233,1.19273607
2002-02-05,DEFENSIVE_EXIT,0.0,0.95029,30.629697799682617,-0.28330256268911164,0.00014165128134455582,0.9432860506198792,0.0,
2002-11-15,CRASH_REVERSAL_ENTRY,0.35,0.226152,22.303747177124023,0.33446403891679,0.000167232019458395,0.6209802688260089,1.4789346939969137,0.22626507599999998
2002-12-12,BULL_FULL,1.0,0.204519,21.81448745727539,0.6212005744781721,0.00031060028723908605,0.0,4.5163081139636265,0.21170886077179638
2008-01-29,DEFENSIVE_EXIT,0.0,0.440152,38.19628143310547,-1.987862048977318,0.000993931024488659,1.9868681179528294,0.0,
2008-04-30,LEVEL_RESUME_ENTRY,0.35,0.497831,40.6362419128418,0.6981518710657735,0.00034907593553288674,1.2962186846151895,1.4023872982312742,0.4980799155
2008-07-03,DEFENSIVE_EXIT,0.0,0.405071,38.44228744506836,-0.5680664252818405,0.0002840332126409202,1.8681072276831199,0.0,
2009-04-01,CRASH_REVERSAL_ENTRY,0.35,0.080306,26.60420227050781,0.6569443086598236,0.0003284721543299118,1.219710958213914,8.18051339451378,0.080346153
2009-04-22,BULL_FULL,1.0,0.095538,28.350719451904297,1.2192136470295007,0.0006096068235147504,-2.220446049250313e-16,20.942070544857106,0.08963278156505594
2018-12-21,DEFENSIVE_EXIT,0.0,3.910327911376953,140.6512451171875,-81.8903629735799,0.04094518148678995,81.8494177920931,0.0,
2019-02-21,LEVEL_RESUME_ENTRY,0.35,5.931876659393311,164.04165649414062,28.754666918725565,0.014377333459362783,53.387146944173836,4.847482267385256,5.934842597723008
2019-04-04,BULL_FULL,1.0,7.218163967132568,175.91734313964844,53.512250487108076,0.02675612524355404,0.0,12.261036563293823,6.712976544817121
2022-02-24,DEFENSIVE_EXIT,0.0,23.66809463500977,331.5948181152344,-290.19537370335314,0.14509768685167657,290.05027601650147,0.0,
2023-02-03,CRASH_REVERSAL_ENTRY,0.35,12.25070095062256,300.37860107421875,103.93379198348461,0.051966895991742305,192.96793250190825,8.48390572934546,12.25682630109787
2023-02-28,BULL_FULL,1.0,10.623353004455566,287.9976806640625,193.44012692519362,0.09672006346259682,0.0,26.692857916480953,11.146150284808334
2025-04-22,DEFENSIVE_EXIT,0.0,22.373573303222656,442.33892822265625,-597.2146132668938,0.2986073066334469,596.9160059602603,0.0,
2025-06-06,LEVEL_RESUME_ENTRY,0.35,36.84737777709961,527.3673095703125,210.044387079571,0.10502219353978551,389.977410954235,5.700389003260692,36.86580146598816
2025-06-12,BULL_FULL,1.0,37.58224105834961,531.0892333984375,390.04510143054506,0.19502255071527252,-5.684341886080802e-14,16.07883080041076,37.340372612107664
