policy,form,exit_ma,slope_lb,campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,WinRate,DiffCAGR_Median,DiffCAGR_Min
L25_50_PB3_XMA90_S30,L25_50_PB3,90,30,2,0.09801461202067663,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.07298045122872343,0.004513616684773014
L25_50_PB3_XMA90_S50,L25_50_PB3,90,50,2,0.09011225005293777,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.06507808926098457,0.004513616684773014
L25_50_PB5_XMA100_S10,L25_50_PB5,100,10,2,0.10340448038914252,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07837031959718932,0.004513616684773014
L25_50_PB5_XMA100_S20,L25_50_PB5,100,20,2,0.10445114874580808,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07941698795385488,0.004513616684773014
L25_50_PB5_XMA100_S30,L25_50_PB5,100,30,2,0.1085585110367715,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.0835243502448183,0.004513616684773014
L25_50_PB5_XMA100_S50,L25_50_PB5,100,50,2,0.09712349146578814,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07208933067383494,0.004513616684773014
L25_50_PB5_XMA110_S10,L25_50_PB5,110,10,2,0.10632432475659437,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.08129016396464117,0.004513616684773014
L25_50_PB5_XMA110_S20,L25_50_PB5,110,20,2,0.09838930974525684,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07335514895330364,0.004513616684773014
L25_50_PB5_XMA110_S30,L25_50_PB5,110,30,2,0.1085585110367715,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.0835243502448183,0.004513616684773014
L25_50_PB5_XMA110_S50,L25_50_PB5,110,50,2,0.09813983495635914,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07310567416440594,0.004513616684773014
L25_50_PB5_XMA120_S10,L25_50_PB5,120,10,2,0.02934122263679939,0.009300146486717953,-0.038900396846976715,-0.07780079369395343,1.0,0.004307061844846194,0.004100507004919374
L25_50_PB5_XMA120_S20,L25_50_PB5,120,20,2,0.10090080949422808,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07586664870227489,0.004513616684773014
L25_50_PB5_XMA120_S30,L25_50_PB5,120,30,2,0.1072900668168627,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.08225590602490951,0.004513616684773014
L25_50_PB5_XMA120_S50,L25_50_PB5,120,50,2,0.10800927816142758,0.05470579970811751,-0.16343139662380268,-0.314511159322467,1.0,0.08297511736947438,0.009837117606009693
L25_50_PB5_XMA130_S10,L25_50_PB5,130,10,2,0.024982295168600732,0.000582291550320635,-0.017078241943477068,-0.034156483886954137,0.5,-5.186562335246503e-05,-0.004617347931477944
L25_50_PB5_XMA130_S20,L25_50_PB5,130,20,2,0.022930278495195244,-0.003521741796490341,-0.026194174520999203,-0.052388349041998405,0.5,-0.002103882296757953,-0.00872138127828892
L25_50_PB5_XMA130_S30,L25_50_PB5,130,30,2,0.020723378413380344,-0.00793554196012014,-0.03901251526140487,-0.07802503052280974,0.5,-0.004310782378572853,-0.01313518144191872
L25_50_PB5_XMA130_S50,L25_50_PB5,130,50,2,0.10833435063850638,0.046755210828660854,-0.16919131993637776,-0.314511159322467,1.0,0.08330018984655319,0.0018865287265530384
L25_50_PB5_XMA90_S10,L25_50_PB5,90,10,2,0.023949093072407168,-0.001484112642066493,-0.038900396846976715,-0.07780079369395343,0.5,-0.001085067719546029,-0.006683752123865072
L25_50_PB5_XMA90_S20,L25_50_PB5,90,20,2,0.0309336376266226,0.012484976466364373,-0.038900396846976715,-0.07780079369395343,1.0,0.005899476834669404,0.004513616684773014
L25_50_PB5_XMA90_S30,L25_50_PB5,90,30,2,0.10536392220190882,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.08032976140995562,0.004513616684773014
L25_50_PB5_XMA90_S50,L25_50_PB5,90,50,2,0.09712349146578814,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07208933067383494,0.004513616684773014
L25_50_PB75_XMA100_S10,L25_50_PB75,100,10,2,0.10600120194399065,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.08096704115203746,0.004513616684773014
L25_50_PB75_XMA100_S20,L25_50_PB75,100,20,2,0.10706198908264875,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.08202782829069555,0.004513616684773014
