campaign_full_date,age_td,policy,form,exit_ma,slope_lb,CAGR,MDD,Return,WinWait,DiffCAGR,event_count
1988-04-08,505,L25_50_PB75_XMA100_S50,L25_50_PB75,100,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I25_XMA110_S10,I25,110,10,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I50_XMA110_S10,I50,110,10,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735,2
1988-04-08,505,L25_50_PB3_XMA110_S10,L25_50_PB3,110,10,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB5_XMA110_S10,L25_50_PB5,110,10,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB75_XMA110_S10,L25_50_PB75,110,10,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I25_XMA110_S20,I25,110,20,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I50_XMA110_S20,I50,110,20,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735,2
1988-04-08,505,L25_50_PB3_XMA110_S20,L25_50_PB3,110,20,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB5_XMA110_S20,L25_50_PB5,110,20,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB75_XMA110_S20,L25_50_PB75,110,20,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I25_XMA110_S30,I25,110,30,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I50_XMA110_S30,I50,110,30,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735,2
1988-04-08,505,L25_50_PB3_XMA110_S30,L25_50_PB3,110,30,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB5_XMA110_S30,L25_50_PB5,110,30,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB75_XMA110_S30,L25_50_PB75,110,30,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I25_XMA110_S50,I25,110,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I50_XMA110_S50,I50,110,50,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735,2
1988-04-08,505,L25_50_PB3_XMA110_S50,L25_50_PB3,110,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB5_XMA110_S50,L25_50_PB5,110,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB75_XMA110_S50,L25_50_PB75,110,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I25_XMA120_S10,I25,120,10,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I50_XMA120_S10,I50,120,10,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735,2
1988-04-08,505,L25_50_PB3_XMA120_S10,L25_50_PB3,120,10,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB5_XMA120_S10,L25_50_PB5,120,10,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB75_XMA120_S10,L25_50_PB75,120,10,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I25_XMA120_S20,I25,120,20,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I50_XMA120_S20,I50,120,20,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735,2
1988-04-08,505,L25_50_PB3_XMA120_S20,L25_50_PB3,120,20,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB5_XMA120_S20,L25_50_PB5,120,20,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB75_XMA120_S20,L25_50_PB75,120,20,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I25_XMA120_S30,I25,120,30,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I50_XMA120_S30,I50,120,30,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735,2
1988-04-08,505,L25_50_PB3_XMA120_S30,L25_50_PB3,120,30,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB5_XMA120_S30,L25_50_PB5,120,30,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB75_XMA120_S30,L25_50_PB75,120,30,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I25_XMA120_S50,I25,120,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I50_XMA120_S50,I50,120,50,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735,2
1988-04-08,505,L25_50_PB3_XMA120_S50,L25_50_PB3,120,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB5_XMA120_S50,L25_50_PB5,120,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB75_XMA120_S50,L25_50_PB75,120,50,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I25_XMA130_S10,I25,130,10,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I50_XMA130_S10,I50,130,10,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735,2
1988-04-08,505,L25_50_PB3_XMA130_S10,L25_50_PB3,130,10,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB5_XMA130_S10,L25_50_PB5,130,10,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,L25_50_PB75_XMA130_S10,L25_50_PB75,130,10,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I25_XMA130_S20,I25,130,20,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
1988-04-08,505,I50_XMA130_S20,I50,130,20,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735,2
1988-04-08,505,L25_50_PB3_XMA130_S20,L25_50_PB3,130,20,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857,2
