exit_ma,slope_lb,top30_count,mean_current_CAGR,worst_current_MDD,mean_all_CAGR
120,50,4,0.1050145326698543,-0.31672818464959873,0.05714974117811883
100,30,3,0.10695499694667614,-0.31672818464959873,0.04938229878688083
110,30,3,0.10695499694667614,-0.31672818464959873,0.04938229878688083
130,50,3,0.10672137191329541,-0.31672818464959873,0.046755210828660854
120,30,3,0.10569764886943793,-0.31672818464959873,0.04938229878688083
110,10,2,0.10764226890009648,-0.31672818464959873,0.04938229878688083
90,30,2,0.10667546260609617,-0.31672818464959873,0.013666605619096606
100,20,2,0.10575656891422841,-0.31672818464959873,0.04938229878688083
100,10,2,0.10470284116656658,-0.31672818464959873,0.017229870756609866
120,20,2,0.10218210120871984,-0.31672818464959873,0.04938229878688083
110,20,1,0.10091711704229545,-0.31672818464959873,0.04938229878688083
110,50,1,0.10066415813283747,-0.31672818464959873,0.04938229878688083
90,50,1,0.09963356419797675,-0.31672818464959873,0.04938229878688083
100,50,1,0.09963356419797675,-0.31672818464959873,0.04938229878688083
