policy,form,exit_ma,slope_lb,campaigns_cur,CAGR_Median_cur,CAGR_Min_cur,MDD_Median_cur,MDD_Worst_cur,WinRate_cur,DiffCAGR_Median_cur,DiffCAGR_Min_cur,n,campaigns_all,CAGR_Median_all,CAGR_Min_all,MDD_Median_all,MDD_Worst_all,WinRate_all,DiffCAGR_Median_all,DiffCAGR_Min_all
L25_50_PB3_XMA120_S50,L25_50_PB3,120,50,2,0.10066062403574505,0.05470579970811751,-0.15992201992346733,-0.3074924059217963,1.0,0.07562646324379185,0.009837117606009693,9,3,0.05470579970811751,-0.045903807021788645,-0.21246999672299882,-0.3539292214503984,0.5555555555555556,0.008196406138721857,-0.08810118642154141
L25_50_PB3_XMA120_S30,L25_50_PB3,120,30,2,0.0998641192760581,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.0748299584841049,0.004513616684773014,9,3,0.04938229878688083,-0.0509032879835003,-0.20979463804270249,-0.32845069326881793,0.5555555555555556,0.004513616684773014,-0.09310066738325307
L25_50_PB75_XMA100_S50,L25_50_PB75,100,50,2,0.09963356419797675,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.07459940340602356,0.004513616684773014,9,3,0.04938229878688083,-0.07176468201627928,-0.22610949980297967,-0.35166705249394403,0.5555555555555556,0.004513616684773014,-0.11396206141603205
L25_50_PB75_XMA90_S50,L25_50_PB75,90,50,2,0.09963356419797675,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.07459940340602356,0.004513616684773014,9,3,0.04938229878688083,-0.0766211186141934,-0.22594073173464913,-0.35166705249394403,0.5555555555555556,0.004513616684773014,-0.11881849801394617
L25_50_PB3_XMA110_S10,L25_50_PB3,110,10,2,0.09893669327207699,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.0739025324801238,0.004513616684773014,9,3,0.04938229878688083,-0.02246107680210052,-0.16775246907298125,-0.3091089099484695,0.5555555555555556,0.004513616684773014,-0.06465845620185329
I50_XMA100_S30,I50,100,30,2,0.09844957499093143,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07341541419897823,0.009014208032205762,9,3,0.05388289013431358,-0.08544668527122445,-0.20469098381692152,-0.3245539951301367,0.5555555555555556,0.009014208032205762,-0.12764406467097722
I50_XMA110_S30,I50,110,30,2,0.09844957499093143,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07341541419897823,0.009014208032205762,9,3,0.05388289013431358,-0.06750842961421077,-0.20469098381692152,-0.31657953910795433,0.5555555555555556,0.009014208032205762,-0.10970580901396354
L25_50_PB5_XMA110_S20,L25_50_PB5,110,20,2,0.09838930974525684,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07335514895330364,0.004513616684773014,9,3,0.04938229878688083,-0.04437245041490001,-0.14792964260961528,-0.3392750807077686,0.5555555555555556,0.004513616684773014,-0.08656982981465278
L25_50_PB5_XMA110_S50,L25_50_PB5,110,50,2,0.09813983495635914,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07310567416440594,0.004513616684773014,9,3,0.04938229878688083,-0.03493185338312699,-0.21963081307998122,-0.3654299889106395,0.5555555555555556,0.004513616684773014,-0.07976323099151295
L25_50_PB3_XMA90_S30,L25_50_PB3,90,30,2,0.09801461202067663,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.07298045122872343,0.004513616684773014,9,3,0.0026890972566873117,-0.03318753810659114,-0.12464557367143847,-0.32845069326881793,0.4444444444444444,-0.009369182644400897,-0.07538491750634391
I50_XMA120_S30,I50,120,30,2,0.09726682191465796,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07223266112270477,0.009014208032205762,9,3,0.05388289013431358,-0.06646141519562943,-0.20469098381692152,-0.31657953910795433,0.5555555555555556,0.009014208032205762,-0.10865879459538219
L25_50_PB3_XMA100_S20,L25_50_PB3,100,20,2,0.09713846231494871,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.07210430152299552,0.004513616684773014,9,3,0.04938229878688083,-0.0509032879835003,-0.15411244899148369,-0.32845069326881793,0.5555555555555556,0.004513616684773014,-0.09310066738325307
L25_50_PB5_XMA100_S50,L25_50_PB5,100,50,2,0.09712349146578814,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07208933067383494,0.004513616684773014,9,3,0.04938229878688083,-0.05285833898559744,-0.2197948683309494,-0.3654299889106395,0.5555555555555556,0.004513616684773014,-0.09505571838535021
L25_50_PB5_XMA90_S50,L25_50_PB5,90,50,2,0.09712349146578814,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07208933067383494,0.004513616684773014,9,3,0.04938229878688083,-0.058106061245339236,-0.21963081307998122,-0.3654299889106395,0.5555555555555556,0.004513616684773014,-0.100303440645092
I50_XMA130_S50,I50,130,50,2,0.09684414778637696,0.04863945458063279,-0.1746564298225976,-0.3021272629437828,1.0,0.07180998699442376,0.003770772478524975,9,3,0.04863945458063279,-0.06179719375895598,-0.2241531390756477,-0.3411325832304861,0.5555555555555556,0.003770772478524975,-0.10399457315870875
I50_XMA110_S10,I50,110,10,2,0.09636674823491553,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07133258744296234,0.009014208032205762,9,3,0.05388289013431358,-0.03992376494080496,-0.18521307622941374,-0.30797048017168016,0.5555555555555556,0.009014208032205762,-0.08212114434055773
L25_50_PB3_XMA100_S10,L25_50_PB3,100,10,2,0.09613403626271977,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.07109987547076657,0.004513616684773014,9,3,0.0038227100561012417,-0.059370301782660784,-0.12372489783664009,-0.3273439795461486,0.4444444444444444,-0.009643797374066065,-0.10156768118241355
I50_XMA90_S30,I50,90,30,2,0.09547202121250897,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07043786042055578,0.009014208032205762,9,3,-0.002669374678381242,-0.049932729950286414,-0.14770122882157277,-0.31657953910795433,0.4444444444444444,-0.010655649789083177,-0.09213010935003918
I50_XMA100_S20,I50,100,20,2,0.0946220121566459,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.0695878513646927,0.009014208032205762,9,3,0.05388289013431358,-0.06646141519562943,-0.15056778448505082,-0.31657953910795433,0.5555555555555556,0.009014208032205762,-0.10865879459538219
L25_50_PB3_XMA120_S20,L25_50_PB3,120,20,2,0.09373249671052586,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.06869833591857266,0.004513616684773014,9,3,0.04938229878688083,-0.05501749337940931,-0.20979463804270249,-0.32377187672596575,0.5555555555555556,0.004513616684773014,-0.09721487277916208
I50_XMA100_S10,I50,100,10,2,0.09364773467167309,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06861357387971989,0.009014208032205762,9,3,-0.0005148636174291399,-0.07436015902651494,-0.14517813977544547,-0.31551821492438126,0.4444444444444444,-0.010655649789083177,-0.1165575384262677
L25_50_PB3_XMA110_S20,L25_50_PB3,110,20,2,0.09132502415909605,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.06629086336714285,0.004513616684773014,9,3,0.04938229878688083,-0.061018830345222375,-0.1693636094633436,-0.32860128833319313,0.5555555555555556,0.004513616684773014,-0.10321620974497514
I50_XMA120_S20,I50,120,20,2,0.09131907516738702,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06628491437543382,0.009014208032205762,9,3,0.05388289013431358,-0.07029956877134957,-0.20469098381692152,-0.31207564374274976,0.5555555555555556,0.009014208032205762,-0.11249694817110234
L25_50_PB3_XMA110_S50,L25_50_PB3,110,50,2,0.09108597072973534,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.06605180993778215,0.004513616684773014,9,3,0.04938229878688083,-0.045903807021788645,-0.20979463804270249,-0.3539292214503984,0.5555555555555556,0.004513616684773014,-0.08810118642154141
L25_50_PB3_XMA100_S50,L25_50_PB3,100,50,2,0.09011225005293777,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.06507808926098457,0.004513616684773014,9,3,0.04938229878688083,-0.06897120127664425,-0.20995134674943894,-0.3539292214503984,0.5555555555555556,0.004513616684773014,-0.11116858067639701
L25_50_PB3_XMA90_S50,L25_50_PB3,90,50,2,0.09011225005293777,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.06507808926098457,0.004513616684773014,9,3,0.04938229878688083,-0.0738887169334197,-0.20979463804270249,-0.3539292214503984,0.5555555555555556,0.004513616684773014,-0.11608609633317246
