date,reason,total_before,target_or_cap,fee
2000-08-28,REVERSAL_ENTRY,1.0788171226422656,0.35,2.8318949469359467e-05
2000-09-13,BULL_EXIT,1.0721253539525428,0.0,2.363815416912426e-05
2001-12-24,REVERSAL_ENTRY,1.1282492884277229,0.35,2.9616543821227724e-05
2002-02-05,BULL_EXIT,1.1157123790418193,0.0,2.2376602002196364e-05
2002-11-15,REVERSAL_ENTRY,1.1302682154880177,0.35,2.966954065656046e-05
2002-12-12,BULL_FULL,1.125477916711853,1.0,5.5105283545727176e-05
2008-02-13,BULL_EXIT,1.4735184742220246,0.0,0.00017888511319485935
2009-04-01,REVERSAL_ENTRY,1.4895191508417358,0.35,3.909987770959556e-05
2009-04-22,BULL_FULL,1.5044424830201277,1.0,7.256490979878228e-05
2018-12-21,BULL_EXIT,11.059434788471686,0.0,0.004873933963128926
2020-05-11,REVERSAL_ENTRY,11.31985889940607,0.35,0.0002971462961094093
2020-05-12,BULL_FULL,11.28425123278122,1.0,0.0005514211363570251
2022-03-08,BULL_EXIT,13.519837284077648,0.0,0.0019423160210731113
2023-02-03,REVERSAL_ENTRY,13.838284521004242,0.35,0.0003632549686763613
2023-02-28,BULL_FULL,13.780069271197705,1.0,0.0006760850913447705
