date,reason,total_before,target_or_cap,fee
2000-08-28,REVERSAL_ENTRY,1.0788171226422656,0.35,3.7758599292479296e-05
2000-09-13,BULL_EXIT,1.0689455240681436,0.0,3.151753889216569e-05
2001-12-24,REVERSAL_ENTRY,1.1248946340496861,0.35,3.937131219173902e-05
2002-02-05,BULL_EXIT,1.1075365375180624,0.0,2.974675872163414e-05
2002-11-15,REVERSAL_ENTRY,1.1219780775080896,0.35,3.926923271278314e-05
2002-12-12,BULL_FULL,1.115318115086366,1.0,7.293480638307669e-05
2007-07-05,HARVEST_CAP,1.7242572285785949,0.4,7.358091950331269e-06
2007-07-06,HARVEST_CAP,1.7326410275406716,0.4,2.420085184795251e-06
2007-07-09,HARVEST_CAP,1.7338024051383965,0.4,2.508217607732899e-07
2007-07-13,HARVEST_CAP,1.7762992601906067,0.4,1.2352564573484937e-05
2007-07-18,HARVEST_CAP,1.7873914904244264,0.4,3.02885934636149e-06
2007-07-19,HARVEST_CAP,1.793682803049775,0.4,1.7864526717767393e-06
2007-09-27,HARVEST_CAP,1.8260530411375386,0.4,5.308439937302067e-06
2007-10-02,HARVEST_CAP,1.8438160877621304,0.4,5.090342812406945e-06
2007-10-08,HARVEST_CAP,1.8917554642970837,0.4,1.4046359071155646e-05
2007-10-09,HARVEST_CAP,1.9014513502650092,0.4,2.8287467746084815e-06
2007-10-10,HARVEST_CAP,1.9068917340206624,0.4,1.5450216845031006e-06
2007-10-24,HARVEST_CAP,1.9121612231303833,0.4,6.88954951757581e-07
2007-10-29,HARVEST_CAP,1.9270468464949382,0.4,4.207168041116705e-06
2007-10-30,HARVEST_CAP,1.9316281726176534,0.4,1.2879493546542608e-06
2007-10-31,HARVEST_CAP,1.9644109490950326,0.4,9.746944060557484e-06
2008-02-13,BULL_EXIT,1.5787446814834731,0.0,0.0001952238642260545
2009-04-01,REVERSAL_ENTRY,1.5958843874526598,0.35,5.585595356084309e-05
2009-04-22,BULL_FULL,1.6171540698603852,1.0,0.0001036622738815588
2009-12-28,HARVEST_CAP,2.163189554408198,0.4,1.0036449311888907e-05
2010-01-05,HARVEST_CAP,2.173315751630076,0.4,3.035280499649018e-06
2010-03-10,HARVEST_CAP,2.1980714823258953,0.4,7.33327713567894e-06
2010-03-11,HARVEST_CAP,2.206169037834175,0.4,2.429139022199767e-06
2010-03-12,HARVEST_CAP,2.208187617854559,0.4,6.02980314742596e-07
2010-03-17,HARVEST_CAP,2.2250502011805255,0.4,5.047509728969335e-06
