date,equity,tqqq_weight,core_cash,tactical_cash,tqqq_value,in_campaign
1999-03-10,1.0,0.0,1.0,0.0,0.0,False
1999-03-11,1.0001773809440553,0.0,1.0001773809440553,0.0,0.0,False
1999-03-12,1.00035519025698,0.0,1.00035519025698,0.0,0.0,False
1999-03-15,1.0005326342050185,0.0,1.0005326342050185,0.0,0.0,False
1999-03-16,1.0007097126013171,0.0,1.0007097126013171,0.0,0.0,False
1999-03-17,1.0008856310082632,0.0,1.0008856310082632,0.0,0.0,False
1999-03-18,1.0010603888206397,0.0,1.0010603888206397,0.0,0.0,False
1999-03-19,1.0012339853993932,0.0,1.0012339853993932,0.0,0.0,False
1999-03-22,1.0014080094061644,0.0,1.0014080094061644,0.0,0.0,False
1999-03-23,1.0015824610342432,0.0,1.0015824610342432,0.0,0.0,False
1999-03-24,1.0017565456094,0.0,1.0017565456094,0.0,0.0,False
1999-03-25,1.0019306604421145,0.0,1.0019306604421145,0.0,0.0,False
1999-03-26,1.0021052031193196,0.0,1.0021052031193196,0.0,0.0,False
1999-03-29,1.0022797762029663,0.0,1.0022797762029663,0.0,0.0,False
1999-03-30,1.0024543796983516,0.0,1.0024543796983516,0.0,0.0,False
1999-03-31,1.0026282180128183,0.0,1.0026282180128183,0.0,0.0,False
1999-04-01,1.00280168861458,0.0,1.00280168861458,0.0,0.0,False
1999-04-05,1.0029728016087194,0.0,1.0029728016087194,0.0,0.0,False
1999-04-06,1.0031435457865225,0.0,1.0031435457865225,0.0,0.0,False
1999-04-07,1.003314319031489,0.0,1.003314319031489,0.0,0.0,False
1999-04-08,1.0034847232178365,0.0,1.0034847232178365,0.0,0.0,False
1999-04-09,1.0036547581285111,0.0,1.0036547581285111,0.0,0.0,False
1999-04-12,1.0038244235848344,0.0,1.0038244235848344,0.0,0.0,False
1999-04-13,1.0039925243331247,0.0,1.0039925243331247,0.0,0.0,False
1999-04-14,1.0041586611943576,0.0,1.0041586611943576,0.0,0.0,False
1999-04-15,1.0043244270625062,0.0,1.0043244270625062,0.0,0.0,False
1999-04-16,1.0044914159278577,0.0,1.0044914159278577,0.0,0.0,False
1999-04-19,1.0046596283708922,0.0,1.0046596283708922,0.0,0.0,False
1999-04-20,1.0048274703182638,0.0,1.0048274703182638,0.0,0.0,False
1999-04-21,1.004996935268615,0.0,1.004996935268615,0.0,0.0,False
1999-04-22,1.0051660299819292,0.0,1.0051660299819292,0.0,0.0,False
1999-04-23,1.005336349780693,0.0,1.005336349780693,0.0,0.0,False
1999-04-26,1.0055082942096625,0.0,1.0055082942096625,0.0,0.0,False
1999-04-27,1.0056818640899767,0.0,1.0056818640899767,0.0,0.0,False
1999-04-28,1.0058562620912064,0.0,1.0058562620912064,0.0,0.0,False
1999-04-29,1.0060310894937092,0.0,1.0060310894937092,0.0,0.0,False
1999-04-30,1.0062059472828804,0.0,1.0062059472828804,0.0,0.0,False
1999-05-03,1.0063828318929493,0.0,1.0063828318929493,0.0,0.0,False
1999-05-04,1.006560945681387,0.0,1.006560945681387,0.0,0.0,False
1999-05-05,1.006740289269313,0.0,1.006740289269313,0.0,0.0,False
1999-05-06,1.0069192653215004,0.0,1.0069192653215004,0.0,0.0,False
1999-05-07,1.007098273191653,0.0,1.007098273191653,0.0,0.0,False
1999-05-10,1.0072769132341082,0.0,1.0072769132341082,0.0,0.0,False
1999-05-11,1.0074555849639026,0.0,1.0074555849639026,0.0,0.0,False
1999-05-12,1.0076346881797698,0.0,1.0076346881797698,0.0,0.0,False
1999-05-13,1.007813423372022,0.0,1.007813423372022,0.0,0.0,False
1999-05-14,1.0079913904173308,0.0,1.0079913904173308,0.0,0.0,False
1999-05-17,1.0081713888799053,0.0,1.0081713888799053,0.0,0.0,False
1999-05-18,1.0083534198327504,0.0,1.0083534198327504,0.0,0.0,False
1999-05-19,1.008534683372568,0.0,1.008534683372568,0.0,0.0,False
1999-05-20,1.0087147788517414,0.0,1.0087147788517414,0.0,0.0,False
1999-05-21,1.0088941059243006,0.0,1.0088941059243006,0.0,0.0,False
1999-05-24,1.0090726641683845,0.0,1.0090726641683845,0.0,0.0,False
1999-05-25,1.0092528557155573,0.0,1.0092528557155573,0.0,0.0,False
1999-05-26,1.009433479946124,0.0,1.009433479946124,0.0,0.0,False
1999-05-27,1.0096145370616043,0.0,1.0096145370616043,0.0,0.0,False
1999-05-28,1.0097956266524084,0.0,1.0097956266524084,0.0,0.0,False
1999-06-01,1.0099763480217467,0.0,1.0099763480217467,0.0,0.0,False
1999-06-02,1.0101583040765678,0.0,1.0101583040765678,0.0,0.0,False
1999-06-03,1.010342698048886,0.0,1.010342698048886,0.0,0.0,False
1999-06-04,1.0105239182463428,0.0,1.0105239182463428,0.0,0.0,False
1999-06-07,1.010701561928262,0.0,1.010701561928262,0.0,0.0,False
1999-06-08,1.0108776325521478,0.0,1.0108776325521478,0.0,0.0,False
1999-06-09,1.0110573441320332,0.0,1.0110573441320332,0.0,0.0,False
1999-06-10,1.0112366864382294,0.0,1.0112366864382294,0.0,0.0,False
1999-06-11,1.011418468279568,0.0,1.011418468279568,0.0,0.0,False
1999-06-14,1.0116026909352716,0.0,1.0116026909352716,0.0,0.0,False
1999-06-15,1.0117861442873044,0.0,1.0117861442873044,0.0,0.0,False
1999-06-16,1.0119704339125688,0.0,1.0119704339125688,0.0,0.0,False
