budget_pct,harvest_cap,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,Max_TQQQ_Weight,Avg_TQQQ_Weight,Days_TQQQ_Over25,Days_TQQQ_Over50,HarvestCount,TotalTradeEvents,ActualEra_CAGR,ActualEra_MDD,FinalMultiple,score
0.25,0.25,0.09131960086075908,-0.13554181534851106,0.6737374781793656,11.036464491869166,680,0.02083825865493316,-0.08625589372330644,0.01485974020730163,-0.135254075556424,0.22241742273624188,-0.03680293259842937,-0.028160278061140298,-0.13081145793160265,4.583795379197872,-0.13554181534851106,0.2652037086949318,0.1666904096437706,693,0,434,449,0.10950668914167094,-0.13554181534851106,11.036464491869166,0.08195599204746198
0.2,0.25,0.0902246134604765,-0.13554181534851129,0.6656588834116385,10.736196895340898,690,0.034227603743959945,-0.07232414193789882,0.005431237100066877,-0.13525407555642466,0.21219732643801126,-0.0365509216775779,-0.035274079069773756,-0.13081145793160243,4.490095941780024,-0.13554181534851129,0.2652037086949444,0.16554533626286375,642,0,401,416,0.10837280155857498,-0.13554181534851129,10.736196895340898,0.0788589071804167
0.25,0.4,0.12589393150871264,-0.22451432934757676,0.5607389598452436,26.003325863797663,726,0.01695088677758827,-0.09140046528148482,-0.04364575432078199,-0.2210666313065517,0.29907942889745676,-0.04501095737045091,-0.09697932762064876,-0.20956352357464803,10.72033693604096,-0.22451432934757676,0.4153243331960542,0.2651320661301863,4957,0,353,368,0.16034195965117504,-0.22451432934757676,26.003325863797663,0.07416745102653266
0.15,0.25,0.08605419722230301,-0.13554181534851084,0.6348903989594415,9.663053309790737,719,0.05167500969666805,-0.05400648370124772,-0.014277842536745466,-0.13525407555642444,0.17885186739019265,-0.027952905957016494,-0.04533985891324144,-0.13081145793160254,4.190628459924438,-0.13554181534851084,0.2620866057960344,0.16275504713942357,579,0,361,376,0.10462283022302277,-0.13554181534851084,9.663053309790737,0.06829737336035585
0.2,0.4,0.11775797254947196,-0.22451432934757687,0.5245009211290366,21.3050488516826,749,0.034227603743959945,-0.07232414193789882,-0.061713206978216695,-0.2210666313065508,0.24023435164608342,-0.036550921677577786,-0.10630399388017353,-0.20956352357464847,9.56664323177104,-0.22451432934757687,0.4153243331960541,0.25751785983013725,4789,0,303,318,0.1530997713090334,-0.22451432934757687,21.3050488516826,0.05210178243433791
0.1,0.25,0.07691045604976932,-0.13554181534851117,0.5674297326770614,7.659829814241264,733,0.06929386984979513,-0.0355426042109005,-0.03363136797590949,-0.1352540755564241,0.12103561844346711,-0.019196416299989583,-0.05540563875670612,-0.13081145793160254,3.5901778759431053,-0.13554181534851117,0.26208660579603443,0.15208744065029411,446,0,282,297,0.09644823669581215,-0.13554181534851117,7.659829814241264,0.04347021619351968
0.15,0.4,0.10528121594194739,-0.22411587890375673,0.46976241244895844,15.650543554392916,874,0.05167500969666805,-0.05400648370124772,-0.0802118658775367,-0.21772385506682979,0.1806349850447755,-0.027952905957016494,-0.11562866013969908,-0.20956352357464825,7.787614518084132,-0.22411587890375673,0.4153243331960541,0.23630255496678118,4185,0,236,251,0.14032658085997562,-0.22411587890375673,15.650543554392916,0.017288322259480682
0.25,0.6,0.1483129591084733,-0.32570902147440783,0.45535416377813415,44.700671878755905,879,0.01695088677758827,-0.09140046528148482,-0.11917648780987455,-0.3076494895394146,0.29983371824739025,-0.0450109573704508,-0.19796930137422097,-0.314566096331805,20.419959075009896,-0.32570902147440783,0.6151331659762794,0.35919015820532335,4980,2657,205,220,0.20339680629264056,-0.32570902147440783,44.700671878755905,0.01242195243002217
0.05,0.25,0.06056331043323815,-0.13160762124262615,0.46018087601162727,5.03135934316094,1041,0.08708494941743261,-0.01720372783265356,-0.019658825468885976,-0.08519974189332413,0.06143625184215962,-0.009891013265844961,-0.04542801867915747,-0.10553284180394207,2.367934797041148,-0.13160762124262615,0.2581728389756401,0.11584420093734103,275,0,173,188,0.07612724614235589,-0.13160762124262615,5.03135934316094,-0.0009616510819125679
0.1,0.4,0.09016716946577485,-0.21479400987500208,0.4197843762879935,10.720663887898418,1037,0.06929386984979513,-0.0355426042109005,-0.05335776779135537,-0.15847809396475376,0.12103561844346711,-0.01919641629998947,-0.10244232685639798,-0.18229750895767627,5.55691797553486,-0.21479400987500208,0.4103937457084746,0.2004787831826116,2726,0,176,191,0.12032876106684665,-0.21479400987500208,10.720663887898418,-0.019315697529593487
