date,reason,target,price,notional,fee,campaign_full_date,start_date,age_td,policy
2008-02-13,BASE_V7_EXIT,0.0,0.446508,-0.4254451667641,0.00021272258338205,2002-12-12,2004-12-15,505,HOLD50
2004-12-16,INITIAL,1.0,0.524799,0.999586198966204,0.000499793099483102,2002-12-12,2004-12-15,505,HOLD100
2008-02-13,BASE_V7_EXIT,0.0,0.446508,-0.8504651009777111,0.00042523255048885556,2002-12-12,2004-12-15,505,HOLD100
2004-12-16,INITIAL,0.25,0.524799,0.25002149801642176,0.0001250107490082109,2002-12-12,2004-12-15,505,I25_X60_3D
2005-01-24,EARLY_EXIT_MA60_3D,0.0,0.407529,-0.1941524489664316,9.70762244832158e-05,2002-12-12,2004-12-15,505,I25_X60_3D
2004-12-16,INITIAL,0.25,0.524799,0.25002149801642176,0.0001250107490082109,2002-12-12,2004-12-15,505,I25_X80_3D
2005-01-25,EARLY_EXIT_MA80_3D,0.0,0.413448,-0.1969723423861203,9.848617119306015e-05,2002-12-12,2004-12-15,505,I25_X80_3D
2004-12-16,INITIAL,0.25,0.524799,0.25002149801642176,0.0001250107490082109,2002-12-12,2004-12-15,505,I25_X100_3D
2005-01-26,EARLY_EXIT_MA100_3D,0.0,0.428209,-0.20400468683079417,0.00010200234341539709,2002-12-12,2004-12-15,505,I25_X100_3D
2004-12-16,INITIAL,0.25,0.524799,0.25002149801642176,0.0001250107490082109,2002-12-12,2004-12-15,505,I25_X110NEG20
2005-04-20,EARLY_EXIT_MA110_NEG20,0.0,0.338324,-0.16118223032991275,8.059111516495638e-05,2002-12-12,2004-12-15,505,I25_X110NEG20
2004-12-16,INITIAL,0.25,0.524799,0.25002149801642176,0.0001250107490082109,2002-12-12,2004-12-15,505,I25_XDD63_10
2005-04-18,EARLY_EXIT_DD63_10,0.0,0.340108,-0.16203215259055215,8.101607629527607e-05,2002-12-12,2004-12-15,505,I25_XDD63_10
2004-12-16,INITIAL,0.5,0.524799,0.5000429960328435,0.0002500214980164218,2002-12-12,2004-12-15,505,I50_X60_3D
2005-01-24,EARLY_EXIT_MA60_3D,0.0,0.407529,-0.3883048979328632,0.0001941524489664316,2002-12-12,2004-12-15,505,I50_X60_3D
2004-12-16,INITIAL,0.5,0.524799,0.5000429960328435,0.0002500214980164218,2002-12-12,2004-12-15,505,I50_X80_3D
2005-01-25,EARLY_EXIT_MA80_3D,0.0,0.413448,-0.3939446847722406,0.0001969723423861203,2002-12-12,2004-12-15,505,I50_X80_3D
2004-12-16,INITIAL,0.5,0.524799,0.5000429960328435,0.0002500214980164218,2002-12-12,2004-12-15,505,I50_X100_3D
2005-01-26,EARLY_EXIT_MA100_3D,0.0,0.428209,-0.40800937366158835,0.00020400468683079418,2002-12-12,2004-12-15,505,I50_X100_3D
2004-12-16,INITIAL,0.5,0.524799,0.5000429960328435,0.0002500214980164218,2002-12-12,2004-12-15,505,I50_X110NEG20
2005-04-20,EARLY_EXIT_MA110_NEG20,0.0,0.338324,-0.3223644606598255,0.00016118223032991275,2002-12-12,2004-12-15,505,I50_X110NEG20
2004-12-16,INITIAL,0.25,0.524799,0.25002149801642176,0.0001250107490082109,2002-12-12,2004-12-15,505,L25_50_PB5_X60
