campaign_full_date,start_date,exit_date,age_td,policy,CAGR,MDD,Return,DiffCAGR_vs_Wait,Win_vs_Wait,event_count
1988-04-08,1990-04-06,1990-09-18,505,HOLD25,-0.14621458347148464,-0.20213332947508056,-0.0689211313736634,-0.2248662361886674,False,2
1988-04-08,1990-04-06,1990-09-18,505,HOLD50,-0.34262566903702074,-0.37452437861942023,-0.17263707114804527,-0.4212773217542035,False,2
1988-04-08,1990-04-06,1990-09-18,505,HOLD100,-0.652740072193982,-0.6398368749356363,-0.3798616224813667,-0.7313917249111648,False,2
1988-04-08,1990-04-06,1990-09-18,505,I25_X60_3D,0.018304174171723364,-0.04167725088293939,0.008227892910583234,-0.06034747854545941,False,2
1988-04-08,1990-04-06,1990-09-18,505,I25_X80_3D,0.012646036991113885,-0.04178674603679822,0.005693230147402861,-0.06600561572606889,False,2
1988-04-08,1990-04-06,1990-09-18,505,I25_X100_3D,0.08684805885590463,0.0,0.038339652162946214,0.008196406138721857,True,2
1988-04-08,1990-04-06,1990-09-18,505,I25_X110NEG20,0.08684805885590463,0.0,0.038339652162946214,0.008196406138721857,True,2
1988-04-08,1990-04-06,1990-09-18,505,I25_XDD63_10,0.024142211937363545,-0.11664312697077905,0.010835064859900712,-0.05450944077981923,False,2
1988-04-08,1990-04-06,1990-09-18,505,I50_X60_3D,-0.040143941993199816,-0.08384145345069405,-0.018339022579549558,-0.11879559471038259,False,2
1988-04-08,1990-04-06,1990-09-18,505,I50_X80_3D,-0.0510817331220621,-0.08405702114531843,-0.023408348105910304,-0.12973338583924487,False,2
1988-04-08,1990-04-06,1990-09-18,505,I50_X100_3D,0.09507849435288951,0.0,0.041884495925175846,0.016426841635706735,True,2
1988-04-08,1990-04-06,1990-09-18,505,I50_X110NEG20,0.09507849435288951,0.0,0.041884495925175846,0.016426841635706735,True,2
1988-04-08,1990-04-06,1990-09-18,505,L25_50_PB5_X60,0.02443618364157607,-0.04180733641636003,0.010966132062693701,-0.054215469075606704,False,3
1988-04-08,1990-04-06,1990-09-18,505,L25_50_PB5_X80,0.012646036991113885,-0.04178674603679822,0.005693230147402861,-0.06600561572606889,False,2
1988-04-08,1990-04-06,1990-09-18,505,L25_50_PB5_X100,0.08684805885590463,0.0,0.038339652162946214,0.008196406138721857,True,2
1988-04-08,1990-04-06,1990-09-18,505,L25_50_PB5_X110NEG20,0.08684805885590463,0.0,0.038339652162946214,0.008196406138721857,True,2
1988-04-08,1990-04-06,1990-09-18,505,WAIT_NEXT,0.07865165271718277,0.0,0.03479480840071947,0.0,False,0
2002-12-12,2004-12-15,2008-02-13,505,HOLD25,0.019439652694139387,-0.18486891704250052,0.06277540649841251,-0.021050522526064652,False,2
2002-12-12,2004-12-15,2008-02-13,505,HOLD50,-0.002595190258974922,-0.33761603966871345,-0.008183721969741153,-0.04308536547917896,False,2
2002-12-12,2004-12-15,2008-02-13,505,HOLD100,-0.05008054847944643,-0.5643134086518345,-0.14996013157277777,-0.09057072369965047,False,2
2002-12-12,2004-12-15,2008-02-13,505,I25_X60_3D,0.02152338431504841,-0.06216684975298914,0.06966005637011397,-0.01896679090515563,False,2
2002-12-12,2004-12-15,2008-02-13,505,I25_X80_3D,0.02247905915029058,-0.062070577029662566,0.0728277815563958,-0.018011116069913458,False,2
2002-12-12,2004-12-15,2008-02-13,505,I25_X100_3D,0.024862484840030286,-0.062070577029662566,0.08075593391002611,-0.015627690380173753,False,2
2002-12-12,2004-12-15,2008-02-13,505,I25_X110NEG20,0.009778100467708661,-0.09017182524930711,0.031249238566220194,-0.030712074752495377,False,2
2002-12-12,2004-12-15,2008-02-13,505,I25_XDD63_10,0.010086335356273457,-0.08959013169559915,0.03224501875888475,-0.030403839863930582,False,2
2002-12-12,2004-12-15,2008-02-13,505,I50_X60_3D,0.001762949553198112,-0.12491628471702554,0.005585577773662198,-0.03872722566700593,False,2
2002-12-12,2004-12-15,2008-02-13,505,I50_X80_3D,0.0037544920520413694,-0.1247251744508725,0.011921028146225643,-0.03673568316816267,False,2
2002-12-12,2004-12-15,2008-02-13,505,I50_X100_3D,0.008701808509718578,-0.1247251744508725,0.027777332853488046,-0.03178836671048546,False,2
2002-12-12,2004-12-15,2008-02-13,505,I50_X110NEG20,-0.02309845788172571,-0.18669797916276376,-0.07123605783412346,-0.06358863310192975,False,2
2002-12-12,2004-12-15,2008-02-13,505,L25_50_PB5_X60,0.01743518949394618,-0.0739844494952735,0.056181310813759655,-0.02305498572625786,False,3
2002-12-12,2004-12-15,2008-02-13,505,L25_50_PB5_X80,0.01970074643200226,-0.07375787641331544,0.0636363950105363,-0.02078942878820178,False,3
2002-12-12,2004-12-15,2008-02-13,505,L25_50_PB5_X100,0.025323757211689113,-0.07375787641331544,0.08229490856376698,-0.015166418008514926,False,3
2002-12-12,2004-12-15,2008-02-13,505,L25_50_PB5_X110NEG20,-0.010949301688710222,-0.14792964260961528,-0.034216644802785856,-0.05143947690891426,False,3
2002-12-12,2004-12-15,2008-02-13,505,WAIT_NEXT,0.04049017522020404,0.0,0.1337345349665653,0.0,False,0
2002-12-12,2005-12-13,2008-02-13,756,HOLD25,0.012885751667477408,-0.183138531949242,0.028152249179626,-0.03194562594090855,False,2
2002-12-12,2005-12-13,2008-02-13,756,HOLD50,-0.020282900136105453,-0.335755758654525,-0.04346132662030455,-0.06511427774449141,False,2
2002-12-12,2005-12-13,2008-02-13,756,HOLD100,-0.09082202847293286,-0.5643134086518344,-0.18654532264635415,-0.13565340608131882,False,2
2002-12-12,2005-12-13,2008-02-13,756,I25_X60_3D,0.0314211854044093,-0.04574929907485281,0.0693873091674293,-0.013410192203976656,False,2
2002-12-12,2005-12-13,2008-02-13,756,I25_X80_3D,0.03311096498393695,-0.04799584408546631,0.07318997725006104,-0.011720412624449006,False,2
2002-12-12,2005-12-13,2008-02-13,756,I25_X100_3D,0.028882426552444107,-0.04799584408546631,0.0636877740938322,-0.01594895105594185,False,2
