age_td,policy,campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,Return_Median,Return_Min,WinRate_vs_Wait,DiffCAGR_Median,DiffCAGR_Min
505,HOLD100,3,-0.05008054847944643,-0.652740072193982,-0.5643134086518345,-0.6398368749356363,-0.14996013157277777,-0.3798616224813667,0.3333333333333333,-0.09057072369965047,-0.7313917249111648
505,HOLD25,3,0.019439652694139387,-0.14621458347148464,-0.20213332947508056,-0.4717168058000085,0.06277540649841251,-0.0689211313736634,0.3333333333333333,-0.021050522526064652,-0.2248662361886674
505,HOLD50,3,-0.002595190258974922,-0.34262566903702074,-0.37452437861942023,-0.5197377081578636,-0.008183721969741153,-0.17263707114804527,0.3333333333333333,-0.04308536547917896,-0.4212773217542035
505,I25_X100_3D,3,0.024862484840030286,0.0018809531638366295,-0.03399355573423413,-0.062070577029662566,0.038339652162946214,0.014515592948803668,0.3333333333333333,-0.002405414586744703,-0.015627690380173753
505,I25_X110NEG20,3,0.009778100467708661,5.38692034794952e-05,-0.06513515293786998,-0.09017182524930711,0.031249238566220194,0.0004131905369166855,0.3333333333333333,-0.004232498547101837,-0.030712074752495377
505,I25_X60_3D,3,0.018304174171723364,0.0018809531638366295,-0.04167725088293939,-0.06216684975298914,0.014515592948803668,0.008227892910583234,0.0,-0.01896679090515563,-0.06034747854545941
505,I25_X80_3D,3,0.012646036991113885,0.0018809531638366295,-0.04178674603679822,-0.062070577029662566,0.014515592948803668,0.005693230147402861,0.0,-0.018011116069913458,-0.06600561572606889
505,I25_XDD63_10,3,0.010086335356273457,-0.005555360567808809,-0.10339535035938474,-0.11664312697077905,0.010835064859900712,-0.04182242540759207,0.0,-0.030403839863930582,-0.05450944077981923
505,I50_X100_3D,3,0.008701808509718578,-0.0005636032157957382,-0.06737714995573374,-0.1247251744508725,0.027777332853488046,-0.004314089960707701,0.3333333333333333,-0.004849970966377071,-0.03178836671048546
505,I50_X110NEG20,3,-0.004301572022926803,-0.02309845788172571,-0.12910892020205222,-0.18669797916276376,-0.03251889478447434,-0.07123605783412346,0.3333333333333333,-0.008587939773508135,-0.06358863310192975
505,I50_X60_3D,3,-0.0005636032157957382,-0.040143941993199816,-0.08384145345069405,-0.12491628471702554,-0.004314089960707701,-0.018339022579549558,0.0,-0.03872722566700593,-0.11879559471038259
505,I50_X80_3D,3,-0.0005636032157957382,-0.0510817331220621,-0.08405702114531843,-0.1247251744508725,-0.004314089960707701,-0.023408348105910304,0.0,-0.03673568316816267,-0.12973338583924487
505,L25_50_PB5_X100,3,0.025323757211689113,0.0018809531638366295,-0.03399355573423413,-0.07375787641331544,0.038339652162946214,0.014515592948803668,0.3333333333333333,-0.002405414586744703,-0.015166418008514926
505,L25_50_PB5_X110NEG20,3,0.0005438380776068286,-0.010949301688710222,-0.09164814800083332,-0.14792964260961528,0.004178198382790876,-0.034216644802785856,0.3333333333333333,-0.003742529672974504,-0.05143947690891426
505,L25_50_PB5_X60,3,0.01743518949394618,0.0018809531638366295,-0.04180733641636003,-0.0739844494952735,0.014515592948803668,0.010966132062693701,0.0,-0.02305498572625786,-0.054215469075606704
505,L25_50_PB5_X80,3,0.012646036991113885,0.0018809531638366295,-0.04178674603679822,-0.07375787641331544,0.014515592948803668,0.005693230147402861,0.0,-0.02078942878820178,-0.06600561572606889
505,WAIT_NEXT,3,0.04049017522020404,0.0042863677505813325,0.0,0.0,0.03479480840071947,0.033345275858313705,0.0,0.0,0.0
756,HOLD100,2,0.129469993569437,-0.09082202847293286,-0.5559250955611565,-0.5643134086518344,3.1026750335423334,-0.18654532264635415,0.5,0.10461283683732314,-0.13565340608131882
756,HOLD25,2,0.08424075085095262,0.012885751667477408,-0.3214091910397354,-0.45967985013022883,0.825843419129746,0.028152249179626,0.5,0.059383594118838756,-0.03194562594090855
756,HOLD50,2,0.1102053352542261,-0.020282900136105453,-0.42527945893070984,-0.5148031592068947,1.5852933375227427,-0.04346132662030455,0.5,0.08534817852211224,-0.06511427774449141
756,I25_X100_3D,2,0.014501407686771883,0.00012038882109965954,-0.059316214469635364,-0.07063658485380442,0.03224549320121395,0.0008032123085957021,0.0,-0.010355749045341978,-0.01594895105594185
756,I25_X110NEG20,2,0.0461055621405293,0.01582819710025829,-0.14893170402416217,-0.22878770520725933,0.33422936334993214,0.03463987531147472,0.5,0.02124840540841544,-0.02900318050812767
756,I25_X60_3D,2,0.017420723690703688,0.0034202619769980735,-0.039457982703269334,-0.04574929907485281,0.04621062134904863,0.02303393353066796,0.0,-0.007436433041410173,-0.013410192203976656
756,I25_X80_3D,2,0.01755868125535942,0.002006397526781889,-0.045101015344459316,-0.04799584408546631,0.0433240389851024,0.01345810072014375,0.0,-0.00729847547675444,-0.011720412624449006
756,I25_XDD63_10,2,0.003081801940031381,0.00012038882109965954,-0.07624804669946517,-0.08185950854512591,0.006976867645503537,0.0008032123085957021,0.0,-0.02177535479208248,-0.038788162549422855
756,I50_X100_3D,2,0.003932459024722723,-0.004774319700288965,-0.11897005352338202,-0.13804376902601823,-0.0019025143343198159,-0.03141475187674858,0.0,-0.020924697707391138,-0.03219213985865155
756,I50_X110NEG20,2,0.056975134046916065,-0.014176419255835238,-0.229178266612454,-0.30797048017168016,0.6020652259631171,-0.030486074356603998,0.5,0.032117977314802204,-0.059007796864221196
756,I50_X60_3D,2,0.00987475451993891,0.001945399095048428,-0.07865943346499082,-0.09250001187654844,0.026027741961345163,0.013046690567387609,0.0,-0.01498240221217495,-0.027027267663556565
756,I50_X80_3D,2,0.010157678954297866,-0.0009177356860299302,-0.09002872251537991,-0.09756880428386938,0.020254577233455417,-0.006104975053652928,0.0,-0.014699477777815995,-0.023598284013760296
756,L25_50_PB5_X100,2,0.0111426964414581,-0.0017274728764559155,-0.07942964999002095,-0.10094498493638204,0.020668150262119156,-0.01146518302115973,0.0,-0.013714460290655761,-0.020818511849013843
756,L25_50_PB5_X110NEG20,2,0.06567564308252932,-0.004610389690617223,-0.22124707686970685,-0.3124366401792579,0.665107773083153,-0.009970351957260037,0.5,0.04081848635041546,-0.04944176729900318
756,L25_50_PB5_X60,2,0.01647023306183537,0.0034202619769980735,-0.04136278684930783,-0.049558907366929805,0.044075990084698424,0.02303393353066796,0.0,-0.00838692367027849,-0.01531117346171329
756,L25_50_PB5_X80,2,0.017590987287544824,0.002006397526781889,-0.04869812933716783,-0.055190072070883334,0.04339681244127569,0.01345810072014375,0.0,-0.007266169444569037,-0.0116558005600782
756,WAIT_NEXT,2,0.02485715673211386,0.0048829358558417635,0.0,0.0,0.06639350073674877,0.03302117649394232,0.0,0.0,0.0
879,HOLD100,2,0.2506063238497048,0.1427459033666274,-0.5559250955611565,-0.5643134086518344,2.947850311074898,0.250091374297148,1.0,0.22557216305775163,0.09787722126451959
879,HOLD25,2,0.11243044009076542,0.06991268304345222,-0.34782511256552934,-0.45155567754161907,0.778112284428729,0.1196845656387866,1.0,0.08739627929881222,0.025044000941344402
879,HOLD50,2,0.1688648770800245,0.09456827998878081,-0.4527258406161706,-0.5113813910908107,1.5018405376907709,0.1631824859797404,1.0,0.14383071628807131,0.049699597886673
879,I25_X100_3D,2,0.024817384822012567,0.0002524708571443046,-0.016091062116043497,-0.032182124232086995,0.04276837914675102,0.0015618452373946656,0.5,-0.0002167759699406302,-0.0049471686246542745
879,I25_X110NEG20,2,0.061240225534287984,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,0.31536046539280516,0.08397491305610738,1.0,0.03620606474233479,0.004513616684773014
879,I25_X60_3D,2,0.02481054973278851,0.0002388006786961938,-0.015050309462138534,-0.030100618924277067,0.04272606948253943,0.00147722590897148,0.5,-0.0002236110591646856,-0.004960838803102385
879,I25_X80_3D,2,0.024627354603160623,-0.00012758958055958391,-0.016145542813443436,-0.03229108562688687,0.041593195118505066,-0.0007885228190972482,0.5,-0.00040680618879257446,-0.005327229062358163
879,I25_XDD63_10,2,0.023113052917327848,-0.003156192952225134,-0.02614472724016431,-0.05228945448032862,0.032310793152239226,-0.01935332675162893,0.5,-0.0019211078746253496,-0.008355832434023713
879,I50_X100_3D,2,0.024529022514924004,-0.004824845104465569,-0.032225660009561785,-0.06439103448598194,0.031152727126810165,-0.029457726560762953,0.5,-0.0005051382770291934,-0.010024484586264149
879,I50_X110NEG20,2,0.08898581646023462,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,0.5763368996189195,0.09176318081438328,1.0,0.06395165566828143,0.009014208032205762
879,I50_X60_3D,2,0.024514986502159775,-0.004852917129994028,-0.03014217052946505,-0.06022405552578847,0.03106810779839042,-0.02962696521760244,0.5,-0.0005191742897934226,-0.010052556611792607
879,I50_X80_3D,2,0.024138396061256895,-0.005606098011799787,-0.03233462140436166,-0.06460895727558169,0.028802359070319306,-0.03415846267374467,0.5,-0.0008957647306963024,-0.010805737493598366
879,L25_50_PB5_X100,2,0.024817384822012567,0.0002524708571443046,-0.016091062116043497,-0.032182124232086995,0.04276837914675102,0.0015618452373946656,0.5,-0.0002167759699406302,-0.0049471686246542745
879,L25_50_PB5_X110NEG20,2,0.09838930974525684,0.04938229878688083,-0.1572555796612335,-0.314511159322467,0.7118373934822481,0.08397491305610738,1.0,0.07335514895330364,0.004513616684773014
879,L25_50_PB5_X60,2,0.02481054973278851,0.0002388006786961938,-0.015050309462138534,-0.030100618924277067,0.04272606948253943,0.00147722590897148,0.5,-0.0002236110591646856,-0.004960838803102385
879,L25_50_PB5_X80,2,0.024627354603160623,-0.00012758958055958391,-0.016145542813443436,-0.03229108562688687,0.041593195118505066,-0.0007885228190972482,0.5,-0.00040680618879257446,-0.005327229062358163
879,WAIT_NEXT,2,0.025034160791953197,0.005199639481798579,0.0,0.0,0.05438403116668955,0.03258141703554718,0.0,0.0,0.0
1009,HOLD100,2,0.10912686027299151,-0.16764361848959453,-0.5559250955611565,-0.5643134086518344,2.5708558252733003,-0.19266664351761087,0.5,0.08522026900469443,-0.2098409978893473
