strategy,soft_ma,soft_slope,soft_dd,soft_w,hard_ma,hard_slope,hard_dd,recover_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,Roll3y_CAGR_P10,Roll3y_CAGR_Median,Roll3y_WorstMDD,Roll5y_CAGR_P10,Roll5y_CAGR_Median,Roll5y_WorstMDD
V9_SM80S40D15W50_HM110S20D25_R80,80,40,-0.15,0.5,110,20,-0.25,80,0.2864620487748142,-0.6992207245312605,0.4096875832260992,954.1410349312774,1346,-0.23591764888572375,-0.38774541956073294,-0.4533591229250924,-0.6712778825640539,0.6475388370201063,-0.6992207245312605,-0.3558742516581026,-0.5814674860466074,418.4786113504238,-0.6992207245312605,0.4481269285776557,-0.6992207245312605,26,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704569,0.49064843746520986,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,-0.025474297308848672,0.34717382250467077,-0.6992207245312605,0.07118401906555541,0.3104186762838581,-0.6992207245312605
V9_SM80S40D15W50_HM120S20D25_R80,80,40,-0.15,0.5,120,20,-0.25,80,0.2870108493289685,-0.6992207245312605,0.4104724577798708,965.2895479456269,1346,-0.24995614203275152,-0.39899437946564187,-0.4366210142507665,-0.671277882564054,0.6475388370201063,-0.6992207245312605,-0.3558742516581026,-0.5814674860466074,418.47861135042376,-0.6992207245312605,0.4481269285776557,-0.6992207245312605,28,0.8250145942790427,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704569,0.49064843746520986,2023-02-03,2023-02-28,1.0,1.0,0,-0.023737855771520766,0.347173822504671,-0.6992207245312605,0.06741724527196068,0.31041867628385833,-0.6992207245312605
V9_SM110S40D15W50_HM150S40D22_R80,110,40,-0.15,0.5,150,40,-0.22,80,0.27745636477131885,-0.6992207245312605,0.39680798213942875,787.9814796918529,1346,-0.420969623803363,-0.46138418653315694,-0.3052606107962472,-0.5643134086518345,0.6475388370201061,-0.6992207245312605,-0.3023704515018125,-0.5467024109923713,459.22661169601963,-0.6992207245312605,0.45638170335650874,-0.6992207245312605,49,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.4650899812875045,0.533527407349024,2023-02-03,2023-02-28,1.0,1.0,0,-0.03965863904197666,0.3342739880772898,-0.6992207245312605,-0.008305337624781845,0.31917435147459705,-0.6992207245312605
V9_SM80S40D15W50_HM150S40D22_R80,80,40,-0.15,0.5,150,40,-0.22,80,0.28115943376741437,-0.6992207245312605,0.4021039764745194,852.6197403463684,1346,-0.420969623803363,-0.46138418653315694,-0.23850160143445454,-0.5236193833854154,0.6475388370201061,-0.6992207245312605,-0.3023704515018115,-0.5467024109923707,453.32227324300595,-0.6992207245312605,0.45522915974214917,-0.6992207245312605,47,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.0258671307045715,0.4906484374652101,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,-0.02785604508584822,0.3624982383013511,-0.6992207245312605,-0.007604050675499672,0.3335535516166186,-0.6992207245312605
V9_SM100S40D15W50_HM150S40D22_R80,100,40,-0.15,0.5,150,40,-0.22,80,0.2770147214580718,-0.6992207245312605,0.3961763599666977,780.5951672051634,1346,-0.420969623803363,-0.46138418653315694,-0.3052606107962472,-0.5643134086518345,0.6475388370201061,-0.6992207245312605,-0.3023704515018125,-0.5467024109923713,454.91257937890674,-0.6992207245312605,0.4555409692332393,-0.6992207245312605,49,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.404488081259309,0.527611169059595,2023-02-03,2023-02-28,1.0,1.0,0,-0.03965863904197666,0.3342739880772898,-0.6992207245312605,-0.008305337624781845,0.3166861796129343,-0.6992207245312605
V9_SM110S40D12W50_HM150S40D22_R80,110,40,-0.12,0.5,150,40,-0.22,80,0.27222616658389653,-0.6992207245312605,0.38932794328484743,704.6719770881531,1354,-0.420969623803363,-0.46138418653315694,-0.30526061079624767,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3023704515018122,-0.546702410992371,430.96785702239634,-0.6992207245312605,0.45073422863943535,-0.6992207245312605,53,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.4650899812875045,0.533527407349024,2023-02-03,2023-02-28,1.0,1.0,0,-0.05041322693920162,0.3071764263532566,-0.6992207245312605,-0.01462859678703403,0.3186609677488865,-0.6992207245312605
V9_SM100S40D15W50_HM120S20D25_R80,100,40,-0.15,0.5,120,20,-0.25,80,0.27960025825892854,-0.7322602350182712,0.38183182001129967,824.8044376288278,1346,-0.24995614203275152,-0.39899437946564187,-0.5202925290489122,-0.7322602350182712,0.6475388370201061,-0.6992207245312605,-0.35587425165810194,-0.5814674860466069,419.9469510044501,-0.6992207245312605,0.4484372162856851,-0.6992207245312605,29,0.8250145942790427,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.404488081259307,0.5276111690595948,2023-02-03,2023-02-28,1.0,1.0,0,-0.0473980513147742,0.32766512181351426,-0.7322602350182712,0.06721379207668231,0.30042321944142514,-0.7322602350182712
V9_SM80S40D15W50_HM110S40D25_R80,80,40,-0.15,0.5,110,40,-0.25,80,0.2793527424713298,-0.7155172052822144,0.3904207200176933,820.4700034391008,1346,-0.23591764888572375,-0.38774541956073294,-0.5299411450992607,-0.7155172052822144,0.6475388370201061,-0.6992207245312605,-0.3558742516581026,-0.5814674860466074,418.4786113504239,-0.6992207245312605,0.4481269285776557,-0.6992207245312605,26,0.826328079392878,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704569,0.49064843746520986,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,-0.03759975530563515,0.34717382250467077,-0.7155172052822144,0.06930137017635243,0.31041867628385833,-0.7155172052822144
V9_SM100S40D15W50_HM110S20D25_R80,100,40,-0.15,0.5,110,20,-0.25,80,0.2773326107847045,-0.732260235018271,0.37873504189092644,785.904980424569,1346,-0.23591764888572375,-0.38774541956073294,-0.5513145102316519,-0.732260235018271,0.6475388370201063,-0.6992207245312605,-0.35587425165810216,-0.5814674860466069,419.94695100444994,-0.6992207245312605,0.4484372162856851,-0.6992207245312605,27,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.404488081259306,0.5276111690595947,2023-02-03,2023-02-28,1.0,1.0,0,-0.04739805131477409,0.32766512181351404,-0.732260235018271,0.06615048094807907,0.2957923493022425,-0.732260235018271
V9_SM110S40D15W50_HM120S20D25_R80,110,40,-0.15,0.5,120,20,-0.25,80,0.2777097420387524,-0.7452385633969283,0.37264542614770585,792.2494607785168,1346,-0.24995614203275152,-0.39899437946564187,-0.5435457095547036,-0.7452385633969283,0.6475388370201061,-0.6992207245312605,-0.35587425165810294,-0.5814674860466076,423.9301241665001,-0.6992207245312605,0.4492738472145872,-0.6992207245312605,31,0.8250145942790427,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.465089981287499,0.5335274073490235,2023-02-03,2023-02-28,1.0,1.0,0,-0.0473980513147742,0.32766512181351337,-0.7452385633969283,0.06371432615743858,0.29824103761690157,-0.7452385633969283
