strategy,soft_ma,soft_slope,soft_dd,soft_w,hard_ma,hard_slope,hard_dd,recover_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V9_SM80S20D10W25_HM120S40D25_R80,80,20,-0.1,0.25,120,40,-0.25,80,0.20904250263000468,-0.7129319848093836,0.2932152113863938,175.96900285341388,1345,-0.3286640302270236,-0.3992197565733422,-0.5256860767068147,-0.7129319848093836,-0.0144026347356504,-0.6992207245312605,-0.16086261595929574,-0.4547551005391395,118.98991775284871,-0.6992207245312605,0.3411548890533129,-0.6992207245312605,48,0.8261821366024519,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.77342848038543,0.2707549393833373,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W25_HM120S40D30_R80,80,20,-0.1,0.25,120,40,-0.3,80,0.20087723585653205,-0.7129319848093834,0.2817621317834977,146.31193928935852,1345,-0.41862802860828907,-0.4797287644035194,-0.5256860767068148,-0.7129319848093834,-0.01440263473565051,-0.6992207245312605,-0.194320172169553,-0.4764947610750867,114.2057554759296,-0.6992207245312605,0.33781326555565694,-0.6992207245312605,48,0.8315820198482194,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7734284803854328,0.2707549393833375,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W25_HM150S20D22_R80,80,20,-0.1,0.25,150,20,-0.22,80,0.210234121293424,-0.6992207245312605,0.3006691791556372,180.75433115008462,1345,-0.4014826001908791,-0.4432572980199344,-0.2489688151176047,-0.5277860783311552,-0.11596376248285467,-0.6992207245312605,-0.13411071588114987,-0.43737256301202077,92.4486647746356,-0.6992207245312605,0.3207543986614134,-0.6992207245312605,69,0.7810858143607706,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.773428480385437,0.27075493938333794,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W25_HM150S20D25_R80,80,20,-0.1,0.25,150,20,-0.25,80,0.20348803575019359,-0.6992207245312605,0.29102117344506157,155.22742897989764,1345,-0.4014826001908791,-0.4432572980199344,-0.4976966586050082,-0.6809539456242933,-0.01440263473565051,-0.6992207245312605,-0.16086261595929485,-0.4547551005391387,118.98991775284878,-0.6992207245312605,0.3411548890533129,-0.6992207245312605,67,0.8152364273204904,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7734284803854368,0.2707549393833379,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W25_HM150S20D30_R80,80,20,-0.1,0.25,150,20,-0.3,80,0.19405521409752335,-0.6992207245312605,0.27753069565781674,125.28256805001051,1345,-0.4816883701957184,-0.5178649487267093,-0.5124213773808481,-0.6933480835011299,-0.0144026347356504,-0.6992207245312605,-0.194320172169551,-0.4764947610750855,114.20575547592992,-0.6992207245312605,0.33781326555565716,-0.6992207245312605,67,0.8213660245183888,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7734284803854337,0.2707549393833376,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W25_HM150S40D22_R80,80,20,-0.1,0.25,150,40,-0.22,80,0.22104967838974354,-0.6992207245312605,0.3161371947862809,230.31896035881093,1345,-0.420969623803363,-0.46138418653315694,-0.25342501919298244,-0.5294520129247007,-0.014402634735650621,-0.6992207245312605,-0.13411071588114942,-0.43737256301202043,122.81522496851836,-0.6992207245312605,0.3437379796178648,-0.6992207245312605,65,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7734284803854328,0.2707549393833375,2023-02-03,2023-02-28,1.0,1.0,0
V9_SM80S20D10W25_HM150S40D25_R80,80,20,-0.1,0.25,150,40,-0.25,80,0.20050417276561028,-0.6992207245312605,0.2867537613391295,145.0789791571177,1345,-0.45032265439179087,-0.4886884646816565,-0.48882331643060906,-0.6804434422403336,-0.014402634735650177,-0.6992207245312605,-0.16086261595929452,-0.4547551005391385,118.98991775284902,-0.6992207245312605,0.34115488905331315,-0.6992207245312605,67,0.815820198482195,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7734284803854328,0.2707549393833375,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V9_SM80S20D10W25_HM150S40D30_R80,80,20,-0.1,0.25,150,40,-0.3,80,0.19405521409752335,-0.6992207245312605,0.27753069565781674,125.28256805001051,1345,-0.4816883701957184,-0.5178649487267093,-0.5124213773808481,-0.6933480835011299,-0.0144026347356504,-0.6992207245312605,-0.194320172169551,-0.4764947610750855,114.20575547592992,-0.6992207245312605,0.33781326555565716,-0.6992207245312605,67,0.8213660245183888,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7734284803854337,0.2707549393833376,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W35_HM110S20D22_R80,80,20,-0.1,0.35,110,20,-0.22,80,0.19446745617878936,-0.6992207245312605,0.2781202692599755,126.4659943831231,1270,-0.2929719350120896,-0.38275868274654934,-0.3809130629155003,-0.6469822802079399,-0.1364649605066257,-0.6992207245312605,-0.16794035299113896,-0.45935398993404986,57.31724095090049,-0.6992207245312605,0.28311798930022114,-0.6992207245312605,50,0.7597781669585523,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.2360039245895735,0.12066443034193881,2023-02-03,2023-02-28,0.0,1.0000000000000002,0
V9_SM80S20D10W35_HM110S20D25_R80,80,20,-0.1,0.35,110,20,-0.25,80,0.2304778572773547,-0.6992207245312605,0.32962103266012477,283.99653963858907,1270,-0.3054078970546059,-0.38794440229937577,-0.4690585162990032,-0.6800682742563724,0.07385622816511694,-0.6992207245312605,-0.20539301310054148,-0.4836895424720148,154.43472429038997,-0.6992207245312605,0.3626073845208777,-0.6992207245312605,46,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.212839821799881,0.3136523106155266,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
