strategy,soft_ma,soft_slope,soft_dd,soft_w,hard_ma,hard_slope,hard_dd,recover_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,score
V9_SM80S40D15W50_HM110S40D30_R80,80,40,-0.15,0.5,110,40,-0.3,80,0.2674976145674348,-0.7155172052822144,0.3738521066896335,636.7083506092872,1346,-0.338310350146829,-0.469792073640936,-0.5299411450992606,-0.7155172052822144,0.6475388370201063,-0.6992207245312605,-0.42278936407861734,-0.6249468071185021,374.9010047902587,-0.6992207245312605,0.4384206038344629,-0.6992207245312605,26,0.8317279626386457,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704564,0.4906484374652094,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8855630607578867
V9_SM110S20D10W50_HM150S40D22_R80,110,20,-0.1,0.5,150,40,-0.22,80,0.26792488951980564,-0.6992207245312605,0.3831764135701435,642.5802288379961,1269,-0.420969623803363,-0.46138418653315694,-0.2799478231573058,-0.5479484735668857,0.271850811650608,-0.6992207245312605,-0.2236438971628697,-0.4955483889909458,332.50608472565574,-0.6992207245312605,0.42790550239269676,-0.6992207245312605,59,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.568903092946347,0.44603749068269255,2023-02-03,2023-02-28,1.0,1.0,0,0.8836557176922752
V9_SM80S40D15W50_HM150S40D25_R80,80,40,-0.15,0.5,150,40,-0.25,80,0.25882077814075766,-0.6992207245312606,0.3701560452377386,528.0641949796235,1346,-0.45032265439179087,-0.4886884646816565,-0.46191851480712565,-0.671277882564054,0.6475388370201058,-0.6992207245312606,-0.3558742516581018,-0.5814674860466067,418.4786113504242,-0.6992207245312606,0.4481269285776559,-0.6992207245312606,49,0.815820198482195,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.02586713070457,0.4906484374652099,2023-02-03,2023-02-28,1.0,1.0,0,0.8833909105743868
V9_SM80S40D15W50_HM120S40D22_R80,80,40,-0.15,0.5,120,40,-0.22,80,0.2675254998424166,-0.7289516227371767,0.3670003488542515,637.0899855607342,1346,-0.23652737296332105,-0.39390228226160884,-0.5521548468699504,-0.7289516227371767,0.6475388370201065,-0.6992207245312605,-0.30237045150181197,-0.5467024109923709,341.1518951114798,-0.6992207245312605,0.43014797150397865,-0.6992207245312605,32,0.8072095738470519,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704571,0.49064843746521003,2023-02-03,2023-02-28,1.0,1.0,0,0.8821567791338967
V9_SM100S20D15W50_HM110S20D25_R80,100,20,-0.15,0.5,110,20,-0.25,80,0.26537835428664236,-0.6992207245312605,0.3795344516776804,608.3398783348863,1346,-0.23591764888572375,-0.38774541956073294,-0.4930327997026198,-0.6952134206859235,0.299876920738831,-0.6992207245312605,-0.3558742516581018,-0.5814674860466067,287.3804242484797,-0.6992207245312605,0.4152340782910846,-0.6992207245312605,30,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704568,0.49064843746520975,2023-02-03,2023-02-28,1.0,1.0,0,0.8794200010363876
V9_SM80S40D15W35_HM110S40D22_R80,80,40,-0.15,0.35,110,40,-0.22,80,0.26875508434026285,-0.6992207245312605,0.38436372794932433,654.1387746193175,1358,-0.22223753493752263,-0.3825580141011322,-0.44522901122470093,-0.6642488495435891,0.6475388370201061,-0.6992207245312605,-0.27673168869053666,-0.5300431548119114,309.69274883223056,-0.6992207245312605,0.421715502544586,-0.6992207245312605,30,0.8073555166374781,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.4711103809268735,0.43649051299705016,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8787856497042543
V9_SM100S20D15W50_HM120S20D25_R80,100,20,-0.15,0.5,120,20,-0.25,80,0.2659757167916559,-0.6992207245312605,0.38038877776393015,616.2105215423971,1346,-0.24995614203275152,-0.39899437946564187,-0.4768620881076724,-0.6952134206859235,0.2998769207388312,-0.6992207245312605,-0.3558742516581024,-0.5814674860466073,287.3804242484794,-0.6992207245312605,0.4152340782910846,-0.6992207245312605,32,0.8250145942790427,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704564,0.4906484374652094,2023-02-03,2023-02-28,1.0,1.0,0,0.8787830878189422
V9_SM100S20D15W50_HM150S40D22_R80,100,20,-0.15,0.5,150,40,-0.22,80,0.2617350939222689,-0.6992207245312605,0.37432399346819895,562.3931098459071,1346,-0.420969623803363,-0.46138418653315694,-0.2693697529678457,-0.5412570218571242,0.29987692073883077,-0.6992207245312605,-0.3023704515018135,-0.5467024109923719,311.33451803792155,-0.6992207245312605,0.4221749889098547,-0.6992207245312605,51,0.7942206654991243,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.025867130704565,0.49064843746520953,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8785801772834985
V9_SM110S40D10W50_HM120S20D25_R80,110,40,-0.1,0.5,120,20,-0.25,80,0.2674874022864373,-0.7452385633969281,0.358928557141733,636.5686415015359,1269,-0.24995614203275152,-0.39899437946564187,-0.5435457095547032,-0.7452385633969281,0.6475388370201061,-0.6992207245312606,-0.35587425165810227,-0.5814674860466071,312.14086733970413,-0.6992207245312606,0.4223998344610922,-0.6992207245312606,41,0.8250145942790427,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.465089981287505,0.5335274073490242,2023-02-03,2023-02-28,1.0,1.0,0,0.8783028083651695
V9_SM110S20D12W50_HM110S20D25_R80,110,20,-0.12,0.5,110,20,-0.25,80,0.26090985226171837,-0.737596500586307,0.3537297859389573,552.4599904954641,1354,-0.23591764888572375,-0.38774541956073294,-0.5180327538577862,-0.737596500586307,0.271850811650608,-0.6992207245312605,-0.27714769731916045,-0.5303134640451823,291.88835694911205,-0.6992207245312605,0.41658064428212715,-0.6992207245312605,38,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.851656197698355,0.5712657926119533,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.8758728819967273
