strategy,trend_ma,slope_lb,yellow_buy_cap,red_dd,red_target,rec_fast_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,score
V3_M180_S20_YBC70_RD20_RT0_RF60,180,20,0.7,-0.2,0.0,60,0.07715414273016341,-0.2945543755622606,0.2619351438351157,7.570808261812564,3092,0.1645692747985592,-0.21244813891606895,0.11133169782999297,-0.2945543755622606,0.0018368852408514602,0.0,0.0010503361493456875,-0.1734713352476075,2.658060452722681,-0.1734713352476075,0.08276620387091604,-0.1734713352476075,0.15221833041447752,0.06452014433497381,253,0.15167445025520476
V3_M180_S20_YBC80_RD20_RT0_RF60,180,20,0.8,-0.2,0.0,60,0.07715414273016341,-0.2945543755622606,0.2619351438351157,7.570808261812564,3092,0.1645692747985592,-0.21244813891606895,0.11133169782999297,-0.2945543755622606,0.0018368852408514602,0.0,0.0010503361493456875,-0.1734713352476075,2.658060452722681,-0.1734713352476075,0.08276620387091604,-0.1734713352476075,0.15221833041447752,0.06452014433497381,253,0.15167445025520476
V3_M180_S20_YBC50_RD20_RT0_RF60,180,20,0.5,-0.2,0.0,60,0.07715414273016341,-0.2945543755622606,0.2619351438351157,7.570808261812564,3092,0.1645692747985592,-0.21244813891606895,0.11133169782999297,-0.2945543755622606,0.0018368852408514602,0.0,0.0010503361493456875,-0.1734713352476075,2.658060452722681,-0.1734713352476075,0.08276620387091604,-0.1734713352476075,0.15221833041447752,0.06452014433497381,253,0.15167445025520476
V3_M180_S20_YBC60_RD20_RT0_RF60,180,20,0.6,-0.2,0.0,60,0.07715414273016341,-0.2945543755622606,0.2619351438351157,7.570808261812564,3092,0.1645692747985592,-0.21244813891606895,0.11133169782999297,-0.2945543755622606,0.0018368852408514602,0.0,0.0010503361493456875,-0.1734713352476075,2.658060452722681,-0.1734713352476075,0.08276620387091604,-0.1734713352476075,0.15221833041447752,0.06452014433497381,253,0.15167445025520476
V3_M180_S20_YBC60_RD20_RT0_RF40,180,20,0.6,-0.2,0.0,40,0.07719348394891878,-0.28445385651548394,0.27137436241690344,7.578343114511147,3092,0.11196147927000033,-0.21244813891606884,0.18020979691866335,-0.28445385651548394,0.0018368852408514602,0.0,-0.02172772045753224,-0.23711188787828352,2.611128698437048,-0.23711188787828352,0.08190929756476639,-0.23711188787828352,0.150758902510216,0.06380607218689735,290,0.14143009961050254
V3_M180_S20_YBC50_RD20_RT0_RF40,180,20,0.5,-0.2,0.0,40,0.07719348394891878,-0.28445385651548394,0.27137436241690344,7.578343114511147,3092,0.11196147927000033,-0.21244813891606884,0.18020979691866335,-0.28445385651548394,0.0018368852408514602,0.0,-0.02172772045753224,-0.23711188787828352,2.611128698437048,-0.23711188787828352,0.08190929756476639,-0.23711188787828352,0.150758902510216,0.06380607218689735,290,0.14143009961050254
V3_M180_S20_YBC80_RD20_RT0_RF40,180,20,0.8,-0.2,0.0,40,0.07719348394891878,-0.28445385651548394,0.27137436241690344,7.578343114511147,3092,0.11196147927000033,-0.21244813891606884,0.18020979691866335,-0.28445385651548394,0.0018368852408514602,0.0,-0.02172772045753224,-0.23711188787828352,2.611128698437048,-0.23711188787828352,0.08190929756476639,-0.23711188787828352,0.150758902510216,0.06380607218689735,290,0.14143009961050254
V3_M180_S20_YBC70_RD20_RT0_RF40,180,20,0.7,-0.2,0.0,40,0.07719348394891878,-0.28445385651548394,0.27137436241690344,7.578343114511147,3092,0.11196147927000033,-0.21244813891606884,0.18020979691866335,-0.28445385651548394,0.0018368852408514602,0.0,-0.02172772045753224,-0.23711188787828352,2.611128698437048,-0.23711188787828352,0.08190929756476639,-0.23711188787828352,0.150758902510216,0.06380607218689735,290,0.14143009961050254
V3_M180_S20_YBC80_RD25_RT0_RF60,180,20,0.8,-0.25,0.0,60,0.039115262694678465,-0.21244813891606895,0.1841167585380994,2.843575929639011,3092,0.1645692747985592,-0.21244813891606895,0.2963237387217732,-0.1055557086949469,0.001836885240850794,0.0,-0.07939658890667167,-0.19090844333606938,0.1778871606288539,-0.19090844333606938,0.010088884289717104,-0.19090844333606938,0.05852305896088733,0.022112066774494874,221,-0.07372366391989976
V3_M180_S20_YBC60_RD25_RT0_RF60,180,20,0.6,-0.25,0.0,60,0.039115262694678465,-0.21244813891606895,0.1841167585380994,2.843575929639011,3092,0.1645692747985592,-0.21244813891606895,0.2963237387217732,-0.1055557086949469,0.001836885240850794,0.0,-0.07939658890667167,-0.19090844333606938,0.1778871606288539,-0.19090844333606938,0.010088884289717104,-0.19090844333606938,0.05852305896088733,0.022112066774494874,221,-0.07372366391989976
V3_M180_S20_YBC70_RD25_RT0_RF60,180,20,0.7,-0.25,0.0,60,0.039115262694678465,-0.21244813891606895,0.1841167585380994,2.843575929639011,3092,0.1645692747985592,-0.21244813891606895,0.2963237387217732,-0.1055557086949469,0.001836885240850794,0.0,-0.07939658890667167,-0.19090844333606938,0.1778871606288539,-0.19090844333606938,0.010088884289717104,-0.19090844333606938,0.05852305896088733,0.022112066774494874,221,-0.07372366391989976
V3_M180_S20_YBC50_RD25_RT0_RF60,180,20,0.5,-0.25,0.0,60,0.039115262694678465,-0.21244813891606895,0.1841167585380994,2.843575929639011,3092,0.1645692747985592,-0.21244813891606895,0.2963237387217732,-0.1055557086949469,0.001836885240850794,0.0,-0.07939658890667167,-0.19090844333606938,0.1778871606288539,-0.19090844333606938,0.010088884289717104,-0.19090844333606938,0.05852305896088733,0.022112066774494874,221,-0.07372366391989976
V3_M180_S40_YBC70_RD25_RT0_RF60,180,40,0.7,-0.25,0.0,60,0.03687536608758868,-0.21244813891606928,0.173573495516272,2.6812634604014556,3092,0.09809518749865176,-0.21244813891606928,0.2963237387217712,-0.10555570869494668,0.0018368852408512382,0.0,-0.07939658890667156,-0.19090844333606938,0.1778871606288579,-0.19090844333606938,0.010088884289717326,-0.19090844333606938,0.05837711617046118,0.022004354705156576,223,-0.08268325034825862
V3_M180_S40_YBC60_RD25_RT0_RF60,180,40,0.6,-0.25,0.0,60,0.03687536608758868,-0.21244813891606928,0.173573495516272,2.6812634604014556,3092,0.09809518749865176,-0.21244813891606928,0.2963237387217712,-0.10555570869494668,0.0018368852408512382,0.0,-0.07939658890667156,-0.19090844333606938,0.1778871606288579,-0.19090844333606938,0.010088884289717326,-0.19090844333606938,0.05837711617046118,0.022004354705156576,223,-0.08268325034825862
V3_M180_S40_YBC50_RD25_RT0_RF60,180,40,0.5,-0.25,0.0,60,0.03687536608758868,-0.21244813891606928,0.173573495516272,2.6812634604014556,3092,0.09809518749865176,-0.21244813891606928,0.2963237387217712,-0.10555570869494668,0.0018368852408512382,0.0,-0.07939658890667156,-0.19090844333606938,0.1778871606288579,-0.19090844333606938,0.010088884289717326,-0.19090844333606938,0.05837711617046118,0.022004354705156576,223,-0.08268325034825862
V3_M180_S40_YBC80_RD25_RT0_RF60,180,40,0.8,-0.25,0.0,60,0.03687536608758868,-0.21244813891606928,0.173573495516272,2.6812634604014556,3092,0.09809518749865176,-0.21244813891606928,0.2963237387217712,-0.10555570869494668,0.0018368852408512382,0.0,-0.07939658890667156,-0.19090844333606938,0.1778871606288579,-0.19090844333606938,0.010088884289717326,-0.19090844333606938,0.05837711617046118,0.022004354705156576,223,-0.08268325034825862
