strategy,trend_ma,slope_lb,yellow_buy_cap,red_dd,red_target,rec_fast_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Roll3y_CAGR_P10,Roll3y_CAGR_Median,Roll3y_WorstMDD,Roll5y_CAGR_P10,Roll5y_CAGR_Median,Roll5y_WorstMDD
V3_M180_S20_YBC70_RD20_RT0_RF40,180,20,0.7,-0.2,0.0,40,0.07719348394891878,-0.28445385651548394,0.27137436241690344,7.578343114511147,3092,0.11196147927000033,-0.21244813891606884,0.18020979691866335,-0.28445385651548394,0.0018368852408514602,0.0,-0.02172772045753224,-0.23711188787828352,2.611128698437048,-0.23711188787828352,0.08190929756476639,-0.23711188787828352,0.150758902510216,0.06380607218689735,290,0.0005190846511542891,0.054099417528890026,-0.28445385651548394,0.0009412381425682793,0.06233939704190683,-0.28445385651548394
V3_M180_S20_YBC80_RD20_RT0_RF40,180,20,0.8,-0.2,0.0,40,0.07719348394891878,-0.28445385651548394,0.27137436241690344,7.578343114511147,3092,0.11196147927000033,-0.21244813891606884,0.18020979691866335,-0.28445385651548394,0.0018368852408514602,0.0,-0.02172772045753224,-0.23711188787828352,2.611128698437048,-0.23711188787828352,0.08190929756476639,-0.23711188787828352,0.150758902510216,0.06380607218689735,290,0.0005190846511542891,0.054099417528890026,-0.28445385651548394,0.0009412381425682793,0.06233939704190683,-0.28445385651548394
V3_M180_S20_YBC50_RD20_RT0_RF40,180,20,0.5,-0.2,0.0,40,0.07719348394891878,-0.28445385651548394,0.27137436241690344,7.578343114511147,3092,0.11196147927000033,-0.21244813891606884,0.18020979691866335,-0.28445385651548394,0.0018368852408514602,0.0,-0.02172772045753224,-0.23711188787828352,2.611128698437048,-0.23711188787828352,0.08190929756476639,-0.23711188787828352,0.150758902510216,0.06380607218689735,290,0.0005190846511542891,0.054099417528890026,-0.28445385651548394,0.0009412381425682793,0.06233939704190683,-0.28445385651548394
V3_M180_S20_YBC60_RD20_RT0_RF40,180,20,0.6,-0.2,0.0,40,0.07719348394891878,-0.28445385651548394,0.27137436241690344,7.578343114511147,3092,0.11196147927000033,-0.21244813891606884,0.18020979691866335,-0.28445385651548394,0.0018368852408514602,0.0,-0.02172772045753224,-0.23711188787828352,2.611128698437048,-0.23711188787828352,0.08190929756476639,-0.23711188787828352,0.150758902510216,0.06380607218689735,290,0.0005190846511542891,0.054099417528890026,-0.28445385651548394,0.0009412381425682793,0.06233939704190683,-0.28445385651548394
V3_M180_S20_YBC60_RD20_RT0_RF60,180,20,0.6,-0.2,0.0,60,0.07715414273016341,-0.2945543755622606,0.2619351438351157,7.570808261812564,3092,0.1645692747985592,-0.21244813891606895,0.11133169782999297,-0.2945543755622606,0.0018368852408514602,0.0,0.0010503361493456875,-0.1734713352476075,2.658060452722681,-0.1734713352476075,0.08276620387091604,-0.1734713352476075,0.15221833041447752,0.06452014433497381,253,0.0005007460035005185,0.056840882502612766,-0.2945543755622606,0.0006476389012865624,0.06204941194998259,-0.2945543755622606
V3_M180_S20_YBC70_RD20_RT0_RF60,180,20,0.7,-0.2,0.0,60,0.07715414273016341,-0.2945543755622606,0.2619351438351157,7.570808261812564,3092,0.1645692747985592,-0.21244813891606895,0.11133169782999297,-0.2945543755622606,0.0018368852408514602,0.0,0.0010503361493456875,-0.1734713352476075,2.658060452722681,-0.1734713352476075,0.08276620387091604,-0.1734713352476075,0.15221833041447752,0.06452014433497381,253,0.0005007460035005185,0.056840882502612766,-0.2945543755622606,0.0006476389012865624,0.06204941194998259,-0.2945543755622606
V3_M180_S20_YBC80_RD20_RT0_RF60,180,20,0.8,-0.2,0.0,60,0.07715414273016341,-0.2945543755622606,0.2619351438351157,7.570808261812564,3092,0.1645692747985592,-0.21244813891606895,0.11133169782999297,-0.2945543755622606,0.0018368852408514602,0.0,0.0010503361493456875,-0.1734713352476075,2.658060452722681,-0.1734713352476075,0.08276620387091604,-0.1734713352476075,0.15221833041447752,0.06452014433497381,253,0.0005007460035005185,0.056840882502612766,-0.2945543755622606,0.0006476389012865624,0.06204941194998259,-0.2945543755622606
V3_M180_S20_YBC50_RD20_RT0_RF60,180,20,0.5,-0.2,0.0,60,0.07715414273016341,-0.2945543755622606,0.2619351438351157,7.570808261812564,3092,0.1645692747985592,-0.21244813891606895,0.11133169782999297,-0.2945543755622606,0.0018368852408514602,0.0,0.0010503361493456875,-0.1734713352476075,2.658060452722681,-0.1734713352476075,0.08276620387091604,-0.1734713352476075,0.15221833041447752,0.06452014433497381,253,0.0005007460035005185,0.056840882502612766,-0.2945543755622606,0.0006476389012865624,0.06204941194998259,-0.2945543755622606
V3_M180_S20_YBC50_RD20_RT15_RF40,180,20,0.5,-0.2,0.15,40,0.04162041565913621,-0.5512144683566038,0.07550675471785732,3.0363222924933493,6657,-0.43696516098110116,-0.49026380472660125,-0.0031088266705364687,-0.42109285931019813,0.0018368852408523484,0.0,-0.08674006695730374,-0.3047871504517362,2.3711150514912336,-0.3047871504517362,0.077356574223999,-0.3047871504517362,0.2577349678925861,0.07257885126624211,322,-0.08629528754339179,0.024312524530349267,-0.49026380472660125,-0.060767049380059474,0.0292908486221235,-0.49026380472660125
V3_M180_S20_YBC60_RD20_RT15_RF40,180,20,0.6,-0.2,0.15,40,0.04162041565913621,-0.5512144683566038,0.07550675471785732,3.0363222924933493,6657,-0.43696516098110116,-0.49026380472660125,-0.0031088266705364687,-0.42109285931019813,0.0018368852408523484,0.0,-0.08674006695730374,-0.3047871504517362,2.3711150514912336,-0.3047871504517362,0.077356574223999,-0.3047871504517362,0.2577349678925861,0.07257885126624211,322,-0.08629528754339179,0.024312524530349267,-0.49026380472660125,-0.060767049380059474,0.0292908486221235,-0.49026380472660125
