date,qqq,tqqq,equity,weight,state
1999-03-10,43.0743408203125,31.424291,1.0,0.0,GREEN
1999-03-11,43.28524398803711,31.87252,1.0001773809440553,0.0,GREEN
1999-03-12,42.23078155517578,29.529681,1.00035519025698,0.0,GREEN
1999-03-15,43.443397521972656,32.060926,1.0005326342050185,0.0,GREEN
1999-03-16,43.81245040893555,32.864503,1.0007097126013171,0.0,GREEN
1999-03-17,43.496131896972656,32.138916,1.0008856310082632,0.0,GREEN
1999-03-18,44.33968353271485,33.995416,1.0010603888206397,0.0,GREEN
1999-03-19,43.20612335205078,31.373922,1.0012339853993932,0.0,GREEN
1999-03-22,42.67892837524414,30.212352,1.0014080094061644,0.0,GREEN
1999-03-23,41.17631912231445,27.008667,1.0015824610342432,0.0,GREEN
1999-03-24,42.57347106933594,29.746692,1.0016814138684793,0.15001125084381328,GREEN
1999-03-25,44.12880325317383,32.994461,1.0182352924968074,0.16368454044826344,GREEN
1999-03-26,43.654293060302734,31.916321,1.0129374865240686,0.15916403915124525,GREEN
1999-03-29,45.235965728759766,35.37214,1.0305427056882344,0.17338443706668039,GREEN
1999-03-30,44.91963195800781,34.615346,1.0268682098458743,0.17028199870653066,GREEN
1999-03-31,44.26061630249024,33.07744,1.0192473271420126,0.1639332618276145,GREEN
1999-04-01,45.18323516845703,35.132366,1.0297750893130337,0.17233749967255124,GREEN
1999-04-05,46.81765365600586,38.930507,1.0491065850011922,0.18744990204563208,GREEN
1999-04-06,46.9099006652832,39.144668,1.0503335251228627,0.18826091164434827,GREEN
1999-04-07,46.42221832275391,37.907791,1.0442306657738933,0.18337782009987205,GREEN
1999-04-08,46.79127883911133,38.796423,1.048864363360953,0.18684742930158035,GREEN
1999-04-09,47.08125686645508,39.501907,1.0525725868694602,0.18957487498373526,GREEN
1999-04-12,46.76490783691406,38.689668,1.0486138172492987,0.18637780736727988,GREEN
1999-04-13,46.132232666015625,37.103898,1.0407462761584765,0.18008993566276751,GREEN
1999-04-14,44.550575256347656,33.272716,1.02153451308899,0.16453184970240295,GREEN
1999-04-15,45.15687561035156,34.617792,1.0284699656619243,0.17002881253637497,GREEN
1999-04-16,43.83880615234375,31.572451,1.01322855148338,0.1574039584330753,GREEN
1999-04-19,41.78263092041016,27.117173,0.9908659721095043,0.13824335613700464,GREEN
1999-04-20,42.73165130615234,28.953903,1.0002867474297668,0.14621683241863123,GREEN
1999-04-21,44.84055709838867,33.228975,1.0220260283621323,0.16423652969284155,GREEN
1999-04-22,46.05315017700195,35.911173,1.035718695107055,0.17514693703188688,GREEN
1999-04-23,46.65948867797852,37.314822,1.0429538958831766,0.18073032714087883,GREEN
1999-04-26,47.73371505737305,39.876609,1.0560407363299036,0.19074462986513852,GREEN
1999-04-27,47.002174377441406,38.026629,1.0468432039432085,0.18349361669730568,GREEN
1999-04-28,45.394134521484375,34.107865,1.0271960474407897,0.16773201601795693,GREEN
1999-04-29,45.02505493164063,33.261692,1.0230702496916027,0.1642304387253071,GREEN
1999-04-30,45.3150520324707,33.890383,1.0263946574352545,0.16679263327289018,GREEN
1999-05-03,45.07779312133789,33.343707,1.0237834977938376,0.16452069188474086,GREEN
1999-05-04,44.36604309082031,31.750081,1.0158847829626076,0.15787565075699894,GREEN
1999-05-05,45.710479736328125,34.622982,1.0305494842958234,0.16971115565412057,GREEN
1999-05-06,44.04970932006836,30.834461,1.0115641328453029,0.15397765817260953,GREEN
1999-05-07,44.682373046875,32.14996,1.0183614338330613,0.15947523992475535,GREEN
1999-05-10,45.13051986694336,33.103677,1.023330903928714,0.16340860302980043,GREEN
1999-05-11,45.84227752685547,34.655852,1.0313234726583136,0.16974478837045492,GREEN
1999-05-12,46.79127883911133,36.793429,1.0422735282851145,0.17832134357256868,GREEN
1999-05-13,45.921348571777344,34.72572,1.0319805421296486,0.1699787070676618,GREEN
