budget_pct,ratchet,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,Max_TQQQ_Weight,Avg_TQQQ_Weight,RatchetTrades,TotalTradeEvents,FinalMultiple,ActualEra_CAGR,ActualEra_MDD,MDD_floor
0.3,NONE,0.17753029095619377,-0.5340608017382509,0.3324158792002176,89.15487675062045,1176,-0.00015590641654217308,-0.11252059139867643,-0.13322901803370768,-0.3425789669954429,0.35943308484869885,-0.053223142925415745,-0.22937278807988037,-0.3552275908641276,38.68579829343109,-0.5340608017382509,0.9757002500278602,0.46596135246863174,0,15,89.15487675062045,0.24908066567750597,-0.5340608017382509,-0.55
0.3,MILD,0.1702920119113014,-0.4752831259966779,0.35829593477402705,75.25999735105643,1096,-0.00015590641654217308,-0.11252059139867643,-0.07771248884064874,-0.28756499872484775,0.3594330848486982,-0.053223142925415634,-0.1819363888918335,-0.30776754410379104,30.484170169510968,-0.4752831259966779,0.9028298425873746,0.4225009602884384,6,21,75.25999735105643,0.23173030275881934,-0.4752831259966779,-0.5
0.2,MILD,0.14206383383046384,-0.4375087828716612,0.3247108158560941,38.47646415947581,1176,0.034227603743959945,-0.07232414193789882,-0.10177867087710402,-0.2666156068106539,0.24023435164608298,-0.036550921677577786,-0.18015670233440195,-0.2860662892031729,18.919036114662802,-0.4375087828716612,0.9014911000070377,0.35618891515380535,4,19,38.47646415947581,0.19812620109456525,-0.4375087828716612,-0.45
0.15,BAL,0.11664957498769613,-0.36579504127514195,0.3188932648760408,20.732096020020503,1931,0.05167500969666805,-0.05400648370124772,-0.0802118658775367,-0.21772385506682979,0.1806349850447746,-0.027952905957016494,-0.09208146443534337,-0.18141408047991958,10.6408524306307,-0.36579504127514195,0.800176399647754,0.2764981289863065,5,20,20.732096020020503,0.15986497882786765,-0.36579504127514195,-0.4
0.1,DEF,0.09134500279910163,-0.31320200838947343,0.29164884117062284,11.043525359217508,1968,0.06929386984979513,-0.0355426042109005,-0.05335776779135537,-0.15847809396475376,0.12103561844346666,-0.01919641629998947,-0.05062478062697895,-0.12342720677217933,5.754384868167269,-0.31320200838947343,0.7003478571506895,0.20592434872009543,5,20,11.043525359217508,0.12233903583014483,-0.31320200838947343,-0.35
