date,reason,target,fee
2000-08-28,REVERSAL_ENTRY,0.35,4.719824911559912e-05
2000-09-13,BULL_EXIT,0.0,3.939692361520711e-05
2001-12-24,REVERSAL_ENTRY,0.35,4.906737411063481e-05
2002-02-05,BULL_EXIT,0.0,3.707256013375817e-05
2002-11-15,REVERSAL_ENTRY,0.35,4.872513366291336e-05
2002-12-12,BULL_FULL,1.0,9.049726577767535e-05
2008-02-13,BULL_EXIT,0.0,0.0002937760699304119
2009-04-01,REVERSAL_ENTRY,0.35,6.888121925008244e-05
2009-04-22,BULL_FULL,1.0,0.00012783568017364213
2011-01-13,RATCHET_60_TO_50,0.5,0.00015507074805740705
2014-01-16,RATCHET_75_TO_65,0.65,0.0003068262452466364
2018-01-08,RATCHET_90_TO_80,0.8,0.0011090869180866304
2018-12-21,BULL_EXIT,0.0,0.005452770569533691
2020-05-11,REVERSAL_ENTRY,0.35,0.000686997998812003
2020-05-12,BULL_FULL,1.0,0.0012748778030887298
2021-11-05,RATCHET_60_TO_50,0.5,0.0015979626921234723
2022-03-08,BULL_EXIT,0.0,0.00370118192870653
2023-02-03,REVERSAL_ENTRY,0.35,0.0010026839185281165
2023-02-28,BULL_FULL,1.0,0.0018661813522280611
2025-10-28,RATCHET_60_TO_50,0.5,0.0027519570979485106
