budget_pct,ratchet,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,Max_TQQQ_Weight,Avg_TQQQ_Weight,RatchetTrades,TotalTradeEvents,FinalMultiple,ActualEra_CAGR,ActualEra_MDD
0.1,NONE,0.10461474776246926,-0.49893249141802254,0.20967715986012922,15.39329530461067,2806,0.06929386984979513,-0.0355426042109005,-0.05335776779135537,-0.15847809396475376,0.12103561844346711,-0.019196416299989583,-0.10244232685639865,-0.18229750895767627,8.414769061032839,-0.49893249141802254,0.912357241850067,0.27501073625564887,0,15,15.39329530461067,0.14508614590803148,-0.49893249141802254
0.1,MILD,0.10056648835216309,-0.4420176797792461,0.22751689118495969,13.91608484778089,2612,0.06929386984979513,-0.0355426042109005,-0.05335776779135537,-0.15847809396475376,0.12103561844346755,-0.01919641629998936,-0.10244232685639931,-0.18229750895767605,7.511285107117558,-0.4420176797792461,0.8097290383808956,0.25609049066920625,2,17,13.91608484778089,0.13812735064388426,-0.4420176797792461
0.1,BAL,0.09273441123765158,-0.4219447951579596,0.2197785404674454,11.436434574074374,2573,0.06929386984979513,-0.0355426042109005,-0.05335776779135537,-0.15847809396475376,0.12103561844346644,-0.01919641629998947,-0.10244232685639754,-0.1822975089576757,5.994694005790396,-0.4219447951579596,0.7735338191082546,0.22932194478851214,3,18,11.436434574074374,0.12471225986461265,-0.4219447951579596
0.1,DEF,0.09134500279910163,-0.31320200838947343,0.29164884117062284,11.043525359217508,1968,0.06929386984979513,-0.0355426042109005,-0.05335776779135537,-0.15847809396475376,0.12103561844346666,-0.01919641629998947,-0.05062478062697895,-0.12342720677217933,5.754384868167269,-0.31320200838947343,0.7003478571506895,0.20592434872009543,5,20,11.043525359217508,0.12233903583014483,-0.31320200838947343
0.15,NONE,0.1276383525077509,-0.5159073814584412,0.2474055559099086,27.133371615590235,2577,0.05167500969666805,-0.05400648370124772,-0.0802118658775367,-0.21772385506682979,0.18063498504477526,-0.027952905957016494,-0.1460293890486407,-0.24046627955898559,14.235100909118655,-0.5159073814584412,0.9429661891306372,0.337640992325024,0,15,27.133371615590235,0.17887625329185353,-0.5159073814584412
0.15,MILD,0.12060149449393553,-0.47581184519744346,0.2534646745582607,22.845566769094113,2295,0.05167500969666805,-0.05400648370124772,-0.0802118658775367,-0.21772385506682979,0.18063498504477438,-0.027952905957016716,-0.14602938904864193,-0.2404662795589858,11.827543881541512,-0.47581184519744346,0.8706663301815184,0.31362295280945307,2,17,22.845566769094113,0.16668789202722412,-0.47581184519744346
0.15,BAL,0.11664957498769613,-0.36579504127514195,0.3188932648760408,20.732096020020503,1931,0.05167500969666805,-0.05400648370124772,-0.0802118658775367,-0.21772385506682979,0.1806349850447746,-0.027952905957016494,-0.09208146443534337,-0.18141408047991958,10.6408524306307,-0.36579504127514195,0.800176399647754,0.2764981289863065,5,20,20.732096020020503,0.15986497882786765,-0.36579504127514195
0.15,DEF,0.10326735631408379,-0.370264127018488,0.2789018670148606,14.885607492427404,1973,0.05167500969666805,-0.05400648370124772,-0.029225096322655686,-0.1516739032280141,0.18063498504477526,-0.027952905957016716,-0.08397486187239711,-0.1724002572868335,7.086673838570199,-0.370264127018488,0.7013271014130854,0.23752237805906218,6,21,14.885607492427404,0.13461363835812867,-0.370264127018488
0.2,NONE,0.14661804040759052,-0.5248292353000329,0.2793633253371877,42.92272357302684,2141,0.034227603743959945,-0.07232414193789882,-0.10177867087710402,-0.2666156068106539,0.24023435164608253,-0.0365509216775779,-0.1801567023344013,-0.28606628920317245,21.22083810630634,-0.5248292353000329,0.9590539842934914,0.38766348925192784,0,15,42.92272357302684,0.2060687577044631,-0.5248292353000329
0.2,MILD,0.14206383383046384,-0.4375087828716612,0.3247108158560941,38.47646415947581,1176,0.034227603743959945,-0.07232414193789882,-0.10177867087710402,-0.2666156068106539,0.24023435164608298,-0.036550921677577786,-0.18015670233440195,-0.2860662892031729,18.919036114662802,-0.4375087828716612,0.9014911000070377,0.35618891515380535,4,19,38.47646415947581,0.19812620109456525,-0.4375087828716612
0.2,BAL,0.12839868768774543,-0.4033692444587602,0.3183155122796495,27.640595863667173,1176,0.034227603743959945,-0.07232414193789882,-0.05346555728781899,-0.206839529428395,0.24023435164608253,-0.036550921677577675,-0.12191940396894207,-0.22426427355464784,12.564190866807436,-0.4033692444587602,0.8013959303094694,0.3087721291307886,6,21,27.640595863667173,0.17063071070438696,-0.4033692444587602
0.2,DEF,0.1123046012536113,-0.4092507418622554,0.2744151439838086,18.625968831747045,2009,0.034227603743959945,-0.07232414193789882,-0.036425582519462485,-0.18531359088434163,0.21147107720524772,-0.036550921677577786,-0.10963140635934521,-0.2109944320708239,8.949453246595612,-0.4092507418622554,0.7506440326542752,0.27281870074695114,6,21,18.625968831747045,0.14891426797613128,-0.4092507418622554
0.25,NONE,0.16299832802652547,-0.5303299846390784,0.3073526535322261,63.38088376644566,2106,0.01695088677758827,-0.09140046528148482,-0.11917648780987455,-0.3076494895394146,0.2998337182473909,-0.0450109573704508,-0.20736882094980613,-0.3227740164490952,29.37126466683905,-0.5303299846390784,0.9689728789739029,0.42965850188013116,0,15,63.38088376644566,0.22905492054770216,-0.5303299846390784
0.25,MILD,0.15778240067264404,-0.4618289233143652,0.3416468581922102,56.016750905412366,1160,0.01695088677758827,-0.09140046528148482,-0.11917648780987455,-0.3076494895394146,0.29983371824739,-0.0450109573704508,-0.145632940015204,-0.2670432123790233,25.842471521758053,-0.4618289233143652,0.9008865273320904,0.39142729370471835,5,20,56.016750905412366,0.2199170646558144,-0.4618289233143652
0.25,BAL,0.1370351403108161,-0.435806567443794,0.31444028279470465,34.08273910142458,1162,0.01695088677758827,-0.09140046528148482,-0.07387627782799178,-0.2538947599791044,0.2941489552254568,-0.0450109573704508,-0.14564786536501206,-0.2590264287856717,15.48992022034625,-0.435806567443794,0.80037299535374,0.3392359164009978,6,21,34.08273910142458,0.1845272877943125,-0.435806567443794
0.25,DEF,0.12390461072173498,-0.44059256841044636,0.28122265241275735,24.76996401946358,1930,0.01695088677758827,-0.09140046528148482,-0.06558103428489293,-0.23303163940409766,0.2285799927822576,-0.045045824565513315,-0.06672956873639502,-0.18787107280592152,12.167402794573908,-0.44059256841044636,0.8071592922056532,0.29796282761368326,8,23,24.76996401946358,0.16853268357226114,-0.44059256841044636
0.3,NONE,0.17753029095619377,-0.5340608017382509,0.3324158792002176,89.15487675062045,1176,-0.00015590641654217308,-0.11252059139867643,-0.13322901803370768,-0.3425789669954429,0.35943308484869885,-0.053223142925415745,-0.22937278807988037,-0.3552275908641276,38.68579829343109,-0.5340608017382509,0.9757002500278602,0.46596135246863174,0,15,89.15487675062045,0.24908066567750597,-0.5340608017382509
0.3,MILD,0.1702920119113014,-0.4752831259966779,0.35829593477402705,75.25999735105643,1096,-0.00015590641654217308,-0.11252059139867643,-0.07771248884064874,-0.28756499872484775,0.3594330848486982,-0.053223142925415634,-0.1819363888918335,-0.30776754410379104,30.484170169510968,-0.4752831259966779,0.9028298425873746,0.4225009602884384,6,21,75.25999735105643,0.23173030275881934,-0.4752831259966779
0.3,BAL,0.14510469708215412,-0.4553335040262294,0.31867783898853047,41.39299046972981,1161,-0.00015590641654217308,-0.11252059139867643,-0.0759024024592494,-0.2768143531690228,0.31294917791794963,-0.053223142925415634,-0.17152261091234222,-0.2972039598086502,18.446959617640292,-0.4553335040262294,0.8337399958246705,0.35522498804357383,7,22,41.39299046972981,0.19639113960875454,-0.4553335040262294
0.3,DEF,0.12802221618337528,-0.45323684316166646,0.28246206837538723,27.388317942958103,1936,0.012274093276642528,-0.09082990398492807,-0.10355593436569621,-0.27445302572197416,0.2380371862554953,-0.03551684801180477,-0.09712991314262553,-0.19823143376925845,13.431751091433812,-0.45323684316166646,0.8299593184997612,0.31941314774747737,8,23,27.388317942958103,0.17502402430846953,-0.45323684316166646
