date,qqq,tqqq,price_source,cash_yield_pct
1985-10-01,2.3695525310933925,0.2238786368659983,NDX_synth_L3.0_D0.0135,7.03000020980835
1985-10-02,2.3417661267739023,0.2158658382840351,NDX_synth_L3.0_D0.0135,7.019999980926514
1985-10-03,2.3427171130762963,0.21599699392285018,NDX_synth_L3.0_D0.0135,6.980000019073486
1985-10-04,2.3259183970789428,0.21121927511448568,NDX_synth_L3.0_D0.0135,6.989999771118164
1985-10-07,2.286299072841545,0.200297156724824,NDX_synth_L3.0_D0.0135,7.079999923706055
1985-10-08,2.264323696197271,0.19439824909133954,NDX_synth_L3.0_D0.0135,7.159999847412109
1985-10-09,2.295385110981779,0.20227748408231233,NDX_synth_L3.0_D0.0135,7.190000057220459
1985-10-10,2.312395013969493,0.20664814028938794,NDX_synth_L3.0_D0.0135,7.21999979019165
1985-10-11,2.3465205746515445,0.2156675918794365,NDX_synth_L3.0_D0.0135,7.190000057220459
1985-10-14,2.3916336624442893,0.22797193823579062,NDX_synth_L3.0_D0.0135,7.190000057220459
1985-10-15,2.395754065716521,0.22900791454973743,NDX_synth_L3.0_D0.0135,7.210000038146973
1985-10-16,2.4155110116933516,0.23453024740953327,NDX_synth_L3.0_D0.0135,7.210000038146973
1985-10-17,2.4244912951269626,0.23699925941050157,NDX_synth_L3.0_D0.0135,7.190000057220459
1985-10-18,2.4156166051885317,0.23424876265196162,NDX_synth_L3.0_D0.0135,7.199999809265137
1985-10-21,2.402093222079082,0.23016816196742532,NDX_synth_L3.0_D0.0135,7.210000038146973
1985-10-22,2.4181522999758447,0.23464045848997633,NDX_synth_L3.0_D0.0135,7.159999847412109
1985-10-23,2.4313587413883107,0.23833893312354598,NDX_synth_L3.0_D0.0135,7.21999979019165
1985-10-24,2.4402334313267415,0.2407994720914733,NDX_synth_L3.0_D0.0135,7.25
1985-10-25,2.4069532634519044,0.23079586901296195,NDX_synth_L3.0_D0.0135,7.239999771118164
1985-10-28,2.405051452058559,0.23010381113715261,NDX_synth_L3.0_D0.0135,7.210000038146973
1985-10-29,2.4384373746400194,0.23954242944434062,NDX_synth_L3.0_D0.0135,7.210000038146973
1985-10-30,2.4462554847808757,0.2416965858342288,NDX_synth_L3.0_D0.0135,7.190000057220459
1985-10-31,2.4401278378315614,0.23972943355799195,NDX_synth_L3.0_D0.0135,7.190000057220459
1985-11-01,2.456926392617472,0.24453089584533408,NDX_synth_L3.0_D0.0135,7.199999809265137
1985-11-04,2.451960757749469,0.2428954174938039,NDX_synth_L3.0_D0.0135,7.230000019073486
1985-11-05,2.460412912495736,0.24525488415917412,NDX_synth_L3.0_D0.0135,7.239999771118164
1985-11-06,2.4802752907563037,0.2510404892721148,NDX_synth_L3.0_D0.0135,7.25
1985-11-07,2.4853466803309296,0.2524224913386077,NDX_synth_L3.0_D0.0135,7.300000190734863
1985-11-08,2.520000369700325,0.26282145684574826,NDX_synth_L3.0_D0.0135,7.230000019073486
1985-11-11,2.5440889059397476,0.27019345250150834,NDX_synth_L3.0_D0.0135,7.230000019073486
1985-11-12,2.574093902138124,0.27958392672115717,NDX_synth_L3.0_D0.0135,7.21999979019165
1985-11-13,2.560253577331691,0.2748989630375403,NDX_synth_L3.0_D0.0135,7.28000020980835
1985-11-14,2.574410843835108,0.2792856781587946,NDX_synth_L3.0_D0.0135,7.320000171661377
1985-11-15,2.58159523179344,0.28144666573470406,NDX_synth_L3.0_D0.0135,7.349999904632568
1985-11-18,2.576946538622421,0.27974700319500123,NDX_synth_L3.0_D0.0135,7.239999771118164
