date,reason,target_weight,price,notional,fee,cash_after,shares_after,avg_cost_after
1988-03-02,REVERSAL_ENTRY,0.35,0.37025068513353643,0.40479530666900176,0.0002023976533345009,0.7515603147319545,1.0933006282567885,0.3704358104761032
1988-04-08,BULL_FULL,1.0,0.38676408692894754,0.7556538890816153,0.0003778269445408077,0.0,3.047085673506961,0.3810294638063908
1990-09-18,BULL_EXIT,0.0,0.2518509941002334,-0.7674115559813074,0.0003837057779906537,0.7670278502033168,0.0,
1990-12-27,REVERSAL_ENTRY,0.35,0.2656363379324484,0.27377738149462666,0.00013688869074731332,0.5083068197992737,1.0306473264371252,0.2657691561014146
1991-01-31,BULL_FULL,1.0,0.40968422511268204,0.5110839358832578,0.00025554196794162895,0.0,2.278154319762744,0.34468856706702505
1992-06-26,BULL_EXIT,0.0,0.5660388549916398,-1.2895238626527616,0.0006447619313263808,1.2888791007214353,0.0,
2000-08-28,REVERSAL_ENTRY,0.35,79.677436,0.6569440645703504,0.0003284720322851752,1.219710505026937,0.008245045241796565,79.717274718
2000-09-13,BULL_EXIT,0.0,66.507676,-0.5483587975467477,0.00027417939877337385,1.7710147561429421,0.0,
2001-12-24,REVERSAL_ENTRY,0.35,1.257756,0.6523179080296962,0.00032615895401484813,1.211121384529707,0.5186362919594072,1.2583848780000002
2002-02-05,BULL_EXIT,0.0,0.95029,-0.49285488188610505,0.00024642744094305254,1.7059647097685327,0.0,
2002-11-15,REVERSAL_ENTRY,0.35,0.226152,0.6048895207384171,0.00030244476036920853,1.1230638080395483,2.674703388598894,0.226265076
2002-12-12,BULL_FULL,1.0,0.204519,1.123462238258787,0.0005617311191293935,-2.220446049250313e-16,8.16789589520604,0.2117088607717964
2008-02-13,BULL_EXIT,0.0,0.446508,-3.647030860376659,0.0018235154301883293,3.64520734494647,0.0,
2009-04-01,REVERSAL_ENTRY,0.35,0.080306,1.289833088195107,0.0006449165440975535,2.3947593901039586,16.061478447377617,0.080346153
2009-04-22,BULL_FULL,1.0,0.095538,2.3937829779296984,0.0011968914889648491,-4.440892098500626e-16,41.11729893691789,0.08963278156505593
2018-12-21,BULL_EXIT,0.0,3.910327911376953,-160.78212167345995,0.08039106083672998,160.70173061262324,0.0,
2020-05-11,REVERSAL_ENTRY,0.35,9.15132999420166,57.59544216893684,0.02879772108446842,106.93416630694111,6.293669030122362,9.15590565919876
2020-05-12,BULL_FULL,1.0,8.606905937194824,106.88117128031334,0.05344058564015667,-1.4210854715202004e-14,18.711740292923707,8.794417257822174
2022-03-08,BULL_EXIT,0.0,20.119792938232425,-376.4763402076055,0.18823817010380275,376.2881020375017,0.0,
2023-02-03,REVERSAL_ENTRY,0.35,12.25070095062256,134.82229596834074,0.06741114798417037,250.31685279322014,11.005271984987054,12.25682630109787
2023-02-28,BULL_FULL,1.0,10.623353004455566,250.92938058688412,0.12546469029344207,-2.842170943040401e-14,34.62581631610749,11.14615028480833
