age_td,policy,independent_campaigns,CAGR_Median,CAGR_Min,Return_Median,Return_Min,MDD_Median,MDD_Worst,WinRate_vs_Wait,DiffCAGR_Median,DiffCAGR_Min,AddRate
505,IMM100,3,-0.05008054847944643,-0.652740072193982,-0.14996013157277777,-0.3798616224813667,-0.5643134086518345,-0.6398368749356363,0.3333333333333333,-0.09057072369965047,-0.7313917249111648,0.0
505,IMM25,3,0.019439652694139387,-0.14621458347148464,0.06277540649841251,-0.0689211313736634,-0.20213332947508056,-0.4717168058000085,0.3333333333333333,-0.021050522526064652,-0.2248662361886674,0.0
505,IMM50,3,-0.002595190258974922,-0.34262566903702074,-0.008183721969741153,-0.17263707114804527,-0.37452437861942023,-0.5197377081578636,0.3333333333333333,-0.04308536547917896,-0.4212773217542035,0.0
505,L25_TO100_PB10_R63,3,0.06068443231015497,-0.6504856133020507,0.20478840247808416,-0.3780460737827148,-0.5475367824704787,-0.5643134086518345,0.6666666666666666,0.02019425708995093,-0.7291372660192335,1.0
505,L25_TO100_PB5_POST,3,-0.006010218748644269,-0.5860303580073729,-0.018882798558466085,-0.3286272133685091,-0.5643134086518344,-0.6398368749356363,0.3333333333333333,-0.04650039396884831,-0.6646820107245557,1.0
505,L25_TO100_PB5_R63,3,-0.020847249416055313,-0.61636758500332,-0.06445101535663156,-0.35131807401237347,-0.5643134086518344,-0.6398368749356363,0.3333333333333333,-0.06133742463625935,-0.6950192377205028,1.0
505,L25_TO50_PB5_POST,3,0.010388496317565776,-0.31987879196859426,0.03322181455632567,-0.159824352322829,-0.3907000941737795,-0.5232979374400841,0.3333333333333333,-0.030101678902638263,-0.39853044468577703,1.0
505,L50_TO100_PB5_POST,3,-0.020236486776243234,-0.6089962939639737,-0.06260437604832036,-0.3457167370615961,-0.5643134086518344,-0.6398368749356362,0.3333333333333333,-0.06072666199644727,-0.6876479466811565,1.0
505,WAIT_NEXT,3,0.04049017522020404,0.0042863677505813325,0.03479480840071947,0.033345275858313705,0.0,0.0,0.0,0.0,0.0,0.0
756,IMM100,2,0.129469993569437,-0.09082202847293286,3.1026750335423334,-0.18654532264635415,-0.5559250955611565,-0.5643134086518344,0.5,0.10461283683732314,-0.13565340608131882,0.0
756,IMM25,2,0.08424075085095262,0.012885751667477408,0.825843419129746,0.028152249179626,-0.3214091910397354,-0.45967985013022883,0.5,0.059383594118838756,-0.03194562594090855,0.0
756,IMM50,2,0.1102053352542261,-0.020282900136105453,1.5852933375227427,-0.04346132662030455,-0.42527945893070984,-0.5148031592068947,0.5,0.08534817852211224,-0.06511427774449141,0.0
756,L25_TO100_PB10_R63,2,0.20860885859971812,0.03390158423984735,3.891114718199373,0.0749716791005377,-0.5559250955611565,-0.5643134086518344,0.5,0.18375170186760426,-0.01092979336853861,1.0
756,L25_TO100_PB5_POST,2,0.15055101781940977,-0.060622386497981684,3.356570610655191,-0.12681534268115324,-0.5559250955611565,-0.5643134086518344,0.5,0.1256938610872959,-0.10545376410636764,1.0
756,L25_TO100_PB5_R63,2,0.1459258535591786,-0.060622386497981684,3.18235284682973,-0.12681534268115324,-0.5559250955611565,-0.5643134086518344,0.5,0.12106869682706473,-0.10545376410636764,1.0
756,L25_TO50_PB5_POST,2,0.11897506022811,-0.011995980658240812,1.701150366009058,-0.02583017623965289,-0.4327636123471736,-0.5171101860722297,0.5,0.09411790349599614,-0.05682735826662677,1.0
756,L50_TO100_PB5_POST,2,0.1436160593999044,-0.07056828181640129,3.271882320973105,-0.1467386115443582,-0.5559250955611565,-0.5643134086518344,0.5,0.11875890266779054,-0.11539965942478725,1.0
