start_date,full_date,age_td,age_bucket,horizon_y,Jump_CAGR,Jump_MDD,Jump_Final,Wait_CAGR,Wait_MDD,Wait_Final,CAGR_Diff,Jump_Outperformed
2006-01-03,2002-12-12,769,757_1008,3,-0.05934802779323245,-0.5643134086518344,0.8324148821983142,0.03514046849278207,0.0,1.109093056985374,-0.09448849628601452,False
2006-01-03,2002-12-12,769,757_1008,5,0.2893842802969582,-0.5643134086518344,3.5632610015510426,0.3655603616753009,-0.4309192757855549,4.747618190835625,-0.07617608137834275,False
2006-02-01,2002-12-12,789,757_1008,3,-0.04760730549046177,-0.5643134086518344,0.8640688733503276,0.03404457666450944,0.0,1.1054752319149528,-0.08165188215497121,False
2006-02-01,2002-12-12,789,757_1008,5,0.32179787742327304,-0.5643134086518344,4.034175208989495,0.3885696600023587,-0.4309192757855549,5.161256136274548,-0.06677178257908567,False
2006-03-01,2002-12-12,808,757_1008,3,-0.04934578781776833,-0.5643134086518344,0.8593531591105428,0.03296702496903481,0.0,1.1020283031386642,-0.08231281278680314,False
2006-03-01,2002-12-12,808,757_1008,5,0.31611842930381195,-0.5643134086518344,3.948257290971846,0.3832532485302005,-0.4309192757855549,5.063216718989057,-0.06713481922638853,False
2006-04-03,2002-12-12,831,757_1008,3,-0.04038566391974907,-0.5643134086518344,0.8836429667413763,0.0501060273581726,-0.00016706488083428894,1.1580179607839478,-0.09049169127792167,False
2006-04-03,2002-12-12,831,757_1008,5,0.31683007011328446,-0.5643134086518344,3.95297993901616,0.39009960413021694,-0.4309192757855549,5.180397445905459,-0.07326953401693248,False
2006-05-01,2002-12-12,850,757_1008,3,0.0285021069570206,-0.5643134086518344,1.0879893975400519,0.10222924186699678,-0.03884909897076472,1.3392058073261286,-0.07372713490997618,False
2006-05-01,2002-12-12,850,757_1008,5,0.35425984881040473,-0.5643134086518344,4.546866600553094,0.4117845430710261,-0.4309192757855549,5.59673666891019,-0.057524694260621345,False
2006-06-01,2002-12-12,872,757_1008,3,0.14148818977727529,-0.5643134086518344,1.487500586837524,0.15849337532862373,-0.1681952713631828,1.5549926254840294,-0.017005185551348445,False
2006-06-01,2002-12-12,872,757_1008,5,0.3672042637667925,-0.5643134086518344,4.77626035162692,0.37939323026013283,-0.430919275785555,4.992972567467536,-0.012188966493340336,False
