start_date,full_date,age_td,age_bucket,horizon_y,Jump_CAGR,Jump_MDD,Jump_Final,Wait_CAGR,Wait_MDD,Wait_Final,CAGR_Diff,Jump_Outperformed
2002-12-12,2002-12-12,0,000_126,3,0.4354862328812261,-0.45054300956846705,2.958790590925918,0.01798389529641775,0.0,1.0549417924500903,0.41750233758480837,True
2002-12-12,2002-12-12,0,000_126,5,0.312645591378764,-0.4881698347900857,3.8964461865367293,0.02927437554798762,0.0,1.155176947592282,0.2833712158307764,True
2003-01-02,2002-12-12,13,000_126,3,0.35909641300557715,-0.45054300956846705,2.504700102738231,0.018505533532843677,0.0,1.05640563913401,0.3405908794727335,True
2003-01-02,2002-12-12,13,000_126,5,0.27422063753720827,-0.4881698347900857,3.3586282898884168,0.029464562105998793,0.0,1.1562444702710186,0.24475607543120947,True
2003-02-03,2002-12-12,34,000_126,3,0.4640707457194515,-0.45054300956846705,3.139132961532489,0.019434398848034995,0.0,1.0594588386753765,0.4446363468714165,True
2003-02-03,2002-12-12,34,000_126,5,0.24359680052014743,-0.5236193833854152,2.9704650522533913,0.029766437308860194,0.0,1.1577545552911839,0.21383036321128723,True
2003-03-03,2002-12-12,53,000_126,3,0.46569904737094214,-0.45054300956846693,3.149621014228175,0.020274437784345123,0.0,1.062080710291087,0.445424609586597,True
2003-03-03,2002-12-12,53,000_126,5,0.22230777740146546,-0.5643134086518344,2.729548691015135,0.029880612150654517,0.0,1.1586759222159482,0.19242716525081094,True
2003-04-01,2002-12-12,74,000_126,3,0.39970182648278296,-0.45054300956846705,2.7404110522717073,0.02119228019967112,0.0,1.0648892148646572,0.37850954628311184,True
2003-04-01,2002-12-12,74,000_126,5,0.18315917628129497,-0.5643134086518345,2.3193878098539944,0.029888315775124852,0.0,1.1587192766922951,0.15327086050617011,True
2003-05-01,2002-12-12,95,000_126,3,0.2801697916332717,-0.45054300956846705,2.0983733152711728,0.022093497496221692,0.0,1.0677730536117702,0.25807629413705,True
2003-05-01,2002-12-12,95,000_126,5,0.1326654849513429,-0.5643134086518344,1.8647687484582178,0.02992347125664585,0.0,1.1589171412724397,0.10274201369469704,True
2003-06-02,2002-12-12,116,000_126,3,0.15937214972734637,-0.45054300956846705,1.5585348080209465,0.023254584599078587,0.0,1.0714170322660077,0.13611756512826778,True
2003-06-02,2002-12-12,116,000_126,5,0.10047849802802489,-0.5643134086518344,1.61434911921311,0.030037833320882612,0.0,1.1595609889846674,0.07044066470714228,True
2003-07-01,2002-12-12,137,127_252,3,0.09289823253900775,-0.45054300956846693,1.3051557068397985,0.024312524530347934,0.0,1.0746738200533597,0.06858570800865982,True
2003-07-01,2002-12-12,137,127_252,5,0.0805654290627329,-0.5643134086518344,1.4734245424876105,0.030196435218822204,0.0,1.1604543764496296,0.05036899384391069,True
2003-08-01,2002-12-12,159,127_252,3,0.012037150308770173,-0.4881698347900857,1.0365571273457372,0.02542689959719091,0.0,1.078256918790849,-0.013389749288420738,False
2003-08-01,2002-12-12,159,127_252,5,0.0747859660593877,-0.5643134086518345,1.4344237540803055,0.030325564511377356,0.0,1.1611821545309278,0.04446040154801034,True
2003-09-02,2002-12-12,180,127_252,3,0.006537525977200698,-0.4881698347900858,1.0197278396968878,0.026728542271201583,0.0,1.0822911023917028,-0.020191016294000885,False
2003-09-02,2002-12-12,180,127_252,5,0.03153365038196854,-0.5643134086518344,1.1680086831733598,0.030456777765842213,0.0,1.1619220519298745,0.0010768726161263231,True
2003-10-01,2002-12-12,201,127_252,3,0.06902065287189552,-0.4881698347900857,1.2212967188091777,0.02772894445603402,0.0,1.0853744183852887,0.041291708415861494,True
2003-10-01,2002-12-12,201,127_252,5,0.04710535633219992,-0.5643134086518344,1.2589109387404198,0.03047919934824428,0.0,1.1620485225429997,0.016626156983955642,True
2003-11-03,2002-12-12,224,127_252,3,0.031525589022650014,-0.4881698347900857,1.0976151051531917,0.029057488807719745,0.0,1.0897533017212155,0.002468100214930269,True
