horizon_y,age_bucket,n_month_starts,n_distinct_campaigns,Jump_CAGR_Median,Jump_CAGR_P10,Wait_CAGR_Median,CAGR_Diff_Median,CAGR_Diff_P10,Jump_WinRate,Jump_MDD_Median,Jump_MDD_Worst
3,000_126,28,4,0.4661270221089131,0.28574080651333866,0.03421663539566111,0.43813296778668354,0.1275025849443899,0.9642857142857143,-0.506017325628185,-0.5804007047324976
3,1009_plus,82,2,0.2901671134330769,0.13640734835814244,0.015207520803849017,0.1794045801311469,-0.22210807514688036,0.5853658536585366,-0.5475367824704787,-0.5643134086518345
3,127_252,19,4,0.27893091101190315,0.027627901279874047,0.02772894445603402,0.038428017214868104,-0.07899418298955543,0.631578947368421,-0.4881698347900857,-0.5804007047324975
3,253_504,34,3,0.2809471881792547,0.06000469676153805,0.036251294133415324,0.10551843117096682,-0.2416417353201534,0.6176470588235294,-0.4881698347900857,-0.5614916416879043
3,505_756,24,2,0.2475614777291144,-0.010632452864435316,0.018357252370162724,0.22660619555930583,-0.04944835341241286,0.625,-0.4636418878353174,-0.5643134086518345
3,757_1008,24,2,0.38330765741742534,-0.04544081301924796,0.0167506660255321,0.2606833499049396,-0.08803802773058611,0.625,-0.5048412675972811,-0.5643134086518344
5,000_126,21,3,0.4456713212466339,0.18315917628129497,0.029880612150654517,0.21383036321128723,0.07899662984224554,0.9523809523809523,-0.5643134086518344,-0.5804007047324977
5,1009_plus,82,2,0.26622772779783255,0.14411842529764446,0.19431189346776023,0.10991680779979796,-0.11644070343940541,0.5853658536585366,-0.5637273396039271,-0.5643134086518345
5,127_252,18,3,0.3417718658940556,0.02498702265941495,0.03037401659887362,0.011071443796874747,-0.049184971108430744,0.6111111111111112,-0.5643134086518344,-0.5804007047324977
5,253_504,28,3,0.3192316313218675,-0.002113268137773027,0.029999902226620523,0.00942562020062121,-0.08515869028043385,0.5,-0.5643134086518344,-0.5804007047324976
5,505_756,24,2,0.3314199819525018,0.17999233863572056,0.09061699741133489,0.18105007392115002,-0.04905204525624986,0.5833333333333334,-0.5048412675972811,-0.5643134086518345
5,757_1008,24,2,0.45503175540864116,0.2938296012086375,0.1447114505063697,0.26259374960932713,-0.06702590823219767,0.625,-0.5048412675972811,-0.5643134086518344
