date,qqq,tqqq,price_source,A_aggressive_equity,A_aggressive_weight,B_hard_MA250_equity,B_hard_MA250_weight,C_V1_equity,C_V1_weight
1999-03-10,43.0743408203125,31.424291,synthetic,1.0,0.0,1.0,0.0,1.0,0.0
1999-03-11,43.28524398803711,31.87252,synthetic,1.0001773809440553,0.0,1.0001773809440553,0.0,1.0001773809440553,0.0
1999-03-12,42.23078155517578,29.529681,synthetic,1.00035519025698,0.0,1.00035519025698,0.0,1.00035519025698,0.0
1999-03-15,43.443397521972656,32.060926,synthetic,1.0005326342050185,0.0,1.0005326342050185,0.0,1.0005326342050185,0.0
1999-03-16,43.81245040893555,32.864503,synthetic,1.0007097126013171,0.0,1.0007097126013171,0.0,1.0007097126013171,0.0
1999-03-17,43.496131896972656,32.138916,synthetic,1.0008856310082632,0.0,1.0008856310082632,0.0,1.0008856310082632,0.0
1999-03-18,44.33968353271485,33.995416,synthetic,1.0010603888206397,0.0,1.0010603888206397,0.0,1.0010603888206397,0.0
1999-03-19,43.20612335205078,31.373922,synthetic,1.0012339853993932,0.0,1.0012339853993932,0.0,1.0012339853993932,0.0
1999-03-22,42.67892837524414,30.212352,synthetic,1.0014080094061644,0.0,1.0014080094061644,0.0,1.0014080094061644,0.0
1999-03-23,41.17631912231445,27.008667,synthetic,1.0015824610342432,0.0,1.0015824610342432,0.0,1.0015824610342432,0.0
1999-03-24,42.57347106933594,29.746692,synthetic,1.0016814138684793,0.15001125084381328,1.0016814138684793,0.15001125084381328,1.0016814138684793,0.15001125084381328
1999-03-25,44.12880325317383,32.994461,synthetic,1.0182352924968074,0.16368454044826344,1.0182352924968074,0.16368454044826344,1.0182352924968074,0.16368454044826344
1999-03-26,43.654293060302734,31.916321,synthetic,1.0129374865240686,0.15916403915124525,1.0129374865240686,0.15916403915124525,1.0129374865240686,0.15916403915124525
1999-03-29,45.235965728759766,35.37214,synthetic,1.0305427056882344,0.17338443706668039,1.0305427056882344,0.17338443706668039,1.0305427056882344,0.17338443706668039
1999-03-30,44.91963195800781,34.615346,synthetic,1.0268682098458743,0.17028199870653066,1.0268682098458743,0.17028199870653066,1.0268682098458743,0.17028199870653066
1999-03-31,44.26061630249024,33.07744,synthetic,1.0192473271420126,0.1639332618276145,1.0192473271420126,0.1639332618276145,1.0192473271420126,0.1639332618276145
1999-04-01,45.18323516845703,35.132366,synthetic,1.0297750893130337,0.17233749967255124,1.0297750893130337,0.17233749967255124,1.0297750893130337,0.17233749967255124
