strategy,long_ma,slope_lb,guard_dd,rec1_ma,rec1_days,rec2_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,InvestedDayPct,AvgWeight,TradeCount,ActualEra_CAGR,ActualEra_MDD
C_L200_S40_DD25_R80x3_150,200,40,-0.25,80,3,150,0.16317067200036406,-0.689208727606458,0.23675073379734596,61.363582094239,2991,-0.5748085918991979,-0.689208727606458,-0.2090566700177242,-0.3705722525537405,0.6410060624119926,-0.4922390437217594,-0.21523826480719888,-0.39211897882876323,43.90668279330914,-0.4922390437217594,0.5836252189141856,0.2439659605090063,107,0.2627239239930166,-0.4922390437217594
C_L200_S40_DD25_R80x3_120,200,40,-0.25,80,3,120,0.16300910529121881,-0.689208727606458,0.23651631031622383,61.13185199008683,2991,-0.5748085918991979,-0.689208727606458,-0.2090566700177242,-0.3705722525537405,0.6410060624119926,-0.4922390437217594,-0.2182017964724713,-0.394414547756467,43.73709963134769,-0.4922390437217594,0.5836252189141856,0.24416058780708455,110,0.26243103381187827,-0.4922390437217594
C_L200_S40_DD25_R40x3_150,200,40,-0.25,40,3,150,0.1629482570012153,-0.689208727606458,0.23642802314346148,61.04479788857112,2991,-0.5748085918991979,-0.689208727606458,-0.2090566700177242,-0.3705722525537405,0.6410060624119926,-0.4922390437217594,-0.2193151070946624,-0.39527692466343,43.673392285896135,-0.4922390437217594,0.5842089900758902,0.24413550534131395,106,0.2623207343255365,-0.4922390437217594
C_L200_S40_DD25_R40x5_150,200,40,-0.25,40,5,150,0.162913004155669,-0.689208727606458,0.236376873405894,60.99441718550192,2991,-0.5748085918991979,-0.689208727606458,-0.2090566700177242,-0.3705722525537405,0.6410060624119926,-0.4922390437217594,-0.21995941185347023,-0.3836215889845538,43.636523019559014,-0.4922390437217594,0.5837711617046117,0.24402644639275337,102,0.26225683338236894,-0.4922390437217594
C_L200_S40_DD25_R40x3_120,200,40,-0.25,40,3,120,0.16280233337035122,-0.689208727606458,0.2362162968187371,60.836514968085645,2991,-0.5748085918991979,-0.689208727606458,-0.2090566700177242,-0.3705722525537405,0.6410060624119926,-0.4922390437217594,-0.2219787792681689,-0.3973402206783647,43.52096808375062,-0.4922390437217594,0.5842089900758902,0.24431385371783915,111,0.2620562348153612,-0.4922390437217594
C_L200_S40_DD25_R40x5_120,200,40,-0.25,40,5,120,0.16276708494823766,-0.689208727606458,0.23616515349930184,60.78630616238262,2991,-0.5748085918991979,-0.689208727606458,-0.2090566700177242,-0.3705722525537405,0.6410060624119926,-0.4922390437217594,-0.22262088567950844,-0.38572465263634514,43.48422461418468,-0.4922390437217594,0.5837711617046117,0.2442047947692786,107,0.2619923472616339,-0.4922390437217594
C_L200_S40_DD25_R80x5_150,200,40,-0.25,80,5,150,0.16243281531789,-0.689208727606458,0.23568014856979588,60.31214338115618,2991,-0.5748085918991979,-0.689208727606458,-0.2090566700177242,-0.3705722525537405,0.6410060624119926,-0.4922390437217594,-0.22868482122987388,-0.40253475992879917,43.13722600552738,-0.4922390437217594,0.5833333333333334,0.24389325070770385,106,0.2613865500592716,-0.4922390437217594
C_L200_S40_DD25_R60x5_150,200,40,-0.25,60,5,150,0.16243281531789,-0.689208727606458,0.23568014856979588,60.31214338115618,2991,-0.5748085918991979,-0.689208727606458,-0.2090566700177242,-0.3705722525537405,0.6410060624119926,-0.4922390437217594,-0.22868482122987388,-0.40253475992879917,43.13722600552738,-0.4922390437217594,0.5833333333333334,0.24389325070770385,106,0.2613865500592716,-0.4922390437217594
C_L200_S40_DD25_R40x10_150,200,40,-0.25,40,10,150,0.16242274884836716,-0.689208727606458,0.2356655427339734,60.29791946388033,2991,-0.5748085918991979,-0.689208727606458,-0.2090566700177242,-0.3705722525537405,0.6410060624119926,-0.4922390437217594,-0.22886672694042187,-0.39066003903848656,43.12681675431705,-0.4922390437217594,0.5833333333333334,0.24390560636982703,102,0.2613683083960292,-0.4922390437217594
C_L200_S40_DD25_R60x3_150,200,40,-0.25,60,3,150,0.1623556806620181,-0.689208727606458,0.23556823086942116,60.203234595064984,2991,-0.5748085918991979,-0.689208727606458,-0.2090566700177242,-0.3705722525537405,0.6410060624119926,-0.4922390437217594,-0.23007762531715026,-0.4036136341053762,43.057525112204516,-0.4922390437217594,0.583917104495038,0.24403852919867794,109,0.2612467754125216,-0.4922390437217594
