date,mode,reason,target_weight,price,notional,fee,cash_after,shares_after,avg_cost_after,strategy
1999-03-24,A,dip_-6%_to_15%,0.15,29.746692,0.15026348184141,7.513174092070501e-05,0.8514179320270693,0.005051435024822592,29.761565345999998,A_aggressive
1999-07-16,A,TP_50,0.0,46.589336,-0.2353430036536281,0.00011767150182681405,1.0986126447814946,0.0,,A_aggressive
1999-07-23,A,dip_-6%_to_15%,0.15,37.510039,0.16493908489355222,8.246954244677611e-05,0.9345723448543493,0.0043971984378249306,37.528794019500005,A_aggressive
1999-08-05,A,dip_-10%_to_35%,0.35,34.514903,0.22898884188750973,0.00011449442094375487,0.7070069845405211,0.011031690265529321,35.72660954559004,A_aggressive
1999-11-04,A,TP_50,0.0,55.384005,-0.6109791888245273,0.00030548959441226365,1.3262761100730889,0.0,,A_aggressive
2000-01-05,A,dip_-6%_to_15%,0.15,105.207044,0.2006546577901598,0.0001003273288950799,1.1369427334820106,0.0019072359621677027,105.259647522,A_aggressive
2000-01-07,A,dip_-15%_to_60%,0.6,114.414594,0.595163924821132,0.000297581962410566,0.541955453434089,0.0071090542269000145,112.00034019852974,A_aggressive
2000-02-25,A,TP_50,0.0,158.850411,-1.1292761857643545,0.0005646380928821772,1.6745350896746576,0.0,,A_aggressive
2000-03-15,A,dip_-6%_to_15%,0.15,148.053822,0.25191355973392704,0.00012595677986696353,1.4273842150457194,0.001701499875727133,148.127848911,A_aggressive
2000-03-16,A,dip_-10%_to_35%,0.35,173.341856,0.3079855330821844,0.0001539927665410922,1.1195669834932356,0.003478252128121294,161.0518794291915,A_aggressive
2000-04-12,A,dip_-15%_to_60%,0.6,96.990865,0.5396932319856329,0.00026984661599281645,0.5844314297708125,0.009042623906696863,121.66182430183704,A_aggressive
2000-04-14,A,dip_-22%_to_100%,1.0,62.335639,0.5844015568130705,0.00029220077840653525,0.0,0.018417703174161665,91.47915256443545,A_aggressive
1999-03-24,B,dip_-6%_to_15%,0.15,29.746692,0.15026348184141,7.513174092070501e-05,0.8514179320270693,0.005051435024822592,29.761565345999998,B_hard_MA250
1999-07-16,B,TP_50,0.0,46.589336,-0.2353430036536281,0.00011767150182681405,1.0986126447814946,0.0,,B_hard_MA250
1999-07-23,B,dip_-6%_to_15%,0.15,37.510039,0.16493908489355222,8.246954244677611e-05,0.9345723448543493,0.0043971984378249306,37.528794019500005,B_hard_MA250
1999-08-05,B,dip_-10%_to_35%,0.35,34.514903,0.22898884188750973,0.00011449442094375487,0.7070069845405211,0.011031690265529321,35.72660954559004,B_hard_MA250
1999-11-04,B,TP_50,0.0,55.384005,-0.6109791888245273,0.00030548959441226365,1.3262761100730889,0.0,,B_hard_MA250
2000-01-05,B,dip_-6%_to_15%,0.15,105.207044,0.2006546577901598,0.0001003273288950799,1.1369427334820106,0.0019072359621677027,105.259647522,B_hard_MA250
2000-01-07,B,dip_-15%_to_60%,0.6,114.414594,0.595163924821132,0.000297581962410566,0.541955453434089,0.0071090542269000145,112.00034019852974,B_hard_MA250
2000-02-25,B,TP_50,0.0,158.850411,-1.1292761857643545,0.0005646380928821772,1.6745350896746576,0.0,,B_hard_MA250
2000-03-15,B,dip_-6%_to_15%,0.15,148.053822,0.25191355973392704,0.00012595677986696353,1.4273842150457194,0.001701499875727133,148.127848911,B_hard_MA250
2000-03-16,B,dip_-10%_to_35%,0.35,173.341856,0.3079855330821844,0.0001539927665410922,1.1195669834932356,0.003478252128121294,161.0518794291915,B_hard_MA250
2000-04-12,B,dip_-15%_to_60%,0.6,96.990865,0.5396932319856329,0.00026984661599281645,0.5844314297708125,0.009042623906696863,121.66182430183704,B_hard_MA250
2000-04-14,B,dip_-22%_to_100%,1.0,62.335639,0.5844015568130705,0.00029220077840653525,0.0,0.018417703174161665,91.47915256443545,B_hard_MA250
2000-05-24,B,below_MA250,0.0,50.101637,-0.9227570788055954,0.00046137853940279774,0.9222957002661927,0.0,,B_hard_MA250
2000-06-26,B,dip_-6%_to_15%,0.15,75.678051,0.13903094533343513,6.951547266671756e-05,0.7877725080834657,0.0018371369703143537,75.7158900255,B_hard_MA250
2000-07-31,B,dip_-10%_to_35%,0.35,61.381691,0.20397182913978606,0.00010198591456989304,0.5881264767556977,0.005160144626453806,66.50477858724217,B_hard_MA250
2000-09-22,B,below_MA250,0.0,62.831498,-0.32421961677674305,0.00016210980838837153,0.9175630098809971,0.0,,B_hard_MA250
2003-08-06,B,dip_-6%_to_15%,0.15,0.275612,0.14789775078151332,7.394887539075666e-05,0.8380133055531849,0.5366157887955288,0.27574980600000004,B_hard_MA250
2003-09-19,B,TP_50,0.0,0.407193,-0.21850619288701778,0.00010925309644350889,1.0573788915754396,0.0,,B_hard_MA250
2003-10-01,B,dip_-6%_to_15%,0.15,0.354329,0.15865323846779347,7.932661923389674e-05,0.8989556913649291,0.44775685441438173,0.35450616450000005,B_hard_MA250
2004-01-20,B,TP_50,0.0,0.534395,-0.2392790242147735,0.00011963951210738675,1.1405274653299184,0.0,,B_hard_MA250
2004-03-09,B,dip_-6%_to_15%,0.15,0.416657,0.17128938050020126,8.564469025010063e-05,0.9705541781442237,0.41110405081446194,0.41686532849999997,B_hard_MA250
