strategy,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,InvestedDayPct,AvgWeight,TradeCount,long_ma,slope_lb,guard_dd,rec1_ma,rec1_days,rec2_ma
A_aggressive,0.01637647136011,-0.9995232624825025,0.01638428236220934,1.5564819612998713,9564,-0.9980912048249361,-0.9989677149106907,-0.8353767547427933,-0.9459494048413949,0.6475388370201061,-0.6992207245312605,-0.6353019056564068,-0.816598467659764,409.13317385171615,-0.816598467659764,0.9897840046701692,0.9693106673523065,12,,,,,,
B_hard_MA250,0.0578639881109122,-0.5858494444379405,0.09876938291957667,4.627943074803291,6693,-0.41456157108141856,-0.5858494444379405,-0.029172976012650786,-0.08033404400590571,-0.0451692404780738,-0.11924209393032925,-0.01767600239951439,-0.07112772805314971,2.1433772231629162,-0.18761184406728582,0.3114419147694104,0.08391020616023924,81,,,,,,
C_V1,0.12273444538623202,-0.8475674461448619,0.1448078804164629,23.408888337072195,6685,-0.8214447331539751,-0.8475674461448619,-0.20905667001772454,-0.3705722525537404,0.6410060624119924,-0.4922390437217594,-0.2319780332807977,-0.4047903867464804,42.927780126788214,-0.4922390437217594,0.5798307063631056,0.24558466885714642,108,250.0,20.0,-0.25,60.0,5.0,120.0
