strategy,arm_dd,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
BH_A25_F60_M100_W35_X120S40D20,-0.25,60,100,0.35,120,40,-0.2,0.28522665395199276,-0.5810372490267552,0.4908922008524428,929.4968466861397,874,-0.3671833806685416,-0.473853167221418,-0.27528939833276467,-0.5645312519475085,0.9032933212481498,-0.14723087963306425,-0.34743273577549694,-0.5759824563408098,267.2638602009231,-0.5810372490267552,0.40897349450023635,-0.5810372490267552,0.7463514302393461,0.7373683309222554,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742638,0.6646117732737843,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X100S40D20,-0.25,60,100,0.35,100,40,-0.2,0.27136564899971427,-0.599363768812269,0.4527561776673068,691.8046542220172,1133,-0.5241282493620747,-0.599363768812269,-0.26028496377460053,-0.5643134086518344,0.9032933212481498,-0.14723087963306447,-0.36722551027960815,-0.5888431744422715,259.1272490289401,-0.5888431744422715,0.40631522560362243,-0.5888431744422715,0.7494162288382954,0.7389821784952338,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742638,0.6646117732737843,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X150S40D20,-0.25,60,100,0.35,150,40,-0.2,0.3052319026688386,-0.6992207245312605,0.43653154427517604,1415.6324731757722,1913,-0.6273478508141199,-0.6572665126933177,-0.2513416520734072,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.34743273577549716,-0.5759824563408098,732.8658670806641,-0.6992207245312605,0.4986493075387475,-0.6992207245312605,0.7967016929363689,0.7857135290349403,47,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742637,0.6646117732737842,2023-01-25,2023-02-16,1.0,1.0,0
BH_A30_F60_M100_W35_X150S40D20,-0.3,60,100,0.35,150,40,-0.2,0.3052319026688386,-0.6992207245312605,0.43653154427517604,1415.6324731757722,1913,-0.6273478508141199,-0.6572665126933177,-0.2513416520734072,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.34743273577549716,-0.5759824563408098,732.8658670806641,-0.6992207245312605,0.4986493075387475,-0.6992207245312605,0.7967016929363689,0.7857135290349403,47,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742637,0.6646117732737842,2023-01-25,2023-02-16,1.0,1.0,0
BH_A30_F60_M100_W35_X100S40D20,-0.3,60,100,0.35,100,40,-0.2,0.23998656164211019,-0.640589585124481,0.3746338798116354,350.24352616443093,1982,-0.5066616322058518,-0.5846586310105666,-0.2602849637746034,-0.5643134086518344,0.0018368852408514602,0.0,0.1395218653218535,-0.1792991903705956,126.0332815399513,-0.640589585124481,0.3458536399396528,-0.640589585124481,0.6809690601284296,0.6723179980257759,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742637,0.6646117732737842,2023-01-25,2023-02-16,1.0,1.0,0
BH_A20_F60_M100_W35_X150S40D15,-0.2,60,100,0.35,150,40,-0.15,0.21945281556376361,-0.6992207245312605,0.31385341976366493,222.25430508563002,3292,-0.6273478508141199,-0.6572665126933177,0.18268068982687868,-0.22364465476154993,0.6475388370201063,-0.6992207245312605,-0.3369508335091377,-0.5691716481750966,167.94667884653254,-0.6992207245312605,0.36958936016068455,-0.6992207245312605,0.5621716287215411,0.5460238747896125,59,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742637,0.6646117732737842,2023-01-25,2023-02-16,1.0,1.0,0
BH_A20_F60_M100_W35_X150S40D20,-0.2,60,100,0.35,150,40,-0.2,0.2880080515526422,-0.6992207245312605,0.4118986200612337,985.8689979514511,1913,-0.6273478508141199,-0.6572665126933177,-0.4785199683932492,-0.6796338635606788,0.6475388370201061,-0.6992207245312605,-0.3475609215286376,-0.5760657473839842,732.7217115981063,-0.6992207245312605,0.4986312562487858,-0.6992207245312605,0.810128429655575,0.796012984584398,56,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742636,0.6646117732737841,2023-01-25,2023-02-16,1.0,1.0000000000000002,0
BH_A25_F60_M100_W35_X150S20D20,-0.25,60,100,0.35,150,20,-0.2,0.26027920576390384,-0.6406367688331958,0.40628202817324305,544.9832825779267,1219,-0.5814851332159497,-0.6150859183397831,-0.2979571913307173,-0.5687068946141483,0.9032933212481473,-0.14723087963306436,-0.3474327357754974,-0.5759824563408099,267.26386020092207,-0.5810372490267554,0.4089734945002361,-0.5810372490267554,0.7427028604786924,0.7316198427040472,50,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742634,0.664611773273784,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M120_W35_X150S40D20,-0.25,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0
BH_A30_F60_M120_W35_X150S40D20,-0.3,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0
